Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
GO Term: Mitochondrial Genome Maintenance -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Apoptosis
GO Term: Neural Plate Axis Specification -> Biodomain: Synapse, Proteostasis, Apoptosis, RNA Spliceosome, Epigenetic
GO Term: Neural Plate Mediolateral Regionalization -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Epigenetic, Apoptosis
GO Term: Neural Plate Anterior/Posterior Regionalization -> Biodomain: Synapse, Proteostasis, Apoptosis, RNA Spliceosome, Epigenetic
GO Term: Midbrain-Hindbrain Boundary Maturation During Brain Development -> Biodomain: Synapse, Proteostasis, Apoptosis, RNA Spliceosome, Epigenetic
GO Term: Convergent Extension Involved In Neural Plate Elongation -> Biodomain: Synapse, Proteostasis, Apoptosis, RNA Spliceosome, Epigenetic
GO Term: Neurogenesis -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, RNA Spliceosome
GO Term: Central Nervous System Vasculogenesis -> Biodomain: Vasculature, Synapse, Immune Response, Apoptosis, Oxidative Stress
GO Term: Central Nervous System Myelination -> Biodomain: Synapse, Myelination, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Myelination In Peripheral Nervous System -> Biodomain: Synapse, Myelination, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Pallium Cell Proliferation In Forebrain -> Biodomain: Synapse, Proteostasis, Apoptosis, Immune Response, Mitochondrial Metabolism
GO Term: Lateral Ganglionic Eminence Cell Proliferation -> Biodomain: Synapse, Proteostasis, Apoptosis, RNA Spliceosome, Epigenetic
GO Term: Interkinetic Nuclear Migration -> Biodomain: Synapse, Proteostasis, Apoptosis, Cell Cycle, RNA Spliceosome
GO Term: Tangential Migration From The Subventricular Zone To The Olfactory Bulb -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, RNA Spliceosome
GO Term: Telencephalon Cell Migration -> Biodomain: Synapse, Proteostasis, Apoptosis, RNA Spliceosome, Epigenetic
GO Term: Metencephalon Development -> Biodomain: Synapse, Proteostasis, Apoptosis, RNA Spliceosome, Epigenetic
GO Term: Corpus Callosum Development -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, Myelination
GO Term: Regulation Of Opsin-Mediated Signaling Pathway -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, RNA Spliceosome
GO Term: Negative Adaptation Of Signaling Pathway -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, RNA Spliceosome
GO Term: Hair Cycle Process -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Immune Response
GO Term: Membrane Docking -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, RNA Spliceosome
GO Term: Regulation Of Cell-Cell Adhesion -> Biodomain: Synapse, Proteostasis, Apoptosis, Immune Response, Oxidative Stress
GO Term: Negative Regulation Of Cell-Cell Adhesion -> Biodomain: Synapse, Proteostasis, Apoptosis, Immune Response, Oxidative Stress
GO Term: Positive Regulation Of Cell-Cell Adhesion -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Immune Response
GO Term: Circadian Sleep/Wake Cycle Process -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Apoptosis, Immune Response
GO Term: Reproductive Process -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Immune Response, Apoptosis
GO Term: Digestive System Process -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Immune Response
GO Term: Ovulation Cycle Process -> Biodomain: Synapse, Proteostasis, Apoptosis, Immune Response, Oxidative Stress
GO Term: Regulation Of Anatomical Structure Morphogenesis -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, Epigenetic
GO Term: Regulation Of Cell Morphogenesis -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, RNA Spliceosome
GO Term: Mammalian Oogenesis Stage -> Biodomain: Synapse, Proteostasis, Apoptosis, Immune Response, Oxidative Stress
GO Term: Cellular Component Assembly -> Biodomain: Synapse, Proteostasis, Apoptosis, RNA Spliceosome, Oxidative Stress
GO Term: Gland Morphogenesis -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Immune Response, Apoptosis
GO Term: Ribonucleoprotein Complex Biogenesis -> Biodomain: Synapse, RNA Spliceosome, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Membrane To Membrane Docking -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, RNA Spliceosome
GO Term: Protein To Membrane Docking -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, RNA Spliceosome
GO Term: Dna Strand Elongation -> Biodomain: DNA Repair, Epigenetic, RNA Spliceosome, Proteostasis, Synapse
GO Term: Extracellular Matrix Disassembly -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, Immune Response
GO Term: Protein-Rna Complex Assembly -> Biodomain: Synapse, RNA Spliceosome, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Proteasome Accessory Complex -> Biodomain: Proteostasis, Synapse, Apoptosis, Oxidative Stress, RNA Spliceosome
GO Term: Cytosolic Large Ribosomal Subunit -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Apoptosis, Oxidative Stress
GO Term: Cytosolic Ribosome -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Apoptosis, Oxidative Stress
GO Term: Cytosolic Small Ribosomal Subunit -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Apoptosis, Oxidative Stress
GO Term: Transmitter-Gated Monoatomic Ion Channel Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, RNA Spliceosome
GO Term: Wide Pore Channel Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, RNA Spliceosome
GO Term: Voltage-Gated Channel Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Apoptosis, RNA Spliceosome
GO Term: Ligand-Gated Channel Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, RNA Spliceosome
GO Term: Gated Channel Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, RNA Spliceosome
GO Term: Monoatomic Ion-Gated Channel Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, RNA Spliceosome
GO Term: Leak Channel Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, RNA Spliceosome
GO Term: Potassium Ion Leak Channel Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Apoptosis, Metal Binding and Homeostasis
GO Term: Voltage-Gated Monoatomic Cation Channel Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Apoptosis, RNA Spliceosome
GO Term: Acetylcholine-Gated Monoatomic Cation-Selective Channel Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, RNA Spliceosome
GO Term: Glutamate-Gated Calcium Ion Channel Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Apoptosis, RNA Spliceosome
GO Term: Serotonin-Gated Monoatomic Cation Channel Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Immune Response, Apoptosis
GO Term: Gaba-Gated Chloride Ion Channel Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, RNA Spliceosome
GO Term: Glycine-Gated Chloride Ion Channel Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, RNA Spliceosome
GO Term: Transmembrane Transporter Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Autophagy, RNA Spliceosome
GO Term: Alanine Transmembrane Transporter Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Mitochondrial Metabolism
GO Term: Zinc Efflux Transmembrane Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Synapse, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Macromolecule Transmembrane Transporter Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Autophagy, RNA Spliceosome
GO Term: Inorganic Cation Transmembrane Transporter Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Autophagy
GO Term: Intermediate Conductance Calcium-Activated Potassium Channel Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Apoptosis, RNA Spliceosome
GO Term: Regulation Of Transmembrane Transporter Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Autophagy, RNA Spliceosome
GO Term: Electron Transport Chain -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Apoptosis
GO Term: Respiratory Electron Transport Chain -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Signal Transduction Involved In Regulation Of Gene Expression -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Oxidative Stress, Epigenetic
GO Term: Termination Of Signal Transduction -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, RNA Spliceosome
GO Term: Mhc Class I Protein Complex Binding -> Biodomain: Immune Response, Synapse, Apoptosis, Proteostasis, Oxidative Stress
GO Term: Mhc Class Ib Protein Complex Binding -> Biodomain: Immune Response, Synapse, Apoptosis, Proteostasis, Oxidative Stress
GO Term: Mhc Class Ii Protein Complex Binding -> Biodomain: Immune Response, Synapse, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Mhc Class Ib Protein Binding -> Biodomain: Immune Response, Synapse, Apoptosis, Proteostasis, Oxidative Stress
GO Term: Mhc Class Ib Protein Binding, Via Antigen Binding Groove -> Biodomain: Immune Response, Synapse, Apoptosis, Proteostasis, Oxidative Stress
GO Term: Cd40 Signaling Pathway -> Biodomain: Synapse, Immune Response, Apoptosis, Proteostasis, Oxidative Stress
GO Term: Neuronal Signal Transduction -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, RNA Spliceosome
GO Term: Regulation Of Signaling -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, RNA Spliceosome
GO Term: Signaling -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, RNA Spliceosome
GO Term: Positive Regulation Of Signaling -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, RNA Spliceosome
GO Term: Negative Regulation Of Signaling -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, RNA Spliceosome
GO Term: Signal Release -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, RNA Spliceosome
GO Term: Metal Ion Transport -> Biodomain: Metal Binding and Homeostasis, Synapse, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Intracellular Monoatomic Cation Homeostasis -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Autophagy
GO Term: Intracellular Potassium Ion Homeostasis -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Metal Binding and Homeostasis
GO Term: Trapp Complex -> Biodomain: Synapse, Proteostasis, Autophagy, RNA Spliceosome, Oxidative Stress
GO Term: Establishment Of Cell Polarity -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, RNA Spliceosome
GO Term: Maintenance Of Cell Polarity -> Biodomain: Synapse, Proteostasis, Apoptosis, RNA Spliceosome, Epigenetic
GO Term: Ccr4-Not Complex -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Oxidative Stress, Apoptosis
GO Term: Ccr4-Not Core Complex -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Apoptosis, Oxidative Stress
GO Term: Myofibril -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, Structural Stabilization
GO Term: Sarcomere -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Z Disc -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Apoptosis, Oxidative Stress
GO Term: Extracellular Matrix Structural Constituent Conferring Tensile Strength -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Oxidative Stress, Apoptosis
GO Term: Extracellular Matrix Structural Constituent Conferring Compression Resistance -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Oxidative Stress, Apoptosis
GO Term: Extracellular Matrix Constituent Conferring Elasticity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Structural Stabilization
GO Term: Intracellular Manganese Ion Homeostasis -> Biodomain: Metal Binding and Homeostasis, Synapse, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Lamellipodium -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, RNA Spliceosome
GO Term: Actin Filament-Based Process -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, RNA Spliceosome
GO Term: Cell Projection Organization -> Biodomain: Synapse, Proteostasis, Apoptosis, RNA Spliceosome, Oxidative Stress
GO Term: Cell Projection Assembly -> Biodomain: Synapse, Proteostasis, Apoptosis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Lamellipodium Assembly -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, RNA Spliceosome
GO Term: Microvillus Assembly -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, RNA Spliceosome
GO Term: Microvillar Actin Bundle Assembly -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, RNA Spliceosome
GO Term: Microspike Assembly -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, RNA Spliceosome
GO Term: Actin Cytoskeleton Organization -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, RNA Spliceosome
GO Term: Contractile Actin Filament Bundle Assembly -> Biodomain: Synapse, Proteostasis, Apoptosis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Actin Filament Polymerization -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, RNA Spliceosome
GO Term: Actin Filament Depolymerization -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, RNA Spliceosome
GO Term: Actin Filament Fragmentation -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, RNA Spliceosome
GO Term: Parallel Actin Filament Bundle Assembly -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, RNA Spliceosome
GO Term: Actin Modification -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, RNA Spliceosome
GO Term: Actin Filament-Based Movement -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, RNA Spliceosome
GO Term: Muscle Filament Sliding -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Vesicle Transport Along Actin Filament -> Biodomain: Synapse, Proteostasis, Autophagy, Oxidative Stress, RNA Spliceosome
GO Term: Cell Junction -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, RNA Spliceosome
GO Term: Cell-Substrate Junction -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Epigenetic
GO Term: Hemidesmosome -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, Structural Stabilization
GO Term: Desmosome -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, Structural Stabilization
GO Term: L-Malate Dehydrogenase (Nad+) Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: Mitochondrial Crista -> Biodomain: Synapse, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Apoptosis
GO Term: Insulin Processing -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Endolysosome
GO Term: Regulation Of Mitotic Metaphase/Anaphase Transition -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Synapse, RNA Spliceosome
GO Term: Peptide Hormone Secretion -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Immune Response, Apoptosis
GO Term: Insulin Secretion -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Endolysosome
GO Term: Protein Repair -> Biodomain: Proteostasis, Oxidative Stress, Apoptosis, Synapse, RNA Spliceosome
GO Term: Hemopoiesis -> Biodomain: Synapse, Proteostasis, Immune Response, Apoptosis, Oxidative Stress
GO Term: Lymphocyte Differentiation -> Biodomain: Immune Response, Synapse, Apoptosis, Proteostasis, Oxidative Stress
GO Term: Myeloid Cell Differentiation -> Biodomain: Immune Response, Synapse, Apoptosis, Proteostasis, Oxidative Stress
GO Term: Regulation Of Endocytosis -> Biodomain: Synapse, Proteostasis, Autophagy, Oxidative Stress, Endolysosome
GO Term: Natural Killer Cell Activation -> Biodomain: Immune Response, Apoptosis, Synapse, Oxidative Stress, Proteostasis
GO Term: Vasopressin Secretion -> Biodomain: Synapse, Oxidative Stress, Immune Response, Proteostasis, Apoptosis
GO Term: Hla-A Specific Inhibitory Mhc Class I Receptor Activity -> Biodomain: Immune Response, Synapse, Apoptosis, Proteostasis, Oxidative Stress
GO Term: Hla-A Specific Activating Mhc Class I Receptor Activity -> Biodomain: Immune Response, Synapse, Apoptosis, Proteostasis, Oxidative Stress
GO Term: Hla-B Specific Inhibitory Mhc Class I Receptor Activity -> Biodomain: Immune Response, Synapse, Apoptosis, Proteostasis, Oxidative Stress
GO Term: Hla-C Specific Inhibitory Mhc Class I Receptor Activity -> Biodomain: Immune Response, Synapse, Apoptosis, Proteostasis, Oxidative Stress
GO Term: Regulation Of Wnt Signaling Pathway -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Epigenetic
GO Term: Glial Cell-Derived Neurotrophic Factor Receptor Binding -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Immune Response, Apoptosis
GO Term: Membrane Coat -> Biodomain: Synapse, Proteostasis, Autophagy, RNA Spliceosome, Oxidative Stress
GO Term: Clathrin Coat -> Biodomain: Synapse, Proteostasis, Autophagy, Oxidative Stress, RNA Spliceosome
GO Term: Ap-Type Membrane Coat Adaptor Complex -> Biodomain: Synapse, Proteostasis, Autophagy, Oxidative Stress, RNA Spliceosome
GO Term: Vesicle Coat -> Biodomain: Synapse, Proteostasis, Autophagy, RNA Spliceosome, Oxidative Stress
GO Term: Ap-1 Adaptor Complex -> Biodomain: Synapse, Proteostasis, Autophagy, Oxidative Stress, RNA Spliceosome
GO Term: Ap-2 Adaptor Complex -> Biodomain: Synapse, Proteostasis, Autophagy, Oxidative Stress, RNA Spliceosome
GO Term: Ap-3 Adaptor Complex -> Biodomain: Synapse, Proteostasis, Autophagy, Oxidative Stress, Endolysosome
GO Term: Ap-4 Adaptor Complex -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Oxidative Stress, Apoptosis
