Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
GO Term: Mitochondrial Genome Maintenance -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis, Metal Binding and Homeostasis
GO Term: Organic Cation Transmembrane Transporter Activity -> Biodomain: Proteostasis, Oxidative Stress, APP Metabolism, Autophagy, Tau Homeostasis
GO Term: Bicarbonate Transmembrane Transporter Activity -> Biodomain: Proteostasis, Oxidative Stress, APP Metabolism, Autophagy, Immune Response
GO Term: Chloride Transmembrane Transporter Activity -> Biodomain: Ion Homeostasis, Synapse, APP Metabolism, Oxidative Stress, Proteostasis
GO Term: Iodide Transmembrane Transporter Activity -> Biodomain: Proteostasis, Oxidative Stress, APP Metabolism, Metal Binding and Homeostasis, Autophagy
GO Term: Nitrate Transmembrane Transporter Activity -> Biodomain: Vasculature, Oxidative Stress, APP Metabolism, Immune Response, Metal Binding and Homeostasis
GO Term: Sulfate Transmembrane Transporter Activity -> Biodomain: Oxidative Stress, Proteostasis, APP Metabolism, Autophagy, Metal Binding and Homeostasis
GO Term: Thiosulfate Transmembrane Transporter Activity -> Biodomain: Oxidative Stress, Proteostasis, APP Metabolism, Metal Binding and Homeostasis, Autophagy
GO Term: Bile Acid Transmembrane Transporter Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, APP Metabolism, Proteostasis, Immune Response
GO Term: Canalicular Bile Acid Transmembrane Transporter Activity -> Biodomain: APP Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Immune Response
GO Term: Bilirubin Transmembrane Transporter Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, APP Metabolism, Proteostasis, Autophagy
GO Term: Lactate Transmembrane Transporter Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, APP Metabolism, Autophagy
GO Term: Mevalonate Transmembrane Transporter Activity -> Biodomain: Lipid Metabolism, APP Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Oxaloacetate Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, APP Metabolism, Autophagy
GO Term: Prostaglandin Transmembrane Transporter Activity -> Biodomain: Synapse, Oxidative Stress, Immune Response, APP Metabolism, Proteostasis
GO Term: Sialic Acid Transmembrane Transporter Activity -> Biodomain: Synapse, Immune Response, APP Metabolism, Oxidative Stress, Proteostasis
GO Term: Citrate Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, APP Metabolism
GO Term: Fumarate Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Alpha-Ketoglutarate Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, APP Metabolism, Autophagy
GO Term: Malate Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, APP Metabolism, Proteostasis, Autophagy
GO Term: Succinate Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, APP Metabolism, Autophagy
GO Term: Tricarboxylic Acid Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, APP Metabolism, Autophagy, Proteostasis
GO Term: Urate Transmembrane Transporter Activity -> Biodomain: Oxidative Stress, Proteostasis, APP Metabolism, Autophagy, Immune Response
GO Term: Carbohydrate Transmembrane Transporter Activity -> Biodomain: Synapse, Oxidative Stress, APP Metabolism, Proteostasis, Lipid Metabolism
GO Term: Pentose Transmembrane Transporter Activity -> Biodomain: APP Metabolism, Oxidative Stress, Proteostasis, Autophagy, Immune Response
GO Term: Hexose Transmembrane Transporter Activity -> Biodomain: Glucose Metabolism, Oxidative Stress, APP Metabolism, Proteostasis, Synapse
GO Term: Fucose Transmembrane Transporter Activity -> Biodomain: Immune Response, Oxidative Stress, APP Metabolism, Proteostasis, Autophagy
GO Term: Alpha-Glucoside Transmembrane Transporter Activity -> Biodomain: APP Metabolism, Oxidative Stress, Proteostasis, Tau Homeostasis, Lipid Metabolism
GO Term: Glucose-6-Phosphate Transmembrane Transporter Activity -> Biodomain: Metabolic Dysfunction, Oxidative Stress, APP Metabolism, Proteostasis, Autophagy
GO Term: Glucuronoside Transmembrane Transporter Activity -> Biodomain: Proteostasis, APP Metabolism, Oxidative Stress, Autophagy, Immune Response
GO Term: Pyrimidine Nucleotide-Sugar Transmembrane Transporter Activity -> Biodomain: Synapse, Proteostasis, APP Metabolism, Oxidative Stress, Autophagy
GO Term: Polyol Transmembrane Transporter Activity -> Biodomain: Synapse, Oxidative Stress, APP Metabolism, Proteostasis, Lipid Metabolism
GO Term: Glycerol Transmembrane Transporter Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, APP Metabolism, Autophagy
GO Term: Amino Acid Transmembrane Transporter Activity -> Biodomain: Synapse, Oxidative Stress, APP Metabolism, Proteostasis, Tau Homeostasis
GO Term: Acidic Amino Acid Transmembrane Transporter Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, APP Metabolism, Autophagy
GO Term: Aromatic Amino Acid Transmembrane Transporter Activity -> Biodomain: Aromatic Amino Acid Transport, Proteostasis, Oxidative Stress, APP Metabolism, Synapse
GO Term: Basic Amino Acid Transmembrane Transporter Activity -> Biodomain: Proteostasis, Oxidative Stress, APP Metabolism, Autophagy, Tau Homeostasis
GO Term: Neutral L-Amino Acid Transmembrane Transporter Activity -> Biodomain: Synapse, APP Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: L-Amino Acid Transmembrane Transporter Activity -> Biodomain: Synapse, Proteostasis, APP Metabolism, Oxidative Stress, Autophagy
GO Term: L-Alanine Transmembrane Transporter Activity -> Biodomain: Amino Acid Metabolism, Proteostasis, Synapse, APP Metabolism, Oxidative Stress
GO Term: L-Asparagine Transmembrane Transporter Activity -> Biodomain: Synapse, Proteostasis, APP Metabolism, Oxidative Stress, Autophagy
GO Term: L-Aspartate Transmembrane Transporter Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, APP Metabolism, Autophagy
GO Term: L-Cystine Transmembrane Transporter Activity -> Biodomain: Proteostasis, Endolysosome, Oxidative Stress, APP Metabolism, Autophagy
GO Term: Gamma-Aminobutyric Acid Transmembrane Transporter Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Immune Response, Tau Homeostasis
GO Term: L-Glutamine Transmembrane Transporter Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, APP Metabolism, Autophagy
GO Term: Glycine Transmembrane Transporter Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, APP Metabolism, Tau Homeostasis
GO Term: L-Isoleucine Transmembrane Transporter Activity -> Biodomain: Amino Acid Metabolism, Synapse, Proteostasis, Oxidative Stress, APP Metabolism
GO Term: L-Lysine Transmembrane Transporter Activity -> Biodomain: Amino Acid Metabolism, Synapse, Oxidative Stress, Proteostasis, APP Metabolism
GO Term: L-Leucine Transmembrane Transporter Activity -> Biodomain: Proteostasis, Synapse, Autophagy, APP Metabolism, Oxidative Stress
GO Term: L-Methionine Transmembrane Transporter Activity -> Biodomain: Amino Acid Metabolism, Oxidative Stress, APP Metabolism, Proteostasis, Lipid Metabolism
GO Term: L-Phenylalanine Transmembrane Transporter Activity -> Biodomain: Amino Acid Metabolism, APP Metabolism, Oxidative Stress, Proteostasis, Synapse
GO Term: L-Proline Transmembrane Transporter Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, APP Metabolism, Autophagy
GO Term: L-Serine Transmembrane Transporter Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, APP Metabolism, Autophagy
GO Term: L-Threonine Transmembrane Transporter Activity -> Biodomain: Amino Acid Metabolism, Proteostasis, Synapse, Oxidative Stress, APP Metabolism
GO Term: L-Tryptophan Transmembrane Transporter Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, APP Metabolism, Autophagy
GO Term: Amino-Acid Betaine Transmembrane Transporter Activity -> Biodomain: Proteostasis, Oxidative Stress, APP Metabolism, Autophagy, Lipid Metabolism
GO Term: Methylammonium Transmembrane Transporter Activity -> Biodomain: APP Metabolism, Oxidative Stress, Proteostasis, Autophagy, Synapse
GO Term: Polyamine Transmembrane Transporter Activity -> Biodomain: Proteostasis, Oxidative Stress, APP Metabolism, Autophagy, Tau Homeostasis
GO Term: Urea Transmembrane Transporter Activity -> Biodomain: Proteostasis, Autophagy, Oxidative Stress, APP Metabolism, Immune Response
GO Term: Nucleobase Transmembrane Transporter Activity -> Biodomain: Synapse, Oxidative Stress, APP Metabolism, Proteostasis, Tau Homeostasis
GO Term: Adenine Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, APP Metabolism, Autophagy
GO Term: Guanine Transmembrane Transporter Activity -> Biodomain: Synapse, APP Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Uracil Transmembrane Transporter Activity -> Biodomain: Proteostasis, Synapse, APP Metabolism, Oxidative Stress, Autophagy
GO Term: Purine Nucleoside Transmembrane Transporter Activity -> Biodomain: Synapse, Oxidative Stress, APP Metabolism, Proteostasis, Autophagy
GO Term: Cytidine Transmembrane Transporter Activity -> Biodomain: Synapse, APP Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Uridine Transmembrane Transporter Activity -> Biodomain: Synapse, APP Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Pyrimidine Nucleoside Transmembrane Transporter Activity -> Biodomain: Synapse, Proteostasis, APP Metabolism, Oxidative Stress, Autophagy
GO Term: Nucleotide Transmembrane Transporter Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, APP Metabolism, Autophagy
GO Term: Purine Nucleotide Transmembrane Transporter Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, APP Metabolism, Autophagy
GO Term: Adp Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, APP Metabolism, Autophagy
GO Term: Pyrimidine Nucleotide Transmembrane Transporter Activity -> Biodomain: APP Metabolism, Oxidative Stress, Proteostasis, Tau Homeostasis, Autophagy
GO Term: Choline Transmembrane Transporter Activity -> Biodomain: Synapse, APP Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Biotin Transmembrane Transporter Activity -> Biodomain: Proteostasis, Oxidative Stress, APP Metabolism, Autophagy, Immune Response
GO Term: Carnitine Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, APP Metabolism, Autophagy
GO Term: O-Acyl-L-Carnitine Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Coenzyme A Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, APP Metabolism, Proteostasis, Autophagy
GO Term: L-Ascorbic Acid Transmembrane Transporter Activity -> Biodomain: Oxidative Stress, Proteostasis, APP Metabolism, Autophagy, Immune Response
GO Term: Fad Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, APP Metabolism, Autophagy
GO Term: Heme Transmembrane Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, APP Metabolism, Proteostasis, Autophagy
GO Term: Pantothenate Transmembrane Transporter Activity -> Biodomain: Proteostasis, Oxidative Stress, APP Metabolism, Autophagy, Immune Response
GO Term: Thiamine Transmembrane Transporter Activity -> Biodomain: Proteostasis, Oxidative Stress, APP Metabolism, Autophagy, Immune Response
GO Term: Fatty Acid Transmembrane Transporter Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, APP Metabolism, Autophagy
GO Term: Aminophospholipid Flippase Activity -> Biodomain: Proteostasis, Lipid Metabolism, Synapse, Oxidative Stress, APP Metabolism
GO Term: Water Channel Activity -> Biodomain: Aquaporin, Synapse, Oxidative Stress, Immune Response, Proteostasis
GO Term: Proton Channel Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, APP Metabolism, Autophagy
GO Term: Glycerol Channel Activity -> Biodomain: Synapse, Oxidative Stress, APP Metabolism, Proteostasis, Lipid Metabolism
GO Term: Methylammonium Channel Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, APP Metabolism, Lipid Metabolism
GO Term: Urea Channel Activity -> Biodomain: Oxidative Stress, Proteostasis, Synapse, APP Metabolism, Autophagy
GO Term: Channel Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, APP Metabolism, Autophagy
GO Term: Calcium-Activated Potassium Channel Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Calcium Homeostasis, APP Metabolism
GO Term: Outward Rectifier Potassium Channel Activity -> Biodomain: Synapse, Oxidative Stress, Apoptosis, Proteostasis, Tau Homeostasis
GO Term: Atp-Activated Inward Rectifier Potassium Channel Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, APP Metabolism, Autophagy
GO Term: Stretch-Activated, Monoatomic Cation-Selective, Calcium Channel Activity -> Biodomain: Synapse, Oxidative Stress, Calcium Homeostasis, Proteostasis, APP Metabolism
GO Term: Ligand-Gated Monoatomic Ion Channel Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Tau Homeostasis, APP Metabolism
GO Term: Kainate Selective Glutamate Receptor Activity -> Biodomain: Synapse, Oxidative Stress, Tau Homeostasis, APP Metabolism, Proteostasis
GO Term: Intracellularly Gated Calcium Channel Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Calcium Binding and Homeostasis, Apoptosis
GO Term: Store-Operated Calcium Channel Activity -> Biodomain: Synapse, Oxidative Stress, Calcium Homeostasis, Immune Response, APP Metabolism
GO Term: Ligand-Gated Sodium Channel Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Tau Homeostasis, APP Metabolism
GO Term: Porin Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, APP Metabolism, Autophagy
GO Term: Secondary Active Transmembrane Transporter Activity -> Biodomain: Proteostasis, Oxidative Stress, APP Metabolism, Autophagy, Metal Binding and Homeostasis
GO Term: Uniporter Activity -> Biodomain: Synapse, APP Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Symporter Activity -> Biodomain: Synapse, APP Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Solute:Proton Symporter Activity -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, APP Metabolism, Proteostasis, Synapse
GO Term: Monoatomic Anion:Monoatomic Cation Symporter Activity -> Biodomain: Ion Transport, Oxidative Stress, APP Metabolism, Endolysosome, Metal Binding and Homeostasis
GO Term: Antiporter Activity -> Biodomain: Proteostasis, Oxidative Stress, APP Metabolism, Autophagy, Tau Homeostasis
GO Term: D-Glucose Uniporter Activity -> Biodomain: Glucose Metabolism, Oxidative Stress, APP Metabolism, Proteostasis, Synapse
GO Term: Monoamine:Proton Antiporter Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, APP Metabolism, Tau Homeostasis
GO Term: Polyamine:Proton Antiporter Activity -> Biodomain: Proteostasis, Oxidative Stress, APP Metabolism, Autophagy, Structural Stabilization
GO Term: Phosphate:Proton Symporter Activity -> Biodomain: Proteostasis, Oxidative Stress, APP Metabolism, Autophagy, Metal Binding and Homeostasis
GO Term: Cystine:Glutamate Antiporter Activity -> Biodomain: Oxidative Stress, Proteostasis, APP Metabolism, Autophagy, Immune Response
GO Term: Peptide:Proton Symporter Activity -> Biodomain: Proteostasis, APP Metabolism, Oxidative Stress, Autophagy, Tau Homeostasis
GO Term: Sodium-Independent Organic Anion Transmembrane Transporter Activity -> Biodomain: APP Metabolism, Oxidative Stress, Proteostasis, Autophagy, Immune Response
GO Term: Thyroid Hormone Transmembrane Transporter Activity -> Biodomain: Thyroid Hormone Transmembrane Transporter Activity, Oxidative Stress, APP Metabolism, Proteostasis, Immune Response
GO Term: Methotrexate Transmembrane Transporter Activity -> Biodomain: APP Metabolism, Oxidative Stress, Proteostasis, Immune Response, Autophagy
GO Term: Secondary Active Monocarboxylate Transmembrane Transporter Activity -> Biodomain: Synapse, Oxidative Stress, APP Metabolism, Autophagy, Mitochondrial Metabolism
GO Term: Low-Affinity Sodium:Dicarboxylate Symporter Activity -> Biodomain: APP Metabolism, Oxidative Stress, Proteostasis, Tau Homeostasis, Autophagy
GO Term: High-Affinity Sodium:Dicarboxylate Symporter Activity -> Biodomain: APP Metabolism, Oxidative Stress, Proteostasis, Autophagy, Immune Response
GO Term: Oxoglutarate:Malate Antiporter Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, APP Metabolism, Autophagy
GO Term: Calcium:Monoatomic Cation Antiporter Activity -> Biodomain: Calcium:Monoatomic Cation Antiporter Activity, Oxidative Stress, Proteostasis, APP Metabolism, Tau Homeostasis
