Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
GO Term: Mitochondrial Genome Maintenance -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Autophagy, Unknown, Proteostasis
GO Term: Udp-Glucose:Hexose-1-Phosphate Uridylyltransferase Activity -> Biodomain: Lipid Metabolism, Unknown, Oxidative Stress, APP Metabolism, Proteostasis
GO Term: N-Acetyllactosaminide Beta-1,6-N-Acetylglucosaminyltransferase Activity -> Biodomain: APP Metabolism, Proteostasis, Synapse, Oxidative Stress, Unknown
GO Term: Alpha-Methylacyl-Coa Racemase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Unknown
GO Term: Nicotinamide N-Methyltransferase Activity -> Biodomain: Oxidative Stress, Proteostasis, APP Metabolism, Autophagy, Unknown
GO Term: Peptide-Methionine (S)-S-Oxide Reductase Activity -> Biodomain: Oxidative Stress, Proteostasis, APP Metabolism, Autophagy, Unknown
GO Term: Sarcosine Oxidase Activity -> Biodomain: Oxidative Stress, Unknown, Proteostasis, APP Metabolism, Autophagy
GO Term: Prostaglandin-I Synthase Activity -> Biodomain: Unknown, Oxidative Stress, Immune Response, APP Metabolism, Proteostasis
GO Term: Sphinganine-1-Phosphate Aldolase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, APP Metabolism, Unknown
GO Term: N-Acetyllactosaminide Alpha-2,3-Sialyltransferase Activity -> Biodomain: Synapse, APP Metabolism, Oxidative Stress, Proteostasis, Unknown
GO Term: Thiopurine S-Methyltransferase Activity -> Biodomain: Unknown, Proteostasis, Oxidative Stress, APP Metabolism, Autophagy
GO Term: Ceramide Glucosyltransferase Activity -> Biodomain: Lipid Metabolism, Unknown, Proteostasis, Oxidative Stress, APP Metabolism
GO Term: Quinol-Cytochrome-C Reductase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Apoptosis, Proteostasis, Unknown
GO Term: Cholesterol 7-Alpha-Monooxygenase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, APP Metabolism, Unknown, Proteostasis
GO Term: 4-Alpha-Hydroxytetrahydrobiopterin Dehydratase Activity -> Biodomain: Oxidative Stress, APP Metabolism, Proteostasis, Unknown, Autophagy
GO Term: Acetylesterase Activity -> Biodomain: Proteostasis, APP Metabolism, Oxidative Stress, Unknown, Autophagy
GO Term: Quercetin 2,3-Dioxygenase Activity -> Biodomain: Oxidative Stress, APP Metabolism, Proteostasis, Unknown, Autophagy
GO Term: Primary Methylamine Oxidase Activity -> Biodomain: Oxidative Stress, Proteostasis, APP Metabolism, Autophagy, Unknown
GO Term: Transcription Factor Binding -> Biodomain: Transcription Factor Binding, Unknown, Proteostasis, Apoptosis, Immune Response
GO Term: Translation Factor Activity, Rna Binding -> Biodomain: Unknown, Proteostasis, RNA Spliceosome, Apoptosis, Tau Homeostasis
GO Term: Nadh Dehydrogenase (Ubiquinone) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, APP Metabolism, Unknown
GO Term: Protein Tyrosine/Serine/Threonine Phosphatase Activity -> Biodomain: Proteostasis, Apoptosis, Oxidative Stress, Tau Homeostasis, Unknown
GO Term: Nuclear Localization Sequence Binding -> Biodomain: Unknown, Proteostasis, Tau Homeostasis, Apoptosis, Immune Response
GO Term: Camp Response Element Binding Protein Binding -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Unknown
GO Term: Oxysterol Binding -> Biodomain: Oxidative Stress, Lipid Metabolism, APP Metabolism, Unknown, Proteostasis
GO Term: Poly(A) Binding -> Biodomain: RNA Spliceosome, Unknown, Proteostasis, Apoptosis, Tau Homeostasis
GO Term: Sulfotransferase Activity -> Biodomain: Oxidative Stress, Proteostasis, APP Metabolism, Tau Homeostasis, Unknown
GO Term: Structural Constituent Of Bone -> Biodomain: Unknown, Structural Stabilization, Immune Response, Oxidative Stress, Apoptosis
GO Term: Biological Process -> Biodomain: Unknown, Proteostasis, Apoptosis, Oxidative Stress, Immune Response
GO Term: Actin Polymerization Or Depolymerization -> Biodomain: Synapse, Proteostasis, Apoptosis, Unknown, Actin Polymerization
GO Term: Negative Regulation Of Dna Replication -> Biodomain: Cell Cycle, DNA Repair, Apoptosis, Unknown, Immune Response
GO Term: Protein Phosphatase 1 Binding -> Biodomain: Proteostasis, Tau Homeostasis, Apoptosis, Synapse, Unknown
GO Term: Hedgehog Receptor Activity -> Biodomain: Unknown, Immune Response, Synapse, Proteostasis, Apoptosis
GO Term: Protein Tyrosine Phosphatase Activator Activity -> Biodomain: Unknown, Proteostasis, Apoptosis, Immune Response, Synapse
GO Term: Methyltransferase Activity -> Biodomain: Unknown, Epigenetic, Proteostasis, Oxidative Stress, APP Metabolism
GO Term: C-Methyltransferase Activity -> Biodomain: Unknown, APP Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: N-Methyltransferase Activity -> Biodomain: Unknown, Proteostasis, Oxidative Stress, APP Metabolism, Tau Homeostasis
GO Term: O-Methyltransferase Activity -> Biodomain: Unknown, Proteostasis, APP Metabolism, Oxidative Stress, Tau Homeostasis
GO Term: S-Methyltransferase Activity -> Biodomain: Unknown, Oxidative Stress, Proteostasis, APP Metabolism, Metal Binding and Homeostasis
GO Term: Rna Methyltransferase Activity -> Biodomain: Unknown, RNA Spliceosome, Apoptosis, Proteostasis, Tau Homeostasis
GO Term: Mrna Methyltransferase Activity -> Biodomain: Unknown, RNA Spliceosome, Proteostasis, Apoptosis, Tau Homeostasis
GO Term: Trna Methyltransferase Activity -> Biodomain: Unknown, Proteostasis, RNA Spliceosome, Apoptosis, Oxidative Stress
GO Term: Trna (Guanine(46)-N7)-Methyltransferase Activity -> Biodomain: Unknown, Proteostasis, RNA Spliceosome, Apoptosis, Oxidative Stress
GO Term: Succinate Dehydrogenase (Quinone) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, APP Metabolism, Autophagy
GO Term: Adenylate Cyclase Binding -> Biodomain: Unknown, Synapse, Immune Response, Oxidative Stress, Proteostasis
GO Term: Cop9 Signalosome -> Biodomain: Proteostasis, Autophagy, Tau Homeostasis, Unknown, Immune Response
GO Term: Glycogen Phosphorylase Activity -> Biodomain: Unknown, Lipid Metabolism, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Atp-Dependent Activity, Acting On Rna -> Biodomain: RNA Spliceosome, Unknown, Proteostasis, Autophagy, Tau Homeostasis
GO Term: Poly-Pyrimidine Tract Binding -> Biodomain: RNA Spliceosome, Unknown, Proteostasis, Apoptosis, Tau Homeostasis
GO Term: Neuropeptide Receptor Activity -> Biodomain: Synapse, Immune Response, Unknown, Oxidative Stress, Proteostasis
GO Term: Eukaryotic Initiation Factor 4E Binding -> Biodomain: Unknown, Proteostasis, Synapse, Apoptosis, Tau Homeostasis
GO Term: Metalloendopeptidase Inhibitor Activity -> Biodomain: Metal Binding and Homeostasis, Proteostasis, APP Metabolism, Oxidative Stress, Unknown
GO Term: Rna Guanylyltransferase Activity -> Biodomain: Unknown, RNA Spliceosome, Proteostasis, Apoptosis, Endolysosome
GO Term: Trna Guanylyltransferase Activity -> Biodomain: Unknown, Proteostasis, RNA Spliceosome, Apoptosis, Oxidative Stress
GO Term: Udp-Glycosyltransferase Activity -> Biodomain: Proteostasis, APP Metabolism, Oxidative Stress, Autophagy, Unknown
GO Term: Phosphatidate Phosphatase Activity -> Biodomain: Lipid Metabolism, APP Metabolism, Oxidative Stress, Autophagy, Unknown
GO Term: Ferrous Iron Binding -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, APP Metabolism, Unknown, Immune Response
GO Term: Ferric Iron Binding -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Unknown, APP Metabolism, Immune Response
GO Term: Ion Channel Inhibitor Activity -> Biodomain: Synapse, Oxidative Stress, Apoptosis, Unknown, Proteostasis
GO Term: Heparin Binding -> Biodomain: Unknown, Immune Response, Proteostasis, Oxidative Stress, APP Metabolism
GO Term: Steroid Metabolic Process -> Biodomain: Unknown, Lipid Metabolism, Oxidative Stress, Proteostasis, Immune Response
GO Term: Cholesterol Metabolic Process -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, APP Metabolism, Unknown
GO Term: Bile Acid Metabolic Process -> Biodomain: Unknown, Lipid Metabolism, Oxidative Stress, Immune Response, Autophagy
GO Term: C21-Steroid Hormone Metabolic Process -> Biodomain: Unknown, Lipid Metabolism, Oxidative Stress, Immune Response, Apoptosis
GO Term: Androgen Metabolic Process -> Biodomain: Unknown, Lipid Metabolism, Oxidative Stress, Immune Response, Apoptosis
GO Term: Estrogen Metabolic Process -> Biodomain: Unknown, Lipid Metabolism, Immune Response, Oxidative Stress, Proteostasis
GO Term: Glucocorticoid Metabolic Process -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Unknown, Endolysosome
GO Term: Spermine Metabolic Process -> Biodomain: Unknown, Oxidative Stress, Proteostasis, APP Metabolism, Autophagy
GO Term: Spermidine Metabolic Process -> Biodomain: Unknown, Oxidative Stress, Autophagy, APP Metabolism, Proteostasis
GO Term: Regulation Of Blood Pressure -> Biodomain: Vasculature, Oxidative Stress, Immune Response, Unknown, Proteostasis
GO Term: Cell Death -> Biodomain: Apoptosis, Oxidative Stress, Proteostasis, Immune Response, Unknown
GO Term: G Protein-Coupled Amine Receptor Activity -> Biodomain: Synapse, Immune Response, Oxidative Stress, Proteostasis, Unknown
GO Term: Opsonization -> Biodomain: Immune Response, Unknown, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Peptidase Activity -> Biodomain: Proteostasis, APP Metabolism, Oxidative Stress, Autophagy, Unknown
GO Term: Cysteine-Type Peptidase Activity -> Biodomain: Proteostasis, Apoptosis, Autophagy, Unknown, Immune Response
GO Term: Metalloexopeptidase Activity -> Biodomain: Metal Binding and Homeostasis, Proteostasis, APP Metabolism, Oxidative Stress, Unknown
GO Term: Serine-Type Peptidase Activity -> Biodomain: Proteostasis, APP Metabolism, Oxidative Stress, Tau Homeostasis, Autophagy
GO Term: Metallopeptidase Activity -> Biodomain: Metal Binding and Homeostasis, Proteostasis, APP Metabolism, Oxidative Stress, Unknown
GO Term: Exopeptidase Activity -> Biodomain: Proteostasis, APP Metabolism, Unknown, Oxidative Stress, Autophagy
GO Term: Dipeptidyl-Peptidase Activity -> Biodomain: Proteostasis, Unknown, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Tripeptidyl-Peptidase Activity -> Biodomain: Proteostasis, Unknown, Apoptosis, Endolysosome, Tau Homeostasis
GO Term: Peptidyl-Dipeptidase Activity -> Biodomain: Proteostasis, APP Metabolism, Unknown, Autophagy, Oxidative Stress
GO Term: Omega Peptidase Activity -> Biodomain: Proteostasis, Apoptosis, Tau Homeostasis, Endolysosome, Unknown
GO Term: 1-Alkyl-2-Acetylglycerophosphocholine Esterase Complex -> Biodomain: Lipid Metabolism, Oxidative Stress, Immune Response, Proteostasis, Unknown
GO Term: Oligosaccharyltransferase Complex -> Biodomain: Endolysosome, Proteostasis, APP Metabolism, Unknown, Oxidative Stress
GO Term: Trna-Specific Adenosine Deaminase Activity -> Biodomain: Unknown, Proteostasis, RNA Spliceosome, Apoptosis, Oxidative Stress
GO Term: Nucleotidase Activity -> Biodomain: Unknown, Proteostasis, Apoptosis, Immune Response, Endolysosome
GO Term: 5'-Nucleotidase Activity -> Biodomain: Unknown, Proteostasis, Apoptosis, Oxidative Stress, APP Metabolism
GO Term: 3'-Nucleotidase Activity -> Biodomain: Unknown, Proteostasis, Apoptosis, Oxidative Stress, APP Metabolism
GO Term: Succinyl-Coa:3-Oxo-Acid Coa-Transferase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, APP Metabolism
GO Term: Pyrimidine-Specific Mismatch Base Pair Dna N-Glycosylase Activity -> Biodomain: DNA Repair, Unknown, Apoptosis, Oxidative Stress, Immune Response
GO Term: Molybdenum Cofactor Sulfurtransferase Activity -> Biodomain: Unknown, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, APP Metabolism
GO Term: Poly(U) Rna Binding -> Biodomain: Unknown, RNA Spliceosome, Proteostasis, Apoptosis, Tau Homeostasis
GO Term: Jak Pathway Signal Transduction Adaptor Activity -> Biodomain: Immune Response, Unknown, Apoptosis, Proteostasis, Oxidative Stress
GO Term: Zinc Ion Binding -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, APP Metabolism, Unknown, Proteostasis
GO Term: Secondary Active Sulfate Transmembrane Transporter Activity -> Biodomain: Unknown, Oxidative Stress, APP Metabolism, Autophagy, Immune Response
GO Term: Calcium, Potassium:Sodium Antiporter Activity -> Biodomain: Calcium, Potassium:Sodium Antiporter Activity, Oxidative Stress, Synapse, APP Metabolism, Unknown
GO Term: Gamma-Tubulin Small Complex -> Biodomain: Unknown, Proteostasis, Tau Homeostasis, Cell Cycle, Synapse
GO Term: Protein Methyltransferase Activity -> Biodomain: Proteostasis, Unknown, Tau Homeostasis, Apoptosis, Immune Response
GO Term: Regulation Of G Protein-Coupled Receptor Signaling Pathway -> Biodomain: Synapse, Oxidative Stress, Immune Response, APP Metabolism, Unknown
GO Term: Cohesin Complex -> Biodomain: Unknown, Cell Cycle, Proteostasis, Tau Homeostasis, Apoptosis
GO Term: Sulfonylurea Receptor Activity -> Biodomain: Unknown, Synapse, Immune Response, Apoptosis, Oxidative Stress
GO Term: Inward Rectifying Potassium Channel -> Biodomain: Synapse, Oxidative Stress, Apoptosis, Proteostasis, Unknown
GO Term: Cell Population Proliferation -> Biodomain: Cell Cycle, Apoptosis, Immune Response, Unknown, Proteostasis
GO Term: Positive Regulation Of Cell Population Proliferation -> Biodomain: Cell Cycle, Apoptosis, Immune Response, Unknown, Proteostasis
GO Term: Negative Regulation Of Cell Population Proliferation -> Biodomain: Cell Cycle, Apoptosis, Immune Response, Unknown, Proteostasis
GO Term: Insulin Receptor Signaling Pathway -> Biodomain: Synapse, Oxidative Stress, Proteostasis, APP Metabolism, Unknown
GO Term: Protein Serine/Threonine Phosphatase Complex -> Biodomain: Proteostasis, Tau Homeostasis, Apoptosis, Unknown, Endolysosome
GO Term: Lipid Binding -> Biodomain: Lipid Metabolism, Unknown, Oxidative Stress, APP Metabolism, Proteostasis
GO Term: F-Actin Capping Protein Complex -> Biodomain: Synapse, Proteostasis, Unknown, Apoptosis, Tau Homeostasis
GO Term: Acetylcholine Biosynthetic Process -> Biodomain: Synapse, Unknown, Acetylcholine Metabolism, Immune Response, Oxidative Stress
GO Term: Calcium- And Calmodulin-Responsive Adenylate Cyclase Activity -> Biodomain: Synapse, Oxidative Stress, Calcium Homeostasis, APP Metabolism, Unknown
GO Term: Spermidine Biosynthetic Process -> Biodomain: Unknown, Oxidative Stress, Autophagy, Proteostasis, APP Metabolism
GO Term: 3'-5'-Dna Exonuclease Activity -> Biodomain: DNA Repair, Unknown, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Single-Stranded Dna Exodeoxyribonuclease Activity -> Biodomain: Unknown, DNA Repair, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Intracellular Mrna Localization -> Biodomain: Synapse, Proteostasis, Tau Homeostasis, Unknown, APP Metabolism
GO Term: Isoprenoid Biosynthetic Process -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, APP Metabolism, Unknown
GO Term: Dna Binding, Bending -> Biodomain: Unknown, DNA Repair, Epigenetic, Proteostasis, Autophagy
GO Term: Caspase Complex -> Biodomain: Apoptosis, Immune Response, Oxidative Stress, Proteostasis, Unknown
GO Term: Integrin Complex -> Biodomain: Synapse, Proteostasis, Immune Response, Oxidative Stress, Unknown
GO Term: Associative Learning -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Immune Response, Unknown
GO Term: Structural Constituent Of Muscle -> Biodomain: Unknown, Structural Stabilization, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Voltage-Gated Monoatomic Anion Channel Activity -> Biodomain: Synapse, Oxidative Stress, Apoptosis, Proteostasis, Unknown
GO Term: Double-Stranded Dna Exodeoxyribonuclease Activity -> Biodomain: Unknown, DNA Repair, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Single-Stranded Dna 3'-5' Dna Exonuclease Activity -> Biodomain: Unknown, DNA Repair, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Double-Stranded Dna 3'-5' Dna Exonuclease Activity -> Biodomain: Unknown, DNA Repair, Apoptosis, Oxidative Stress, Proteostasis
GO Term: 7S Rna Binding -> Biodomain: Unknown, Proteostasis, RNA Spliceosome, Apoptosis, Immune Response
GO Term: G2/Mi Transition Of Meiotic Cell Cycle -> Biodomain: Cell Cycle, Unknown, Apoptosis, Immune Response, Structural Stabilization
GO Term: Protein Prenyltransferase Activity -> Biodomain: Proteostasis, Unknown, Tau Homeostasis, APP Metabolism, Oxidative Stress
GO Term: Protein Transmembrane Transporter Activity -> Biodomain: Synapse, APP Metabolism, Endolysosome, Proteostasis, Oxidative Stress
GO Term: Monoatomic Cation Transmembrane Transporter Activity -> Biodomain: Ion Transport, Metal Binding and Homeostasis, Oxidative Stress, APP Metabolism, Unknown
GO Term: Methyl-Cpg Binding -> Biodomain: Epigenetic, Unknown, Proteostasis, Tau Homeostasis, APP Metabolism
GO Term: Ionotropic Glutamate Receptor Complex -> Biodomain: Synapse, Oxidative Stress, Proteostasis, APP Metabolism, Unknown
GO Term: Protein Tyrosine/Threonine Phosphatase Activity -> Biodomain: Proteostasis, Apoptosis, Tau Homeostasis, Oxidative Stress, Unknown
GO Term: High Voltage-Gated Calcium Channel Activity -> Biodomain: Synapse, Oxidative Stress, Calcium Homeostasis, APP Metabolism, Unknown
GO Term: Low Voltage-Gated Calcium Channel Activity -> Biodomain: Synapse, Oxidative Stress, Calcium Homeostasis, APP Metabolism, Unknown
