Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
GO Term: Mitochondrial Genome Maintenance -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Unknown, Apoptosis
GO Term: Monocarboxylic Acid Transmembrane Transporter Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Unknown, Mitochondrial Metabolism
GO Term: Trna Processing -> Biodomain: RNA Spliceosome, Unknown, Proteostasis, Synapse, Oxidative Stress
GO Term: High-Density Lipoprotein Particle Binding -> Biodomain: Lipid Metabolism, Unknown, Oxidative Stress, Proteostasis, Synapse
GO Term: Cell Recognition -> Biodomain: Synapse, Proteostasis, Unknown, Immune Response, Apoptosis
GO Term: Neuron Recognition -> Biodomain: Synapse, Proteostasis, Unknown, Oxidative Stress, Apoptosis
GO Term: Synaptic Target Recognition -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, Unknown
GO Term: Motor Neuron Axon Guidance -> Biodomain: Synapse, Proteostasis, Unknown, Apoptosis, Oxidative Stress
GO Term: Axon Guidance Receptor Activity -> Biodomain: Synapse, Proteostasis, Unknown, Oxidative Stress, Apoptosis
GO Term: Enzyme Activator Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Unknown, RNA Spliceosome
GO Term: Calcium Sensitive Guanylate Cyclase Activator Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Unknown, Calcium Homeostasis
GO Term: Male Courtship Behavior -> Biodomain: Synapse, Proteostasis, Unknown, Oxidative Stress, Immune Response
GO Term: Female Courtship Behavior -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Unknown, Immune Response
GO Term: Sensory Organ Boundary Specification -> Biodomain: Synapse, Unknown, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Mitochondrial Fusion -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Unknown, Mitochondrial Metabolism
GO Term: Eye Pigment Granule Organization -> Biodomain: Unknown, Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Chitin Binding -> Biodomain: Unknown, Proteostasis, Synapse, Oxidative Stress, Apoptosis
GO Term: Toll Signaling Pathway -> Biodomain: Synapse, Immune Response, Oxidative Stress, Proteostasis, Unknown
GO Term: Regulation Of Actin Polymerization Or Depolymerization -> Biodomain: Synapse, Proteostasis, Unknown, Oxidative Stress, Apoptosis
GO Term: Establishment Of Blood-Nerve Barrier -> Biodomain: Synapse, Unknown, Immune Response, Oxidative Stress, Proteostasis
GO Term: Glutamate Receptor Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Unknown, Mitochondrial Metabolism
GO Term: Extracellularly Glutamate-Gated Chloride Channel Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Unknown, Apoptosis
GO Term: Ornithine Decarboxylase Inhibitor Activity -> Biodomain: Unknown, Proteostasis, Synapse, Oxidative Stress, Apoptosis
GO Term: Guanylate Cyclase Complex, Soluble -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Unknown, Mitochondrial Metabolism
GO Term: Voltage-Gated Potassium Channel Complex -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Unknown
GO Term: Mesodermal Cell Migration -> Biodomain: Unknown, Synapse, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Translation Termination Factor Activity -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Unknown, Oxidative Stress
GO Term: N-Acetyltransferase Activity -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Apoptosis, Unknown
GO Term: Phosphoric Diester Hydrolase Activity -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Apoptosis, Unknown
GO Term: Growth Factor Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Unknown, Mitochondrial Metabolism
GO Term: Axo-Dendritic Transport -> Biodomain: Synapse, Proteostasis, Unknown, Oxidative Stress, Autophagy
GO Term: Anterograde Axonal Transport -> Biodomain: Synapse, Proteostasis, Unknown, Oxidative Stress, Mitochondrial Metabolism
GO Term: Retrograde Axonal Transport -> Biodomain: Synapse, Proteostasis, Unknown, Oxidative Stress, Mitochondrial Metabolism
GO Term: Spectrin -> Biodomain: Synapse, Proteostasis, Unknown, Oxidative Stress, Structural Stabilization
GO Term: Cytoskeletal Protein Binding -> Biodomain: Synapse, Proteostasis, Unknown, Oxidative Stress, Structural Stabilization
GO Term: Cytoskeletal Anchor Activity -> Biodomain: Synapse, Proteostasis, Unknown, Structural Stabilization, Apoptosis
GO Term: Atp-Dependent Activity, Acting On Dna -> Biodomain: Synapse, Proteostasis, Apoptosis, DNA Repair, Unknown
GO Term: 5S Rrna Binding -> Biodomain: RNA Spliceosome, Synapse, Proteostasis, Unknown, Oxidative Stress
GO Term: Protein Localization -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Apoptosis, Unknown
GO Term: Alcohol Dehydrogenase (Nadp+) Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Unknown, Apoptosis
GO Term: Galactoside 2-Alpha-L-Fucosyltransferase Activity -> Biodomain: Unknown, Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Udp-Glucose:Hexose-1-Phosphate Uridylyltransferase Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Unknown, RNA Spliceosome
GO Term: N-Acetyllactosaminide Beta-1,6-N-Acetylglucosaminyltransferase Activity -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Unknown, Oxidative Stress
GO Term: Alpha-Methylacyl-Coa Racemase Activity -> Biodomain: Unknown, Proteostasis, Synapse, Oxidative Stress, Autophagy
GO Term: Nicotinamide N-Methyltransferase Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Unknown, RNA Spliceosome
GO Term: Peptide-Methionine (S)-S-Oxide Reductase Activity -> Biodomain: Oxidative Stress, Proteostasis, Synapse, Unknown, Apoptosis
GO Term: Sarcosine Oxidase Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Unknown, Autophagy
GO Term: Prostaglandin-I Synthase Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Unknown, Apoptosis
GO Term: Sphinganine-1-Phosphate Aldolase Activity -> Biodomain: Unknown, Synapse, Oxidative Stress, Proteostasis, Autophagy
GO Term: N-Acetyllactosaminide Alpha-2,3-Sialyltransferase Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Unknown, RNA Spliceosome
GO Term: Thiopurine S-Methyltransferase Activity -> Biodomain: Unknown, Synapse, Proteostasis, Oxidative Stress, RNA Spliceosome
GO Term: Ceramide Glucosyltransferase Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Unknown, Lipid Metabolism
GO Term: Quinol-Cytochrome-C Reductase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Unknown
GO Term: Cholesterol 7-Alpha-Monooxygenase Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Unknown, Lipid Metabolism
GO Term: 4-Alpha-Hydroxytetrahydrobiopterin Dehydratase Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Unknown, RNA Spliceosome
GO Term: Acetylesterase Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Unknown, RNA Spliceosome
GO Term: Quercetin 2,3-Dioxygenase Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Unknown, RNA Spliceosome
GO Term: Primary Methylamine Oxidase Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Unknown, RNA Spliceosome
GO Term: Transcription Factor Binding -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Epigenetic, Unknown
GO Term: Translation Factor Activity, Rna Binding -> Biodomain: Synapse, RNA Spliceosome, Proteostasis, Unknown, Oxidative Stress
GO Term: Nadh Dehydrogenase (Ubiquinone) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Unknown
GO Term: Protein Tyrosine/Serine/Threonine Phosphatase Activity -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, Unknown
GO Term: Nuclear Localization Sequence Binding -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Unknown, Epigenetic
GO Term: Camp Response Element Binding Protein Binding -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Unknown, Epigenetic
GO Term: Oxysterol Binding -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Unknown, Lipid Metabolism
GO Term: Poly(A) Binding -> Biodomain: RNA Spliceosome, Synapse, Proteostasis, Unknown, Oxidative Stress
GO Term: Sulfotransferase Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Unknown, RNA Spliceosome
GO Term: Structural Constituent Of Bone -> Biodomain: Unknown, Structural Stabilization, Synapse, Proteostasis, Oxidative Stress
GO Term: Biological Process -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Unknown
GO Term: Actin Polymerization Or Depolymerization -> Biodomain: Synapse, Proteostasis, Unknown, Apoptosis, Oxidative Stress
GO Term: Negative Regulation Of Dna Replication -> Biodomain: Unknown, DNA Repair, Epigenetic, Synapse, Proteostasis
GO Term: Protein Phosphatase 1 Binding -> Biodomain: Synapse, Proteostasis, Unknown, Apoptosis, RNA Spliceosome
GO Term: Hedgehog Receptor Activity -> Biodomain: Synapse, Proteostasis, Unknown, Oxidative Stress, Apoptosis
GO Term: Protein Tyrosine Phosphatase Activator Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Unknown
GO Term: Methyltransferase Activity -> Biodomain: Synapse, Proteostasis, Epigenetic, Unknown, Oxidative Stress
GO Term: C-Methyltransferase Activity -> Biodomain: Unknown, Synapse, Proteostasis, RNA Spliceosome, Epigenetic
GO Term: N-Methyltransferase Activity -> Biodomain: Synapse, Proteostasis, Unknown, RNA Spliceosome, Epigenetic
GO Term: O-Methyltransferase Activity -> Biodomain: Synapse, RNA Spliceosome, Proteostasis, Unknown, Oxidative Stress
GO Term: S-Methyltransferase Activity -> Biodomain: Unknown, Proteostasis, Synapse, Oxidative Stress, Epigenetic
GO Term: Rna Methyltransferase Activity -> Biodomain: RNA Spliceosome, Synapse, Proteostasis, Unknown, Oxidative Stress
GO Term: Mrna Methyltransferase Activity -> Biodomain: RNA Spliceosome, Synapse, Proteostasis, Unknown, Epigenetic
GO Term: Trna Methyltransferase Activity -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Unknown, Oxidative Stress
GO Term: Trna (Guanine(46)-N7)-Methyltransferase Activity -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Oxidative Stress, Unknown
GO Term: Succinate Dehydrogenase (Quinone) Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Apoptosis, Unknown
GO Term: Adenylate Cyclase Binding -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Unknown, Mitochondrial Metabolism
GO Term: Cop9 Signalosome -> Biodomain: Proteostasis, Synapse, Apoptosis, Unknown, RNA Spliceosome
GO Term: Glycogen Phosphorylase Activity -> Biodomain: Unknown, Synapse, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Atp-Dependent Activity, Acting On Rna -> Biodomain: RNA Spliceosome, Synapse, Proteostasis, Unknown, Oxidative Stress
GO Term: Poly-Pyrimidine Tract Binding -> Biodomain: RNA Spliceosome, Synapse, Proteostasis, Unknown, Oxidative Stress
GO Term: Neuropeptide Receptor Activity -> Biodomain: Synapse, Unknown, Proteostasis, Oxidative Stress, Immune Response
GO Term: Eukaryotic Initiation Factor 4E Binding -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Unknown, Oxidative Stress
GO Term: Metalloendopeptidase Inhibitor Activity -> Biodomain: Proteostasis, Synapse, Oxidative Stress, Unknown, Metal Binding and Homeostasis
GO Term: Rna Guanylyltransferase Activity -> Biodomain: RNA Spliceosome, Unknown, Proteostasis, Synapse, Epigenetic
GO Term: Trna Guanylyltransferase Activity -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Unknown, Oxidative Stress
GO Term: Udp-Glycosyltransferase Activity -> Biodomain: Synapse, Proteostasis, Unknown, Oxidative Stress, RNA Spliceosome
GO Term: Phosphatidate Phosphatase Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Unknown, Lipid Metabolism
GO Term: Ferrous Iron Binding -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Unknown, Proteostasis, Synapse
GO Term: Ferric Iron Binding -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Unknown, Proteostasis, Synapse
GO Term: Ion Channel Inhibitor Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Apoptosis, Unknown
GO Term: Heparin Binding -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Unknown, Mitochondrial Metabolism
GO Term: Steroid Metabolic Process -> Biodomain: Unknown, Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Cholesterol Metabolic Process -> Biodomain: Lipid Metabolism, Synapse, Proteostasis, Oxidative Stress, Unknown
GO Term: Bile Acid Metabolic Process -> Biodomain: Unknown, Proteostasis, Oxidative Stress, Synapse, Lipid Metabolism
GO Term: C21-Steroid Hormone Metabolic Process -> Biodomain: Unknown, Oxidative Stress, Proteostasis, Synapse, Apoptosis
GO Term: Androgen Metabolic Process -> Biodomain: Unknown, Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Estrogen Metabolic Process -> Biodomain: Unknown, Synapse, Oxidative Stress, Proteostasis, Estrogen Metabolic Process
GO Term: Glucocorticoid Metabolic Process -> Biodomain: Unknown, Oxidative Stress, Proteostasis, Synapse, Epigenetic
GO Term: Spermine Metabolic Process -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Unknown, Mitochondrial Metabolism
GO Term: Spermidine Metabolic Process -> Biodomain: Unknown, Proteostasis, Oxidative Stress, Synapse, Autophagy
GO Term: Regulation Of Blood Pressure -> Biodomain: Unknown, Vasculature, Oxidative Stress, Proteostasis, Synapse
GO Term: Cell Death -> Biodomain: Apoptosis, Synapse, Proteostasis, Oxidative Stress, Unknown
GO Term: G Protein-Coupled Amine Receptor Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Unknown, RNA Spliceosome
GO Term: Opsonization -> Biodomain: Immune Response, Unknown, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Peptidase Activity -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, Unknown
GO Term: Cysteine-Type Peptidase Activity -> Biodomain: Proteostasis, Synapse, Apoptosis, Oxidative Stress, Unknown
GO Term: Metalloexopeptidase Activity -> Biodomain: Proteostasis, Metal Binding and Homeostasis, Synapse, Unknown, Oxidative Stress
GO Term: Serine-Type Peptidase Activity -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, Unknown
GO Term: Metallopeptidase Activity -> Biodomain: Proteostasis, Synapse, Oxidative Stress, Unknown, Metal Binding and Homeostasis
GO Term: Exopeptidase Activity -> Biodomain: Proteostasis, Synapse, Unknown, Apoptosis, RNA Spliceosome
GO Term: Dipeptidyl-Peptidase Activity -> Biodomain: Proteostasis, Synapse, Unknown, Apoptosis, Oxidative Stress
GO Term: Tripeptidyl-Peptidase Activity -> Biodomain: Proteostasis, Synapse, Unknown, Apoptosis, RNA Spliceosome
GO Term: Peptidyl-Dipeptidase Activity -> Biodomain: Proteostasis, Synapse, Unknown, Apoptosis, RNA Spliceosome
GO Term: Omega Peptidase Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Unknown
GO Term: 1-Alkyl-2-Acetylglycerophosphocholine Esterase Complex -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Unknown, Apoptosis
GO Term: Oligosaccharyltransferase Complex -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Unknown, Oxidative Stress
GO Term: Trna-Specific Adenosine Deaminase Activity -> Biodomain: RNA Spliceosome, Synapse, Proteostasis, Unknown, Oxidative Stress
GO Term: Nucleotidase Activity -> Biodomain: Unknown, Synapse, Proteostasis, RNA Spliceosome, Apoptosis
GO Term: 5'-Nucleotidase Activity -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Oxidative Stress, Unknown
GO Term: 3'-Nucleotidase Activity -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Unknown, Oxidative Stress
GO Term: Succinyl-Coa:3-Oxo-Acid Coa-Transferase Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Unknown, Mitochondrial Metabolism
GO Term: Pyrimidine-Specific Mismatch Base Pair Dna N-Glycosylase Activity -> Biodomain: DNA Repair, Unknown, Epigenetic, Synapse, Proteostasis
GO Term: Molybdenum Cofactor Sulfurtransferase Activity -> Biodomain: Unknown, Proteostasis, Oxidative Stress, Synapse, Apoptosis
GO Term: Poly(U) Rna Binding -> Biodomain: RNA Spliceosome, Synapse, Proteostasis, Unknown, Epigenetic
GO Term: Jak Pathway Signal Transduction Adaptor Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Unknown, Immune Response
GO Term: Zinc Ion Binding -> Biodomain: Metal Binding and Homeostasis, Synapse, Proteostasis, Oxidative Stress, Unknown
GO Term: Secondary Active Sulfate Transmembrane Transporter Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Unknown, Apoptosis
GO Term: Calcium, Potassium:Sodium Antiporter Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Calcium Homeostasis, Unknown
GO Term: Gamma-Tubulin Small Complex -> Biodomain: Synapse, Proteostasis, Unknown, Apoptosis, Structural Stabilization
GO Term: Protein Methyltransferase Activity -> Biodomain: Synapse, Proteostasis, Unknown, Oxidative Stress, Epigenetic
GO Term: Regulation Of G Protein-Coupled Receptor Signaling Pathway -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Unknown, Apoptosis
GO Term: Cohesin Complex -> Biodomain: Synapse, Proteostasis, Unknown, Apoptosis, DNA Repair
GO Term: Sulfonylurea Receptor Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Unknown, Mitochondrial Metabolism
GO Term: Inward Rectifying Potassium Channel -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Unknown
GO Term: Cell Population Proliferation -> Biodomain: Cell Cycle, Synapse, Apoptosis, Proteostasis, Unknown
GO Term: Positive Regulation Of Cell Population Proliferation -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, Unknown
GO Term: Negative Regulation Of Cell Population Proliferation -> Biodomain: Synapse, Proteostasis, Apoptosis, Unknown, Oxidative Stress
GO Term: Insulin Receptor Signaling Pathway -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Unknown, Mitochondrial Metabolism
GO Term: Protein Serine/Threonine Phosphatase Complex -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, Unknown
GO Term: Lipid Binding -> Biodomain: Lipid Metabolism, Synapse, Proteostasis, Oxidative Stress, Unknown
GO Term: F-Actin Capping Protein Complex -> Biodomain: Synapse, Proteostasis, Unknown, Oxidative Stress, Apoptosis
GO Term: Acetylcholine Biosynthetic Process -> Biodomain: Synapse, Proteostasis, Unknown, Oxidative Stress, Acetylcholine Biosynthetic Process
GO Term: Calcium- And Calmodulin-Responsive Adenylate Cyclase Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Calcium Signaling, Unknown
