Running with TEMP=0.5, sub_array_index=16
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 16: rows 15000 to 15999
GO Term: Hippocampal Mossy Fiber To Ca3 Synapse -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Proteostasis, Autophagy
GO Term: Very Long-Chain Fatty Acid Omega-Hydroxylase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis
GO Term: Molecular Condensate Scaffold Activity -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Endolysosome, RNA Spliceosome
GO Term: Membraneless Organelle Assembly -> Biodomain: Proteostasis, RNA Spliceosome, Epigenetic, DNA Repair, Cell Cycle
GO Term: Protein-Containing Complex Localization To Centriolar Satellite -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Endolysosome, Autophagy
GO Term: Cat Tailing -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Histone Chaperone Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Structural Stabilization, Cell Cycle
GO Term: Facultative Heterochromatin Formation -> Biodomain: Epigenetic, Cell Cycle, Structural Stabilization, Proteostasis, Autophagy
GO Term: Constitutive Heterochromatin Formation -> Biodomain: Epigenetic, Structural Stabilization, DNA Repair, Cell Cycle, Proteostasis
GO Term: Nlrp6 Inflammasome Complex -> Biodomain: Immune Response, Oxidative Stress, Autophagy, Proteostasis, Apoptosis
GO Term: Nlrp6 Inflammasome Complex Assembly -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Endolysosome, Apoptosis
GO Term: Lncrna Transcription -> Biodomain: Epigenetic, DNA Repair, RNA Spliceosome, Autophagy, Cell Cycle
GO Term: Negative Regulation Of Lncrna Transcription -> Biodomain: Epigenetic, DNA Repair, RNA Spliceosome, Cell Cycle, Autophagy
GO Term: Sirna Transcription -> Biodomain: Epigenetic, Immune Response, RNA Spliceosome, Autophagy, Proteostasis
GO Term: Phlorizin Hydrolase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Nucleosome Array Spacer Activity -> Biodomain: Epigenetic, DNA Repair, Structural Stabilization, Cell Cycle, Proteostasis
GO Term: Histone Octamer Slider Activity -> Biodomain: Epigenetic, DNA Repair, Structural Stabilization, Cell Cycle, Proteostasis
GO Term: Reorganization Of Cellular Membranes To Establish Viral Sites Of Replication -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Histone H3K56 Methyltransferase Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Metal Binding and Homeostasis
GO Term: Histone H3K56 Deacetylase Activity, Nad-Dependent -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Structural Stabilization, Oxidative Stress
GO Term: Enzyme-Substrate Adaptor Activity -> Biodomain: Proteostasis, Autophagy, Structural Stabilization, Endolysosome, Vasculature
GO Term: Protein Adp-Ribosyltransferase-Substrate Adaptor Activity -> Biodomain: Proteostasis, Autophagy, Apoptosis, DNA Repair, Epigenetic
GO Term: Nad-Dependent Protein Demyristoylase Activity -> Biodomain: Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy
GO Term: Nad-Dependent Protein Depalmitoylase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Oxidative Stress
GO Term: Protein-Containing Complex Destabilizing Activity -> Biodomain: Proteostasis, Autophagy, Apoptosis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Protein-Containing Complex Stabilizing Activity -> Biodomain: Proteostasis, Structural Stabilization, Epigenetic, Autophagy, Cell Cycle
GO Term: Microtubule Stabilizing Activity -> Biodomain: Structural Stabilization, Cell Cycle, Synapse, Proteostasis, Autophagy
GO Term: Amino Acid Sensor Activity -> Biodomain: Proteostasis, Autophagy, Mitochondrial Metabolism, Apoptosis, Cell Cycle
GO Term: Phosphate Ion Uniporter Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: L-Glutamate Uniporter Activity -> Biodomain: Synapse, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Endolysosome
GO Term: Histone H2Axy142 Phosphatase Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Apoptosis
GO Term: Histone Arginine Deiminase Activity -> Biodomain: Epigenetic, Proteostasis, Immune Response, Cell Cycle, DNA Repair
GO Term: Histone H3R2 Arginine Deiminase Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Structural Stabilization, Cell Cycle
GO Term: Histone H3R8 Arginine Deiminase Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Autophagy
GO Term: Histone H3R17 Arginine Deiminase Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Metal Binding and Homeostasis, Cell Cycle
GO Term: Histone H3R26 Arginine Deiminase Activity -> Biodomain: Epigenetic, Proteostasis, Metal Binding and Homeostasis, DNA Repair, Autophagy
GO Term: Glycine:Proton Antiporter Activity -> Biodomain: Mitochondrial Metabolism, Endolysosome, Synapse, Oxidative Stress, Lipid Metabolism
GO Term: Gamma-Aminobutyric Acid:Proton Antiporter Activity -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Endolysosome
GO Term: Histone H2Axy142 Kinase Activity -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Cell Cycle, Autophagy
GO Term: Nad+-Protein-C-Terminal Glycine Adp-Ribosyltransferase Activity -> Biodomain: Proteostasis, DNA Repair, Apoptosis, Epigenetic, Metal Binding and Homeostasis
GO Term: Nad+-Protein-Cysteine Adp-Ribosyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Epigenetic, Cell Cycle
GO Term: Nad+-Protein-Lysine Adp-Ribosyltransferase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Apoptosis, Epigenetic
GO Term: Nad+-Protein-Serine Adp-Ribosyltransferase Activity -> Biodomain: Proteostasis, Epigenetic, DNA Repair, Apoptosis, Oxidative Stress
GO Term: Nad+-Protein-Aspartate Adp-Ribosyltransferase Activity -> Biodomain: Proteostasis, Epigenetic, DNA Repair, Apoptosis, Oxidative Stress
GO Term: Nad+-Protein-Glutamate Adp-Ribosyltransferase Activity -> Biodomain: Proteostasis, Epigenetic, DNA Repair, Oxidative Stress, Mitochondrial Metabolism
GO Term: Nad+-Protein-Tyrosine Adp-Ribosyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis, DNA Repair
GO Term: Nad+-Protein-Histidine Adp-Ribosyltransferase Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Metal Binding and Homeostasis, Autophagy
GO Term: Nad+-Histone H2Bs6 Serine Adp-Ribosyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Metal Binding and Homeostasis, Cell Cycle
GO Term: Nad+-Histone H3S10 Serine Adp-Ribosyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Mitochondrial Metabolism, Metal Binding and Homeostasis
GO Term: Mrna 5'-Triphosphate Monophosphatase Activity -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, DNA Repair, Cell Cycle
GO Term: Nad+-Histone H2Be35 Glutamate Adp-Ribosyltransferase Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, APP Metabolism, Autophagy
GO Term: Histone H2Bs36 Kinase Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Autophagy
GO Term: Thioredoxin-Dependent Peroxiredoxin Activity -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Autophagy, Lipid Metabolism
GO Term: Lactoperoxidase Activity -> Biodomain: Oxidative Stress, Immune Response, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
Saved results to: Experiment/DeepSeek/01-Reference_free/01-Name/Temp_0.5/go_biodomain_results_part_16.csv
Logged runtime to: Experiment/DeepSeek/01-Reference_free/01-Name/Temp_0.5/runtime_log.csv
