Running with TEMP=0.9, sub_array_index=4
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 4: rows 3000 to 3999
GO Term: Steroid Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Autophagy, Oxidative Stress
GO Term: Response To Uv -> Biodomain: DNA Repair, Oxidative Stress, Apoptosis, Cell Cycle, Proteostasis
GO Term: Response To Water Deprivation -> Biodomain: Oxidative Stress, Autophagy, Proteostasis, Apoptosis, Lipid Metabolism
GO Term: Response To Water -> Biodomain: Structural Stabilization, Vasculature, Autophagy, Proteostasis, Oxidative Stress
GO Term: Response To Light Stimulus -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Autophagy, DNA Repair, Epigenetic
GO Term: Nad+ Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Metal Binding and Homeostasis
GO Term: Glyoxylate Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Carnitine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Methylglyoxal Metabolic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Cyanate Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Endolysosome
GO Term: Glycolate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Proteostasis
GO Term: Pyridoxal 5'-Phosphate Salvage -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Proteostasis, Cell Cycle
GO Term: Putrescine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Lipid Metabolism
GO Term: Putrescine Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis
GO Term: Putrescine Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Gamma-Aminobutyric Acid Metabolic Process -> Biodomain: Synapse, Neurotransmitter Metabolism, Amino Acid Metabolism, Small Molecule Metabolism, Brain Function
GO Term: Gamma-Aminobutyric Acid Biosynthetic Process -> Biodomain: Synapse, Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Gamma-Aminobutyric Acid Catabolic Process -> Biodomain: Mitochondrial Metabolism, Synapse, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Rna Modification -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Autophagy, DNA Repair
GO Term: Fertilization -> Biodomain: Cell Cycle, Metal Binding and Homeostasis, Lipid Metabolism, Epigenetic, Mitochondrial Metabolism
GO Term: Detection Of Abiotic Stimulus -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Lipid Metabolism, Endolysosome, Proteostasis
GO Term: Detection Of Light Stimulus -> Biodomain: Synapse, Proteostasis, Endolysosome, Oxidative Stress, Lipid Metabolism
GO Term: Detection Of Visible Light -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Structural Stabilization, Autophagy
GO Term: Detection Of Uv -> Biodomain: Oxidative Stress, DNA Repair, Apoptosis, Cell Cycle, Immune Response
GO Term: Detection Of Gravity -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Vasculature, Oxidative Stress
GO Term: Detection Of Chemical Stimulus -> Biodomain: Immune Response, Synapse, Cell Cycle, Apoptosis, Epigenetic
GO Term: Detection Of Biotic Stimulus -> Biodomain: Immune Response, Oxidative Stress, Autophagy, Apoptosis, Endolysosome
Saved results to: Experiment/DeepSeek/01-Reference_free/01-Name/Temp_0.9/go_biodomain_results_part_4.csv
Logged runtime to: Experiment/DeepSeek/01-Reference_free/01-Name/Temp_0.9/runtime_log.csv
