Running with TEMP=0.1, sub_array_index=14
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 14: rows 13000 to 13999
GO Term: Peroxynitrite Isomerase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Endolysosome, Apoptosis
GO Term: Mesenchymal Cell Differentiation Involved In Kidney Development -> Biodomain: Developmental Biology, Tissue Development & Organogenesis, Stromal Cells, Nephrology, Connective Tissue Cells
GO Term: Metanephric Mesenchymal Cell Differentiation -> Biodomain: Structural Stabilization, Epigenetic, Vasculature, Cell Cycle, Autophagy
GO Term: Mesonephric Epithelium Development -> Biodomain: Cell Cycle, Structural Stabilization, Epigenetic, Lipid Metabolism, Vasculature
GO Term: Mesonephric Tubule Development -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Autophagy
GO Term: Posterior Mesonephric Tubule Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Apoptosis, Epigenetic
GO Term: Specification Of Anterior Mesonephric Tubule Identity -> Biodomain: Epigenetic, Cell Cycle, Structural Stabilization, Vasculature, Proteostasis
GO Term: Specification Of Posterior Mesonephric Tubule Identity -> Biodomain: Structural Stabilization, Epigenetic, Vasculature, Cell Cycle, Proteostasis
GO Term: Metanephric Tubule Development -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Epigenetic, Vasculature
GO Term: Mesonephric Tubule Formation -> Biodomain: Vasculature, Structural Stabilization, Apoptosis, Cell Cycle, Proteostasis
GO Term: Metanephric Tubule Formation -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Proteostasis, Autophagy
GO Term: Epithelial Tube Formation -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Apoptosis
Saved results to: Experiment/DeepSeek/01-Reference_free/01-Name/Temp_0.1/go_biodomain_results_part_14.csv
Logged runtime to: Experiment/DeepSeek/01-Reference_free/01-Name/Temp_0.1/runtime_log.csv
