Running with TEMP=0.1, sub_array_index=5
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 5: rows 4000 to 4999
GO Term: Detection Of Virus -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Carbohydrate Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Wnt Signaling Pathway -> Biodomain: Cell Cycle, Apoptosis, Structural Stabilization, Lipid Metabolism, Epigenetic
GO Term: G Protein-Coupled Opsin Signaling Pathway -> Biodomain: Synapse, Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis
GO Term: Immunoglobulin Mediated Immune Response -> Biodomain: Immune Response, Proteostasis, Apoptosis, Endolysosome, Oxidative Stress
GO Term: Type I Hypersensitivity -> Biodomain: Immune Response, Inflammation, Adaptive Immunity, Immune Signaling, Vasculature
GO Term: Rna Metabolic Process -> Biodomain: Epigenetic, RNA Spliceosome, DNA Repair, Cell Cycle, Autophagy
GO Term: Mrna Metabolic Process -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Epigenetic, Cell Cycle
GO Term: Rrna Metabolic Process -> Biodomain: Cell Cycle, Epigenetic, Metal Binding and Homeostasis, Structural Stabilization, RNA Spliceosome
GO Term: Snrna Metabolic Process -> Biodomain: RNA Spliceosome, Epigenetic, DNA Repair, Proteostasis, Autophagy
GO Term: Sno(S)Rna Metabolic Process -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Rrna Catabolic Process -> Biodomain: Autophagy, Mitochondrial Metabolism, Oxidative Stress, Apoptosis, Endolysosome
GO Term: Snrna Catabolic Process -> Biodomain: Proteostasis, Autophagy, RNA Spliceosome, Epigenetic, Cell Cycle
GO Term: Sno(S)Rna Catabolic Process -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Cell Cycle, Epigenetic
GO Term: Trna Decay -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Endolysosome, Apoptosis
GO Term: Synaptic Vesicle Exocytosis -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Structural Stabilization
GO Term: Synaptic Vesicle Targeting -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Structural Stabilization
GO Term: Synaptic Vesicle Docking -> Biodomain: Synapse, Proteostasis, Endolysosome, Mitochondrial Metabolism, Autophagy
GO Term: Synaptic Vesicle Priming -> Biodomain: Synapse, Vesicle Trafficking, Exocytosis, Neurotransmission, Synaptic Signaling
GO Term: Polyprenol Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: Polyprenol Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Endolysosome, Proteostasis
GO Term: Monoterpenoid Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Metal Binding and Homeostasis, Autophagy, Oxidative Stress
GO Term: Diterpenoid Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Oxidative Stress, Proteostasis
GO Term: Triterpenoid Biosynthetic Process -> Biodomain: Lipid Metabolism, Structural Stabilization, Metal Binding and Homeostasis, Cell Cycle, Proteostasis
GO Term: Carotenoid Metabolic Process -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Carotene Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Carotene Catabolic Process -> Biodomain: Lipid Metabolism, Oxidative Stress, Autophagy, Endolysosome, Mitochondrial Metabolism
GO Term: Xanthophyll Metabolic Process -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Autophagy, Proteostasis
GO Term: Xanthophyll Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Endolysosome, Autophagy
GO Term: Sterol Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Structural Stabilization, Autophagy
GO Term: Sterol Biosynthetic Process -> Biodomain: Lipid Metabolism, Endolysosome, Mitochondrial Metabolism, APP Metabolism, Autophagy
GO Term: Glycoside Catabolic Process -> Biodomain: Mitochondrial Metabolism, Autophagy, Endolysosome, Lipid Metabolism, Oxidative Stress
GO Term: Translation Release Factor Activity, Codon Specific -> Biodomain: Proteostasis, Mitochondrial Metabolism, Autophagy, Apoptosis, Endolysosome
GO Term: Translation Release Factor Activity, Codon Nonspecific -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Cell Cycle
GO Term: Nickel Cation Binding -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Structural Stabilization, Oxidative Stress, Endolysosome
GO Term: Urocanate Hydratase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Immune Response
GO Term: Pyrimidine-Nucleoside Phosphorylase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Epigenetic, Cell Cycle
GO Term: Formyltetrahydrofolate Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Cell Cycle, DNA Repair
GO Term: 3-Phytase Activity -> Biodomain: Metal Binding and Homeostasis, Endolysosome, Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress
GO Term: Amylase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Endolysosome, Proteostasis, Lipid Metabolism
GO Term: Linoleate 13S-Lipoxygenase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Immune Response, Metal Binding and Homeostasis, Apoptosis
Saved results to: Experiment/DeepSeek/01-Reference_free/02-Name_structure/Temp_0.1/go_biodomain_results_part_5.csv
Logged runtime to: Experiment/DeepSeek/01-Reference_free/02-Name_structure/Temp_0.1/runtime_log.csv
