Running with TEMP=0.5, sub_array_index=6
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 6: rows 5000 to 5999
GO Term: Glial Cell-Derived Neurotrophic Factor Receptor Activity -> Biodomain: Synapse, Apoptosis, Myelination, Structural Stabilization, Epigenetic
GO Term: Pyramidal Neuron Differentiation -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Proteostasis, Myelination
GO Term: Pyramidal Neuron Development -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Autophagy, Proteostasis
GO Term: Forebrain Radial Glial Cell Differentiation -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Epigenetic, Lipid Metabolism
GO Term: Forebrain Ventricular Zone Progenitor Cell Division -> Biodomain: Cell Cycle, Mitochondrial Metabolism, Epigenetic, DNA Repair, Structural Stabilization
GO Term: Cajal-Retzius Cell Differentiation -> Biodomain: Neurogenesis, Synapse, Structural Stabilization, Cell Differentiation, Apoptosis
GO Term: Forebrain Regionalization -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Myelination, Epigenetic
GO Term: Forebrain Generation Of Neurons -> Biodomain: Neurogenesis, Cell Proliferation and Differentiation, Brain Development, Developmental Processes, Neural Development
GO Term: Forebrain Neuroblast Division -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Structural Stabilization, Synapse
GO Term: Wnt Signaling Pathway Involved In Forebrain Neuroblast Division -> Biodomain: Cell Cycle, Synapse, Autophagy, Epigenetic, Proteostasis
GO Term: Forebrain Neuron Fate Commitment -> Biodomain: Epigenetic, Cell Cycle, Proteostasis, Autophagy, Structural Stabilization
GO Term: Forebrain Neuron Differentiation -> Biodomain: Synapse, Cell Cycle, Proteostasis, Epigenetic, Structural Stabilization
GO Term: Forebrain Neuron Development -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Proteostasis, Autophagy
GO Term: Forebrain Cell Migration -> Biodomain: Structural Stabilization, Vasculature, Synapse, Epigenetic, Cell Cycle
GO Term: Hypothalamus Gonadotrophin-Releasing Hormone Neuron Development -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Cell Cycle, Endolysosome
GO Term: Olfactory Bulb Interneuron Differentiation -> Biodomain: Synapse, Structural Stabilization, Vasculature, Immune Response, Proteostasis
GO Term: Olfactory Bulb Interneuron Development -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Cell Cycle, Proteostasis
GO Term: Cerebral Cortex Gabaergic Interneuron Differentiation -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Cell Cycle, Autophagy
GO Term: Cerebral Cortex Gabaergic Interneuron Fate Commitment -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Epigenetic, Proteostasis
GO Term: Cerebral Cortex Gabaergic Interneuron Development -> Biodomain: Synapse, Structural Stabilization, Lipid Metabolism, Epigenetic, Myelination
GO Term: Cerebral Cortex Neuron Differentiation -> Biodomain: Synapse, Structural Stabilization, Neurogenesis, Epigenetic, Cell Cycle
GO Term: Forebrain Astrocyte Development -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Autophagy, Proteostasis
GO Term: Fibroblast Growth Factor Receptor Signaling Pathway Involved In Forebrain Neuron Fate Commitment -> Biodomain: Signaling Pathways, Neural Development, Growth Factor Signaling, Developmental Biology, Receptor Tyrosine Kinase Signaling
GO Term: Commitment Of Neuronal Cell To Specific Neuron Type In Forebrain -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Epigenetic
GO Term: Rostrocaudal Neural Tube Patterning -> Biodomain: Epigenetic, Cell Cycle, Apoptosis, RNA Spliceosome, Structural Stabilization
GO Term: Dorsal/Ventral Neural Tube Patterning -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Vasculature, Epigenetic
GO Term: Forebrain-Midbrain Boundary Formation -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Apoptosis, Synapse
GO Term: Neural Tube Development -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Epigenetic, Synapse
GO Term: Cell Proliferation In External Granule Layer -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Proteostasis, Mitochondrial Metabolism
GO Term: Cerebellar Granule Cell Precursor Proliferation -> Biodomain: Cell Cycle, Neurogenesis, Synapse, Structural Stabilization, Myelination
GO Term: Radial Glia Guided Migration Of Cerebellar Granule Cell -> Biodomain: Structural Stabilization, Synapse, Autophagy, Proteostasis, Endolysosome
GO Term: Hindbrain Tangential Cell Migration -> Biodomain: Structural Stabilization, Synapse, Myelination, Tau Homeostasis, Cell Cycle
GO Term: Cerebellar Granule Cell Precursor Tangential Migration -> Biodomain: Synapse, Structural Stabilization, Vasculature, Endolysosome, Proteostasis
GO Term: Regulation Of Cerebellar Granule Cell Precursor Proliferation -> Biodomain: Cell Cycle, Synapse, Structural Stabilization, Myelination, Proteostasis
GO Term: Cerebellar Purkinje Cell-Granule Cell Precursor Cell Signaling -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Positive Regulation Of Cerebellar Granule Cell Precursor Proliferation -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Myelination, Autophagy
GO Term: Negative Regulation Of Cerebellar Granule Cell Precursor Proliferation -> Biodomain: Cell Cycle, Apoptosis, Autophagy, Epigenetic, DNA Repair
GO Term: Radial Glia Guided Migration Of Purkinje Cell -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Proteostasis
GO Term: Formation Of Radial Glial Scaffolds -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Proteostasis, Myelination
Saved results to: Experiment/DeepSeek/01-Reference_free/01-Name/Temp_0.5/go_biodomain_results_part_6.csv
Logged runtime to: Experiment/DeepSeek/01-Reference_free/01-Name/Temp_0.5/runtime_log.csv
