Running with TEMP=0.9, sub_array_index=11
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 11: rows 10000 to 10999
GO Term: Omega-6 Fatty Acid Desaturase Activity -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Sympathetic Nervous System Development -> Biodomain: Synapse, Structural Stabilization, Apoptosis, Vasculature, Myelination
GO Term: Parasympathetic Nervous System Development -> Biodomain: Synapse, Apoptosis, Structural Stabilization, Epigenetic, Myelination
GO Term: Beta-Tubulin Binding -> Biodomain: Structural Stabilization, Cell Cycle, Synapse, Tau Homeostasis, Proteostasis
GO Term: Synaptic Vesicle Endocytosis -> Biodomain: Synapse, Endolysosome, Proteostasis, Structural Stabilization, Autophagy
GO Term: Synaptic Vesicle Transport -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Endolysosome, Autophagy
GO Term: Anterograde Synaptic Vesicle Transport -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Roundabout Binding -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Proteostasis, Immune Response
GO Term: Maintenance Of Animal Organ Identity -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Apoptosis, DNA Repair
GO Term: Synaptic Vesicle Membrane Organization -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Endolysosome, Autophagy
GO Term: Signal Recognition Particle -> Biodomain: Proteostasis, RNA Spliceosome, Endolysosome, Autophagy, Structural Stabilization
GO Term: Regulation Of Timing Of Cell Differentiation -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, DNA Repair, Autophagy
GO Term: Rhythmic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Epigenetic
GO Term: Circadian Behavior -> Biodomain: Epigenetic, Autophagy, Lipid Metabolism, Cell Cycle, Proteostasis
GO Term: Animal Organ Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Apoptosis, Immune Response
GO Term: Blood Vessel Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Lipid Metabolism, Immune Response, Endolysosome
GO Term: Spermatid Differentiation -> Biodomain: Cell Cycle, Apoptosis, Structural Stabilization, Proteostasis, Autophagy
GO Term: Positive Regulation Of Behavior -> Biodomain: Synapse, Epigenetic, Myelination, Proteostasis, Lipid Metabolism
GO Term: Positive Regulation Of Viral Process -> Biodomain: Immune Response, Apoptosis, Autophagy, Cell Cycle, Epigenetic
GO Term: Negative Regulation Of Viral Process -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Anatomical Structure Arrangement -> Biodomain: Structural Stabilization, Synapse, Myelination, Proteostasis, Vasculature
GO Term: Hematopoietic Or Lymphoid Organ Development -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Proteostasis, Apoptosis
GO Term: Lymph Node Development -> Biodomain: Immune Response, Vasculature, Endolysosome, Apoptosis, Structural Stabilization
GO Term: Spleen Development -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Endolysosome, Lipid Metabolism
GO Term: Mucosa-Associated Lymphoid Tissue Development -> Biodomain: Immune Response, Structural Stabilization, Vasculature, Endolysosome, Proteostasis
GO Term: Thymus Development -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Apoptosis, Epigenetic
GO Term: Bone Marrow Development -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Vasculature, Structural Stabilization
GO Term: Peyer'S Patch Development -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Endolysosome, Autophagy
GO Term: Response To Steroid Hormone -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Epigenetic, Immune Response, Cell Cycle
GO Term: Digestive Tract Morphogenesis -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, Vasculature, Apoptosis
GO Term: Positive Regulation Of Pinocytosis -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Structural Stabilization
GO Term: Negative Regulation Of Pinocytosis -> Biodomain: Endolysosome, Autophagy, Immune Response, Proteostasis, Lipid Metabolism
GO Term: Embryonic Digestive Tract Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Vasculature, Lipid Metabolism
GO Term: Establishment Of Anatomical Structure Orientation -> Biodomain: Structural Stabilization, Vasculature, Myelination, Epigenetic, Cell Cycle
GO Term: Establishment Of Animal Organ Orientation -> Biodomain: Structural Stabilization, Developmental Processes, Organ Development, Morphogenesis, Cell Polarity
GO Term: Embryonic Organ Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Myelination, Autophagy
GO Term: Digestive Tract Development -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, Vasculature, Immune Response
GO Term: Embryonic Digestive Tract Development -> Biodomain: Structural Stabilization, Cell Cycle, Autophagy, Endolysosome, Vasculature
GO Term: Embryonic Organ Development -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Apoptosis, DNA Repair
GO Term: Notochord Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, DNA Repair, Autophagy, Apoptosis
GO Term: Long-Day Photoperiodism -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Epigenetic, Lipid Metabolism, Proteostasis
GO Term: Short-Day Photoperiodism -> Biodomain: Epigenetic, Cell Cycle, Oxidative Stress, Proteostasis, Autophagy
GO Term: Developmental Cell Growth -> Biodomain: Cell Cycle, Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Developmental Growth -> Biodomain: Developmental Growth, Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Lipid Metabolism, Cell Cycle
GO Term: Eye Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, DNA Repair, Epigenetic
GO Term: Camera-Type Eye Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Apoptosis, Proteostasis
GO Term: Embryonic Camera-Type Eye Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Epigenetic, Vasculature
GO Term: Post-Embryonic Camera-Type Eye Morphogenesis -> Biodomain: Structural Stabilization, Synapse, Vasculature, Myelination, Proteostasis
GO Term: Embryonic Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Autophagy, Apoptosis, Synapse
GO Term: Oocyte Development -> Biodomain: Cell Cycle, Proteostasis, Mitochondrial Metabolism, Autophagy, Epigenetic
GO Term: Reproductive Structure Development -> Biodomain: Structural Stabilization, Cell Cycle, Lipid Metabolism, Epigenetic, Apoptosis
GO Term: Embryonic Ectodermal Digestive Tract Development -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Autophagy, Proteostasis
GO Term: Embryonic Ectodermal Digestive Tract Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis
GO Term: Embryonic Foregut Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Proteostasis, Autophagy
GO Term: Embryonic Hindgut Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Autophagy
GO Term: Post-Embryonic Digestive Tract Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Endolysosome, Autophagy
Saved results to: Experiment/DeepSeek/01-Reference_free/01-Name/Temp_0.9/go_biodomain_results_part_11.csv
Logged runtime to: Experiment/DeepSeek/01-Reference_free/01-Name/Temp_0.9/runtime_log.csv
