Running with TEMP=0.5, sub_array_index=16
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 16: rows 15000 to 15999
GO Term: Hippocampal Mossy Fiber To Ca3 Synapse -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Myelination
GO Term: Very Long-Chain Fatty Acid Omega-Hydroxylase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Molecular Condensate Scaffold Activity -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Epigenetic, Synapse
GO Term: Membraneless Organelle Assembly -> Biodomain: Proteostasis, RNA Spliceosome, Epigenetic, Synapse, Structural Stabilization
GO Term: Protein-Containing Complex Localization To Centriolar Satellite -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Cat Tailing -> Biodomain: Proteostasis, Autophagy, Protein Metabolism, Ubiquitin System, Cellular Stress Response
GO Term: Histone Chaperone Activity -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Structural Stabilization, Autophagy
GO Term: Facultative Heterochromatin Formation -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Autophagy
GO Term: Constitutive Heterochromatin Formation -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Structural Stabilization
GO Term: Nlrp6 Inflammasome Complex -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Nlrp6 Inflammasome Complex Assembly -> Biodomain: Immune Response, Defense Response, Signal Transduction, Regulation of Immune Response, Innate Immunity
GO Term: Lncrna Transcription -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, APP Metabolism, Autophagy
GO Term: Negative Regulation Of Lncrna Transcription -> Biodomain: Epigenetic, Cell Cycle, Apoptosis, Immune Response, Oxidative Stress
GO Term: Sirna Transcription -> Biodomain: RNA Spliceosome, Epigenetic, Immune Response, DNA Repair, Proteostasis
GO Term: Phlorizin Hydrolase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Nucleosome Array Spacer Activity -> Biodomain: Epigenetic, DNA Repair, Structural Stabilization, Cell Cycle, Proteostasis
GO Term: Histone Octamer Slider Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Autophagy, Cell Cycle
GO Term: Reorganization Of Cellular Membranes To Establish Viral Sites Of Replication -> Biodomain: Endolysosome, Proteostasis, Lipid Metabolism, Autophagy, Mitochondrial Metabolism
GO Term: Histone H3K56 Methyltransferase Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Metal Binding and Homeostasis
GO Term: Histone H3K56 Deacetylase Activity, Nad-Dependent -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Mitochondrial Metabolism, Cell Cycle
GO Term: Enzyme-Substrate Adaptor Activity -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Synapse, Endolysosome
GO Term: Protein Adp-Ribosyltransferase-Substrate Adaptor Activity -> Biodomain: Proteostasis, Epigenetic, DNA Repair, Autophagy, Cell Cycle
GO Term: Nad-Dependent Protein Demyristoylase Activity -> Biodomain: Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Metal Binding and Homeostasis
GO Term: Nad-Dependent Protein Depalmitoylase Activity -> Biodomain: Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Epigenetic
GO Term: Protein-Containing Complex Destabilizing Activity -> Biodomain: Proteostasis, Autophagy, Apoptosis, Structural Stabilization, Tau Homeostasis
GO Term: Protein-Containing Complex Stabilizing Activity -> Biodomain: Proteostasis, Structural Stabilization, Synapse, Mitochondrial Metabolism, Autophagy
GO Term: Microtubule Stabilizing Activity -> Biodomain: Structural Stabilization, Tau Homeostasis, Cell Cycle, Synapse, Proteostasis
GO Term: Amino Acid Sensor Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Lipid Metabolism
GO Term: Phosphate Ion Uniporter Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome, Metal Binding and Homeostasis
GO Term: L-Glutamate Uniporter Activity -> Biodomain: Synapse, Mitochondrial Metabolism, Oxidative Stress, Apoptosis, Proteostasis
GO Term: Histone H2Axy142 Phosphatase Activity -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Cell Cycle, Autophagy
GO Term: Histone Arginine Deiminase Activity -> Biodomain: Epigenetic, Proteostasis, Structural Stabilization, DNA Repair, Cell Cycle
GO Term: Histone H3R2 Arginine Deiminase Activity -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Cell Cycle, Autophagy
GO Term: Histone H3R8 Arginine Deiminase Activity -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Autophagy, Cell Cycle
GO Term: Histone H3R17 Arginine Deiminase Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Autophagy
GO Term: Histone H3R26 Arginine Deiminase Activity -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Cell Cycle, Metal Binding and Homeostasis
GO Term: Glycine:Proton Antiporter Activity -> Biodomain: Mitochondrial Metabolism, Synapse, Lipid Metabolism, Endolysosome, Oxidative Stress
GO Term: Gamma-Aminobutyric Acid:Proton Antiporter Activity -> Biodomain: Synapse, Endolysosome, Metal Binding and Homeostasis, Autophagy, Proteostasis
GO Term: Histone H2Axy142 Kinase Activity -> Biodomain: Epigenetic, DNA Repair, Apoptosis, Cell Cycle, Proteostasis
GO Term: Nad+-Protein-C-Terminal Glycine Adp-Ribosyltransferase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Apoptosis, Metal Binding and Homeostasis
GO Term: Nad+-Protein-Cysteine Adp-Ribosyltransferase Activity -> Biodomain: Proteostasis, DNA Repair, Apoptosis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Nad+-Protein-Lysine Adp-Ribosyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Apoptosis, Epigenetic
GO Term: Nad+-Protein-Serine Adp-Ribosyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Apoptosis, Epigenetic
GO Term: Nad+-Protein-Aspartate Adp-Ribosyltransferase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Apoptosis, DNA Repair
GO Term: Nad+-Protein-Glutamate Adp-Ribosyltransferase Activity -> Biodomain: Proteostasis, DNA Repair, Epigenetic, Apoptosis, Mitochondrial Metabolism
GO Term: Nad+-Protein-Tyrosine Adp-Ribosyltransferase Activity -> Biodomain: Proteostasis, DNA Repair, Apoptosis, Epigenetic, Oxidative Stress
GO Term: Nad+-Protein-Histidine Adp-Ribosyltransferase Activity -> Biodomain: Proteostasis, Epigenetic, DNA Repair, Mitochondrial Metabolism, Oxidative Stress
GO Term: Nad+-Histone H2Bs6 Serine Adp-Ribosyltransferase Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Apoptosis, Cell Cycle
GO Term: Nad+-Histone H3S10 Serine Adp-Ribosyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, Autophagy, DNA Repair, Apoptosis
GO Term: Mrna 5'-Triphosphate Monophosphatase Activity -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Structural Stabilization, Autophagy
GO Term: Nad+-Histone H2Be35 Glutamate Adp-Ribosyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, Structural Stabilization, DNA Repair, Metal Binding and Homeostasis
GO Term: Histone H2Bs36 Kinase Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Metal Binding and Homeostasis
GO Term: Thioredoxin-Dependent Peroxiredoxin Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Apoptosis
GO Term: Lactoperoxidase Activity -> Biodomain: Oxidative Stress, Immune Response, Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism
Saved results to: Experiment/DeepSeek/01-Reference_free/02-Name_structure/Temp_0.5/go_biodomain_results_part_16.csv
Logged runtime to: Experiment/DeepSeek/01-Reference_free/02-Name_structure/Temp_0.5/runtime_log.csv
