Running with TEMP=0.9, sub_array_index=1
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 1: rows 0 to 999
GO Term: Mitochondrial Genome Maintenance -> Biodomain: Mitochondrial Metabolism, Proteostasis, DNA Repair, Cell Cycle, Apoptosis
GO Term: Regulation Of Germinal Center Formation -> Biodomain: Immune Response, Cell Cycle, DNA Repair, Apoptosis, Vasculature
GO Term: Negative Regulation Of Germinal Center Formation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, DNA Repair, Autophagy
GO Term: Positive Regulation Of Germinal Center Formation -> Biodomain: Immune Response, Proteostasis, Apoptosis, Autophagy, Lipid Metabolism
GO Term: Regulation Of Immunoglobulin Production -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Negative Regulation Of Immunoglobulin Production -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Positive Regulation Of Immunoglobulin Production -> Biodomain: Immune Response, Endolysosome, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Regulation Of Tolerance Induction -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Negative Regulation Of Tolerance Induction -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Endolysosome
GO Term: Positive Regulation Of Tolerance Induction -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Epigenetic
GO Term: Positive Regulation Of Tolerance Induction To Self Antigen -> Biodomain: Immune Response, Autophagy, Epigenetic, Apoptosis, Proteostasis
GO Term: Regulation Of Tolerance Induction Dependent Upon Immune Response -> Biodomain: Immune Response, Apoptosis, Autophagy, Endolysosome, Proteostasis
Saved results to: Experiment/DeepSeek/01-Reference_free/01-Name/Temp_0.9/go_biodomain_results_part_1.csv
Logged runtime to: Experiment/DeepSeek/01-Reference_free/01-Name/Temp_0.9/runtime_log.csv
