Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 2: rows 1000 to 1999
GO Term: Positive Regulation Of B Cell Tolerance Induction -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Epigenetic
GO Term: Serine C-Palmitoyltransferase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: L-Serine-Pyruvate Transaminase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Epigenetic, Proteostasis, Autophagy
GO Term: Spermidine Synthase Activity -> Biodomain: Cell Cycle, Autophagy, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Sphingomyelin Phosphodiesterase Activity -> Biodomain: Lipid Metabolism, Apoptosis, Autophagy, Oxidative Stress, Proteostasis
GO Term: Stearoyl-Coa 9-Desaturase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Autophagy, Proteostasis
GO Term: Steroid Delta-Isomerase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Proteostasis, Oxidative Stress
GO Term: Sterol Ester Esterase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Proteostasis, Mitochondrial Metabolism
GO Term: Sterol O-Acyltransferase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Mitochondrial Metabolism, Structural Stabilization
GO Term: Steryl-Sulfatase Activity -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Mitochondrial Metabolism, Endolysosome, Proteostasis
GO Term: Succinate-Coa Ligase (Adp-Forming) Activity -> Biodomain: Mitochondrial Metabolism, Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis
GO Term: Succinate-Coa Ligase (Gdp-Forming) Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Succinate-Semialdehyde Dehydrogenase (Nad+) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Endolysosome
GO Term: Succinyl-Coa Hydrolase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Sulfate Adenylyltransferase (Atp) Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Structural Stabilization, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Sulfinoalanine Decarboxylase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Superoxide Dismutase Activity -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Apoptosis
GO Term: Thiamine Diphosphokinase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Lipid Metabolism, Oxidative Stress, Proteostasis
GO Term: Thioether S-Methyltransferase Activity -> Biodomain: Epigenetic, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Thioredoxin-Disulfide Reductase (Nadph) Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Apoptosis
GO Term: Thiosulfate-Cyanide Sulfurtransferase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome, Apoptosis
GO Term: Threonine Deaminase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: Threonine Synthase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome, Oxidative Stress
GO Term: Thromboxane-A Synthase Activity -> Biodomain: Vasculature, Lipid Metabolism, Metal Binding and Homeostasis, Immune Response, Oxidative Stress
GO Term: Thymidine Kinase Activity -> Biodomain: DNA Repair, Cell Cycle, Mitochondrial Metabolism, Epigenetic, Metal Binding and Homeostasis
GO Term: Dtmp Kinase Activity -> Biodomain: DNA Repair, Cell Cycle, Mitochondrial Metabolism, Metal Binding and Homeostasis, Apoptosis
GO Term: Thymidylate Synthase Activity -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Mitochondrial Metabolism, Metal Binding and Homeostasis
GO Term: Thyroxine 5'-Deiodinase Activity -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis
GO Term: Transaldolase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Transketolase Activity -> Biodomain: Oxidative Stress, Lipid Metabolism, Mitochondrial Metabolism, Cell Cycle, DNA Repair
GO Term: Transposase Activity -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Structural Stabilization, Autophagy
GO Term: Triacylglycerol Lipase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Autophagy, Mitochondrial Metabolism, Endolysosome
GO Term: Triose-Phosphate Isomerase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Cca Trna Nucleotidyltransferase Activity -> Biodomain: RNA Spliceosome, Epigenetic, Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis
GO Term: Aminoacyl-Trna Ligase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Epigenetic, Autophagy, Lipid Metabolism
GO Term: Alanine-Trna Ligase Activity -> Biodomain: Proteostasis, RNA Spliceosome, Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Arginine-Trna Ligase Activity -> Biodomain: Proteostasis, RNA Spliceosome, Structural Stabilization, Cell Cycle, Autophagy
GO Term: Aspartate-Trna Ligase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Structural Stabilization, Cell Cycle, Autophagy
GO Term: Asparagine-Trna Ligase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Cell Cycle, RNA Spliceosome, Epigenetic
GO Term: Cysteine-Trna Ligase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Autophagy
GO Term: Glutamate-Trna Ligase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, RNA Spliceosome, Metal Binding and Homeostasis, Structural Stabilization
GO Term: Glutamine-Trna Ligase Activity -> Biodomain: Proteostasis, Structural Stabilization, Mitochondrial Metabolism, Metal Binding and Homeostasis, RNA Spliceosome
GO Term: Glycine-Trna Ligase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis, Autophagy, Apoptosis
GO Term: Histidine-Trna Ligase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis, Structural Stabilization, Cell Cycle
GO Term: Isoleucine-Trna Ligase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Autophagy, Apoptosis, Cell Cycle
GO Term: Leucine-Trna Ligase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, RNA Spliceosome, Metal Binding and Homeostasis, Autophagy
GO Term: Lysine-Trna Ligase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis, Autophagy, Lipid Metabolism
GO Term: Methionine-Trna Ligase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis, Cell Cycle, Epigenetic
GO Term: Phenylalanine-Trna Ligase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Cell Cycle, Epigenetic, Autophagy
GO Term: Proline-Trna Ligase Activity -> Biodomain: Proteostasis, Metal Binding and Homeostasis, Mitochondrial Metabolism, Autophagy, Structural Stabilization
GO Term: Serine-Trna Ligase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Autophagy, Apoptosis, Cell Cycle
GO Term: Threonine-Trna Ligase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis, Autophagy, Cell Cycle
GO Term: Tryptophan-Trna Ligase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Immune Response, Apoptosis, Autophagy
GO Term: Tyrosine-Trna Ligase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Autophagy, Cell Cycle, Lipid Metabolism
GO Term: Valine-Trna Ligase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis, Autophagy, Cell Cycle
GO Term: Tryptophan 2,3-Dioxygenase Activity -> Biodomain: Immune Response, Oxidative Stress, Metal Binding and Homeostasis, Mitochondrial Metabolism, Autophagy
GO Term: Tubulin-Tyrosine Ligase Activity -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Cell Cycle, Autophagy
GO Term: L-Tyrosine-2-Oxoglutarate Transaminase Activity -> Biodomain: Mitochondrial Metabolism, Amino Acid Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Ubiquitin Activating Enzyme Activity -> Biodomain: Proteostasis, Ubiquitin Proteasome, Autophagy, Apoptosis, Cell Cycle
GO Term: Ubiquitin-Protein Transferase Activity -> Biodomain: Proteostasis, Autophagy, Apoptosis, DNA Repair, Cell Cycle
GO Term: Cysteine-Type Deubiquitinase Activity -> Biodomain: Proteostasis, Autophagy, Immune Response, Apoptosis, Endolysosome
GO Term: Uracil Dna N-Glycosylase Activity -> Biodomain: DNA Repair, Epigenetic, Oxidative Stress, Cell Cycle, Structural Stabilization
GO Term: Uridine Kinase Activity -> Biodomain: Mitochondrial Metabolism, Cell Cycle, RNA Spliceosome, DNA Repair, Autophagy
GO Term: Uridine Phosphorylase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Cell Cycle, Autophagy, DNA Repair
GO Term: Uroporphyrinogen-Iii Synthase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Apoptosis, Proteostasis
GO Term: Uroporphyrinogen Decarboxylase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Lipid Metabolism, Proteostasis
GO Term: Xanthine Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Xanthine Oxidase Activity -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Mitochondrial Metabolism, Apoptosis, Vasculature
GO Term: D-Xylulokinase Activity -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism
GO Term: Enzyme Inhibitor Activity -> Biodomain: Proteostasis, Apoptosis, Immune Response, Cell Cycle, Epigenetic
GO Term: Phospholipase Inhibitor Activity -> Biodomain: Lipid Metabolism, Structural Stabilization, Immune Response, Oxidative Stress, Apoptosis
GO Term: Protein Kinase Inhibitor Activity -> Biodomain: Proteostasis, Apoptosis, Cell Cycle, Epigenetic, Immune Response
GO Term: Cyclin-Dependent Protein Serine/Threonine Kinase Inhibitor Activity -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, DNA Repair, Epigenetic
GO Term: Camp-Dependent Protein Kinase Inhibitor Activity -> Biodomain: Proteostasis, Cell Cycle, Epigenetic, Mitochondrial Metabolism, Apoptosis
GO Term: Protein Phosphatase Inhibitor Activity -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Epigenetic, Structural Stabilization
GO Term: Protein Serine/Threonine Phosphatase Inhibitor Activity -> Biodomain: Proteostasis, Apoptosis, Cell Cycle, Autophagy, Oxidative Stress
Saved results to: Experiment/DeepSeek/01-Reference_free/01-Name/Temp_0/go_biodomain_results_part_2.csv
Logged runtime to: Experiment/DeepSeek/01-Reference_free/01-Name/Temp_0/runtime_log.csv
