Running with TEMP=0.1, sub_array_index=6
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 6: rows 5000 to 5999
GO Term: Glial Cell-Derived Neurotrophic Factor Receptor Activity -> Biodomain: Synapse, Structural Stabilization, Apoptosis, Myelination, Proteostasis
GO Term: Pyramidal Neuron Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Proteostasis, Autophagy
GO Term: Forebrain Radial Glial Cell Differentiation -> Biodomain: Structural Stabilization, Cell Cycle, Myelination, Synapse, Epigenetic
GO Term: Forebrain Ventricular Zone Progenitor Cell Division -> Biodomain: Cell Cycle, Epigenetic, Autophagy, Synapse, Structural Stabilization
GO Term: Cajal-Retzius Cell Differentiation -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Epigenetic, Autophagy
GO Term: Forebrain Regionalization -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Epigenetic, RNA Spliceosome
GO Term: Forebrain Generation Of Neurons -> Biodomain: Cell Cycle, Epigenetic, Autophagy, Synapse, Structural Stabilization
GO Term: Forebrain Neuroblast Division -> Biodomain: Cell Cycle, Structural Stabilization, Epigenetic, RNA Spliceosome, Mitochondrial Metabolism
GO Term: Wnt Signaling Pathway Involved In Forebrain Neuroblast Division -> Biodomain: Cell Cycle, Epigenetic, Synapse, Proteostasis, Autophagy
GO Term: Forebrain Neuron Fate Commitment -> Biodomain: Epigenetic, Cell Cycle, RNA Spliceosome, Proteostasis, Structural Stabilization
GO Term: Forebrain Neuron Differentiation -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Cell Cycle
GO Term: Forebrain Neuron Development -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Cell Cycle
GO Term: Forebrain Cell Migration -> Biodomain: Structural Stabilization, Synapse, Lipid Metabolism, Autophagy, Myelination
GO Term: Hypothalamus Gonadotrophin-Releasing Hormone Neuron Development -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Cell Cycle, Structural Stabilization
GO Term: Olfactory Bulb Interneuron Differentiation -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Autophagy, Tau Homeostasis
GO Term: Olfactory Bulb Interneuron Development -> Biodomain: Synapse, Structural Stabilization, Neurogenesis and Differentiation, Cell Migration, Neuron Development
GO Term: Cerebral Cortex Gabaergic Interneuron Differentiation -> Biodomain: Synapse, Structural Stabilization, Mitochondrial Metabolism, Cell Cycle, Proteostasis
GO Term: Cerebral Cortex Gabaergic Interneuron Fate Commitment -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Cerebral Cortex Gabaergic Interneuron Development -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Autophagy, Apoptosis
GO Term: Cerebral Cortex Neuron Differentiation -> Biodomain: Synapse, Cell Cycle, Epigenetic, Proteostasis, Structural Stabilization
GO Term: Forebrain Astrocyte Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Proteostasis
GO Term: Fibroblast Growth Factor Receptor Signaling Pathway Involved In Forebrain Neuron Fate Commitment -> Biodomain: Epigenetic, Cell Cycle, Synapse, Structural Stabilization, Autophagy
GO Term: Commitment Of Neuronal Cell To Specific Neuron Type In Forebrain -> Biodomain: Epigenetic, Cell Cycle, Structural Stabilization, Synapse, Myelination
GO Term: Rostrocaudal Neural Tube Patterning -> Biodomain: Epigenetic, Cell Cycle, RNA Spliceosome, Apoptosis, Structural Stabilization
GO Term: Dorsal/Ventral Neural Tube Patterning -> Biodomain: Structural Stabilization, Epigenetic, Cell Cycle, Apoptosis, Autophagy
GO Term: Forebrain-Midbrain Boundary Formation -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Apoptosis, Autophagy
GO Term: Neural Tube Development -> Biodomain: Structural Stabilization, Synapse, Vasculature, Apoptosis, Cell Cycle
GO Term: Cell Proliferation In External Granule Layer -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Structural Stabilization, Synapse
GO Term: Cerebellar Granule Cell Precursor Proliferation -> Biodomain: Cell Cycle, Synapse, Structural Stabilization, Proteostasis, Epigenetic
GO Term: Radial Glia Guided Migration Of Cerebellar Granule Cell -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Myelination, Autophagy
GO Term: Hindbrain Tangential Cell Migration -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Immune Response
GO Term: Cerebellar Granule Cell Precursor Tangential Migration -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Endolysosome
GO Term: Regulation Of Cerebellar Granule Cell Precursor Proliferation -> Biodomain: Cell Cycle, Synapse, Structural Stabilization, Epigenetic, Myelination
GO Term: Cerebellar Purkinje Cell-Granule Cell Precursor Cell Signaling -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Epigenetic, Autophagy
GO Term: Positive Regulation Of Cerebellar Granule Cell Precursor Proliferation -> Biodomain: Cell Cycle, Synapse, Structural Stabilization, Mitochondrial Metabolism, Epigenetic
GO Term: Negative Regulation Of Cerebellar Granule Cell Precursor Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Synapse, Apoptosis, Proteostasis
GO Term: Radial Glia Guided Migration Of Purkinje Cell -> Biodomain: Structural Stabilization, Neural Development, Developmental Biology, Cytoskeletal Reorganization, Synapse
GO Term: Formation Of Radial Glial Scaffolds -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Proteostasis, Autophagy
Saved results to: Experiment/DeepSeek/01-Reference_free/01-Name/Temp_0.1/go_biodomain_results_part_6.csv
Logged runtime to: Experiment/DeepSeek/01-Reference_free/01-Name/Temp_0.1/runtime_log.csv
