Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 17: rows 16000 to 16999
GO Term: Zinc:Proton Antiporter Activity -> Biodomain: Metal Binding and Homeostasis, Endolysosome, Oxidative Stress, Mitochondrial Metabolism, Proteostasis
GO Term: Positive Regulation Of Prolactin Secretion -> Biodomain: Proteostasis, Mitochondrial Metabolism, Endolysosome, Autophagy, Oxidative Stress
GO Term: Negative Regulation Of Skeletal Muscle Satellite Cell Proliferation -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Autophagy, Epigenetic
GO Term: Negative Regulation Of Satellite Cell Differentiation -> Biodomain: Cell Cycle, Proteostasis, Apoptosis, Autophagy, Epigenetic
GO Term: Positive Regulation Of Skeletal Muscle Satellite Cell Differentiation -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, Mitochondrial Metabolism, Autophagy
GO Term: Positive Regulation Of Growth Factor Dependent Skeletal Muscle Satellite Cell Proliferation -> Biodomain: Cell Cycle, Growth Factor Signaling, Muscle System, Regulation of Cell Proliferation, Stem Cell Biology
GO Term: Negative Regulation Of Proteoglycan Biosynthetic Process -> Biodomain: Structural Stabilization, Proteostasis, Vasculature, Myelination, Lipid Metabolism
GO Term: Positive Regulation Of Proteoglycan Biosynthetic Process -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Lipid Metabolism, Endolysosome
GO Term: Negative Regulation Of Chondrocyte Proliferation -> Biodomain: Apoptosis, Cell Cycle, Structural Stabilization, Autophagy, Oxidative Stress
GO Term: Positive Regulation Of Chondrocyte Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Immune Response, Vasculature, Proteostasis
GO Term: Dendritic Filopodium -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Apoptotic Process Involved In Development -> Biodomain: Apoptosis, Structural Stabilization, Cell Cycle, Proteostasis, Epigenetic
GO Term: Regulation Of Lamellipodium Organization -> Biodomain: Structural Stabilization, Immune Response, Synapse, Vasculature, Cell Cycle
GO Term: Positive Regulation Of Lamellipodium Organization -> Biodomain: Structural Stabilization, Proteostasis, Apoptosis, Immune Response, Endolysosome
GO Term: Regulation Of Lens Fiber Cell Differentiation -> Biodomain: Structural Stabilization, Autophagy, Proteostasis, Endolysosome, Apoptosis
GO Term: Negative Regulation Of Lens Fiber Cell Differentiation -> Biodomain: Cell Cycle, Epigenetic, Proteostasis, Autophagy, Endolysosome
GO Term: Positive Regulation Of Lens Fiber Cell Differentiation -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Epigenetic
GO Term: Regulation Of Cell Cycle G2/M Phase Transition -> Biodomain: Cell Cycle, Apoptosis, DNA Repair, Proteostasis, Autophagy
GO Term: Negative Regulation Of Cell Cycle G2/M Phase Transition -> Biodomain: Cell Cycle, DNA Repair, Apoptosis, Proteostasis, Epigenetic
GO Term: Positive Regulation Of Cell Cycle G2/M Phase Transition -> Biodomain: Cell Cycle, DNA Repair, Proteostasis, Apoptosis, Epigenetic
GO Term: Positive Regulation Of Chondrocyte Development -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Proteostasis, Metal Binding and Homeostasis
GO Term: Skeletal Muscle Satellite Cell Migration -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Autophagy, Proteostasis
GO Term: Gtpase Activator Complex -> Biodomain: Proteostasis, Cell Cycle, Synapse, Endolysosome, Autophagy
GO Term: Late Endosome To Lysosome Transport -> Biodomain: Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, Apoptosis
GO Term: Mitochondrial Large Ribosomal Subunit Assembly -> Biodomain: Mitochondrial Metabolism, Structural Stabilization, Proteostasis, Cell Cycle, Autophagy
GO Term: Regulation Of Synaptic Vesicle Transport -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Endolysosome, Autophagy
GO Term: Regulation Of Cell Cycle G1/S Phase Transition -> Biodomain: Cell Cycle, Proteostasis, Epigenetic, Autophagy, DNA Repair
GO Term: Negative Regulation Of Cell Cycle G1/S Phase Transition -> Biodomain: Cell Cycle, Apoptosis, DNA Repair, Proteostasis, Epigenetic
GO Term: Positive Regulation Of Cell Cycle G1/S Phase Transition -> Biodomain: Cell Cycle, Proteostasis, DNA Repair, Autophagy, Apoptosis
GO Term: Regulation Of Skeletal Muscle Fiber Differentiation -> Biodomain: Structural Stabilization, Cell Cycle, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Positive Regulation Of Skeletal Muscle Fiber Differentiation -> Biodomain: Cell Cycle, Epigenetic, Proteostasis, Structural Stabilization, Metal Binding and Homeostasis
GO Term: Negative Regulation Of Protein Localization To Microtubule -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Tau Homeostasis, Autophagy
GO Term: Negative Regulation Of Late Endosome To Lysosome Transport -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, APP Metabolism
GO Term: Positive Regulation Of Late Endosome To Lysosome Transport -> Biodomain: Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, Immune Response
GO Term: Regulation Of Nuclear Migration Along Microtubule -> Biodomain: Tau Homeostasis, Cell Cycle, Structural Stabilization, Proteostasis, Autophagy
GO Term: Positive Regulation Of Mitotic Spindle Elongation -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Epigenetic, Autophagy
GO Term: Regulation Of Neuronal Signal Transduction -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Endolysosome, Lipid Metabolism
GO Term: Microtubule Cytoskeleton Organization Involved In Mitosis -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Tau Homeostasis, Autophagy
GO Term: Regulation Of Non-Motile Cilium Assembly -> Biodomain: Proteostasis, Endolysosome, Autophagy, Epigenetic, Structural Stabilization
GO Term: Negative Regulation Of Non-Motile Cilium Assembly -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Autophagy, Cell Cycle
GO Term: Positive Regulation Of Non-Motile Cilium Assembly -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Endolysosome, Autophagy
GO Term: Propionyl-Coa Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Propionyl-Coa Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Autophagy
GO Term: Propionyl-Coa Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Regulation Of Retina Development In Camera-Type Eye -> Biodomain: Synapse, Structural Stabilization, Vasculature, Proteostasis, Cell Cycle
GO Term: Negative Regulation Of Amacrine Cell Differentiation -> Biodomain: Synapse, Cell Cycle, Epigenetic, Structural Stabilization, Proteostasis
GO Term: Positive Regulation Of Amacrine Cell Differentiation -> Biodomain: Synapse, Cell Cycle, Epigenetic, RNA Spliceosome, Proteostasis
GO Term: Regulation Of Response To Oxidative Stress -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Autophagy, Apoptosis
GO Term: Negative Regulation Of Response To Oxidative Stress -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, Apoptosis, Mitochondrial Metabolism
GO Term: Positive Regulation Of Response To Oxidative Stress -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, Apoptosis, Immune Response
GO Term: Protein Localization To Astral Microtubule -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Protein Localization To Spindle Microtubule -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Regulation Of Mirna Transcription -> Biodomain: Epigenetic, DNA Repair, RNA Spliceosome, Immune Response, Autophagy
GO Term: Negative Regulation Of Mirna Transcription -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Autophagy, Apoptosis
GO Term: Positive Regulation Of Mirna Transcription -> Biodomain: Epigenetic, Cell Cycle, Immune Response, Autophagy, Proteostasis
GO Term: Terminal Web Assembly -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Autophagy, Unknown
GO Term: Regulation Of Postsynaptic Density Protein 95 Clustering -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Negative Regulation Of Autophagosome Assembly -> Biodomain: Autophagy, Proteostasis, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Regulation Of Supramolecular Fiber Organization -> Biodomain: Proteostasis, Structural Stabilization, Tau Homeostasis, Apoptosis, Synapse
GO Term: Negative Regulation Of Supramolecular Fiber Organization -> Biodomain: Proteostasis, Tau Homeostasis, Synapse, Autophagy, Apoptosis
GO Term: Positive Regulation Of Supramolecular Fiber Organization -> Biodomain: Structural Stabilization, Proteostasis, Tau Homeostasis, Autophagy, APP Metabolism
GO Term: Regulation Of Melanosome Transport -> Biodomain: Structural Stabilization, Lipid Metabolism, Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis
GO Term: Positive Regulation Of Melanosome Transport -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Endolysosome, Lipid Metabolism
GO Term: Protein Kinase Complex -> Biodomain: Proteostasis, Structural Stabilization, Cell Cycle, Apoptosis, Oxidative Stress
GO Term: Pyruvate Kinase Complex -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Cell Cycle, Oxidative Stress, Proteostasis
GO Term: Positive Regulation Of Neuroepithelial Cell Differentiation -> Biodomain: Epigenetic,Cell Cycle,RNA Spliceosome,Synapse,Structural Stabilization
GO Term: Regulation Of Protein Polyubiquitination -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Negative Regulation Of Protein Polyubiquitination -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Unknown
Saved results to: Experiment/DeepSeek/01-Reference_free/01-Name/Unknown_0/go_biodomain_results_part_17.csv
Logged runtime to: Experiment/DeepSeek/01-Reference_free/01-Name/Unknown_0/runtime_log.csv
