Running with TEMP=0.1, sub_array_index=4
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 4: rows 3000 to 3999
GO Term: Steroid Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Response To Uv -> Biodomain: DNA Repair, Oxidative Stress, Apoptosis, Proteostasis, Epigenetic
GO Term: Response To Water Deprivation -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, Apoptosis, Immune Response
GO Term: Response To Water -> Biodomain: Oxidative Stress, Proteostasis, Endolysosome, Autophagy, Structural Stabilization
GO Term: Response To Light Stimulus -> Biodomain: Oxidative Stress, DNA Repair, Apoptosis, Immune Response, Cell Cycle
GO Term: Nad+ Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Epigenetic
GO Term: Glyoxylate Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Autophagy
GO Term: Carnitine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy
GO Term: Methylglyoxal Metabolic Process -> Biodomain: Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy, Apoptosis
GO Term: Cyanate Catabolic Process -> Biodomain: Mitochondrial Metabolism, Endolysosome, Autophagy, Oxidative Stress, Proteostasis
GO Term: Glycolate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Pyridoxal 5'-Phosphate Salvage -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Lipid Metabolism, Autophagy
GO Term: Putrescine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Autophagy, Lipid Metabolism, Proteostasis, Oxidative Stress
GO Term: Putrescine Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Cell Cycle, Apoptosis
GO Term: Putrescine Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Metal Binding and Homeostasis
GO Term: Gamma-Aminobutyric Acid Metabolic Process -> Biodomain: Synapse, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Gamma-Aminobutyric Acid Biosynthetic Process -> Biodomain: Synapse, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Lipid Metabolism
GO Term: Gamma-Aminobutyric Acid Catabolic Process -> Biodomain: Mitochondrial Metabolism, Synapse, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Rna Modification -> Biodomain: Epigenetic, RNA Spliceosome, Structural Stabilization, Immune Response, Cell Cycle
GO Term: Fertilization -> Biodomain: Cell Cycle, DNA Repair, Proteostasis, Apoptosis, Structural Stabilization
GO Term: Detection Of Abiotic Stimulus -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Detection Of Light Stimulus -> Biodomain: Synapse, Oxidative Stress, Autophagy, Proteostasis, Myelination
GO Term: Detection Of Visible Light -> Biodomain: Synapse, Epigenetic, Metal Binding and Homeostasis, Oxidative Stress, Lipid Metabolism
GO Term: Detection Of Uv -> Biodomain: Oxidative Stress, DNA Repair, Apoptosis, Cell Cycle, Immune Response
GO Term: Detection Of Gravity -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Epigenetic, Vasculature, Proteostasis
GO Term: Detection Of Chemical Stimulus -> Biodomain: Immune Response, Synapse, Endolysosome, Oxidative Stress, Proteostasis
GO Term: Detection Of Biotic Stimulus -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Endolysosome, Autophagy
Saved results to: Experiment/DeepSeek/01-Reference_free/01-Name/Temp_0.1/go_biodomain_results_part_4.csv
Logged runtime to: Experiment/DeepSeek/01-Reference_free/01-Name/Temp_0.1/runtime_log.csv
