Running with TEMP=0.5, sub_array_index=5
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 5: rows 4000 to 4999
GO Term: Detection Of Virus -> Biodomain: Immune Response, Autophagy, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Wnt Signaling Pathway -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, Apoptosis, Proteostasis
GO Term: G Protein-Coupled Opsin Signaling Pathway -> Biodomain: Synapse, Proteostasis, Autophagy, Oxidative Stress, Lipid Metabolism
GO Term: Immunoglobulin Mediated Immune Response -> Biodomain: Immune Response, Proteostasis, Endolysosome, Apoptosis, Autophagy
GO Term: Type I Hypersensitivity -> Biodomain: Immune Response, Vasculature, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Rna Metabolic Process -> Biodomain: RNA Spliceosome, Epigenetic, DNA Repair, Proteostasis, Autophagy
GO Term: Mrna Metabolic Process -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Autophagy, DNA Repair
GO Term: Rrna Metabolic Process -> Biodomain: RNA Spliceosome, Structural Stabilization, Cell Cycle, Autophagy, Proteostasis
GO Term: Snrna Metabolic Process -> Biodomain: RNA Spliceosome, RNA Metabolism, Proteostasis, Epigenetic, Autophagy
GO Term: Sno(S)Rna Metabolic Process -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Autophagy, Cell Cycle
GO Term: Rrna Catabolic Process -> Biodomain: Autophagy, Proteostasis, Endolysosome, Apoptosis, Immune Response
GO Term: Snrna Catabolic Process -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Endolysosome, Apoptosis
GO Term: Sno(S)Rna Catabolic Process -> Biodomain: Proteostasis, Autophagy, Endolysosome, RNA Spliceosome, Epigenetic
GO Term: Trna Decay -> Biodomain: RNA Spliceosome, Oxidative Stress, Mitochondrial Metabolism, Metal Binding and Homeostasis, Autophagy
GO Term: Synaptic Vesicle Exocytosis -> Biodomain: Synapse, Proteostasis, Autophagy, Endolysosome, Structural Stabilization
GO Term: Synaptic Vesicle Targeting -> Biodomain: Synapse, Vesicle Trafficking, Membrane Trafficking, Neurotransmission, Organelle Localization
GO Term: Synaptic Vesicle Docking -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Structural Stabilization
GO Term: Synaptic Vesicle Priming -> Biodomain: Synapse, Proteostasis, Endolysosome, Structural Stabilization, Lipid Metabolism
GO Term: Polyprenol Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Polyprenol Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Endolysosome, Proteostasis
GO Term: Monoterpenoid Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Immune Response, Oxidative Stress, Autophagy
GO Term: Diterpenoid Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Triterpenoid Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Carotenoid Metabolic Process -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Autophagy, Proteostasis
GO Term: Carotene Metabolic Process -> Biodomain: Lipid Metabolism, Oxidative Stress, Autophagy, Endolysosome, Immune Response
GO Term: Carotene Catabolic Process -> Biodomain: Lipid Metabolism, Autophagy, Oxidative Stress, Endolysosome, Proteostasis
GO Term: Xanthophyll Metabolic Process -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Autophagy, Proteostasis
GO Term: Xanthophyll Catabolic Process -> Biodomain: Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis, Mitochondrial Metabolism
GO Term: Sterol Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Autophagy, Oxidative Stress
GO Term: Sterol Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Structural Stabilization, Autophagy, Apoptosis
GO Term: Glycoside Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Endolysosome, Oxidative Stress
GO Term: Translation Release Factor Activity, Codon Specific -> Biodomain: Proteostasis, Mitochondrial Metabolism, Autophagy, Apoptosis, RNA Spliceosome
GO Term: Translation Release Factor Activity, Codon Nonspecific -> Biodomain: Proteostasis, Mitochondrial Metabolism, Cell Cycle, Autophagy, Apoptosis
GO Term: Nickel Cation Binding -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Endolysosome, Mitochondrial Metabolism
GO Term: Urocanate Hydratase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Immune Response, Autophagy
GO Term: Pyrimidine-Nucleoside Phosphorylase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Endolysosome, Autophagy
GO Term: Formyltetrahydrofolate Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: 3-Phytase Activity -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Mitochondrial Metabolism, Endolysosome, Autophagy
GO Term: Amylase Activity -> Biodomain: Metal Binding and Homeostasis, Endolysosome, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Linoleate 13S-Lipoxygenase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Immune Response, Autophagy, Apoptosis
Saved results to: Experiment/DeepSeek/01-Reference_free/02-Name_structure/Temp_0.5/go_biodomain_results_part_5.csv
Logged runtime to: Experiment/DeepSeek/01-Reference_free/02-Name_structure/Temp_0.5/runtime_log.csv
