Running with TEMP=0.1, sub_array_index=13
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 13: rows 12000 to 12999
GO Term: Striated Muscle Dense Body -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Endolysosome, Apoptosis
GO Term: Brexanolone Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: R-Loop Processing -> Biodomain: DNA Repair, Epigenetic, RNA Spliceosome, Proteostasis, Cell Cycle
GO Term: Radial Spoke Assembly -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Endolysosome
GO Term: 25-Hydroxycholecalciferol-23-Hydroxylase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: 1-Alpha,25-Dihydroxyvitamin D3 23-Hydroxylase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Immune Response
GO Term: All-Trans Retinoic Acid 4-Hydrolase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Cell Cycle, Metal Binding and Homeostasis
GO Term: All-Trans Retinoic Acid 18-Hydroxylase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Autophagy, Epigenetic
GO Term: Testosterone 16-Beta-Hydroxylase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis
GO Term: Secalciferol 1-Monooxygenase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Immune Response
GO Term: Anandamide 8,9 Epoxidase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Synapse, Immune Response
GO Term: Anandamide 11,12 Epoxidase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Anandamide 14,15 Epoxidase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Regulation Of Lysosome Size -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Structural Stabilization
GO Term: Cellular Response To Chemical Stress -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, Apoptosis, Mitochondrial Metabolism
GO Term: Positive Regulation Of Pattern Recognition Receptor Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Endolysosome, Apoptosis, Autophagy
Saved results to: Experiment/DeepSeek/01-Reference_free/01-Name/Temp_0.1/go_biodomain_results_part_13.csv
Logged runtime to: Experiment/DeepSeek/01-Reference_free/01-Name/Temp_0.1/runtime_log.csv
