Running with TEMP=0.1, sub_array_index=1
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 1: rows 0 to 999
GO Term: Mitochondrial Genome Maintenance -> Biodomain: Mitochondrial Metabolism, DNA Repair, Oxidative Stress, Cell Cycle, Autophagy
GO Term: Negative Regulation Of Germinal Center Formation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Positive Regulation Of Germinal Center Formation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Epigenetic
GO Term: Regulation Of Immunoglobulin Production -> Biodomain: Immune Response, Proteostasis, Apoptosis, Autophagy, Endolysosome
GO Term: Negative Regulation Of Immunoglobulin Production -> Biodomain: Immune Response, Proteostasis, Apoptosis, Epigenetic, Cell Cycle
GO Term: Positive Regulation Of Immunoglobulin Production -> Biodomain: Immune Response, Autophagy, Proteostasis, Apoptosis, Endolysosome
GO Term: Regulation Of Tolerance Induction -> Biodomain: Immune Response, Apoptosis, Proteostasis, Epigenetic, Autophagy
GO Term: Negative Regulation Of Tolerance Induction -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Positive Regulation Of Tolerance Induction -> Biodomain: Immune Response, Epigenetic, Autophagy, Proteostasis, Apoptosis
GO Term: Positive Regulation Of Tolerance Induction To Self Antigen -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Autophagy
GO Term: Regulation Of Tolerance Induction Dependent Upon Immune Response -> Biodomain: Immune Response, Apoptosis, Epigenetic, Proteostasis, Autophagy
Saved results to: Experiment/DeepSeek/01-Reference_free/01-Name/Temp_0.1/go_biodomain_results_part_1.csv
Logged runtime to: Experiment/DeepSeek/01-Reference_free/01-Name/Temp_0.1/runtime_log.csv
