Running with TEMP=0.9, sub_array_index=6
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 6: rows 5000 to 5999
GO Term: Glial Cell-Derived Neurotrophic Factor Receptor Activity -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Endolysosome
GO Term: Pyramidal Neuron Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Proteostasis
GO Term: Forebrain Radial Glial Cell Differentiation -> Biodomain: Structural Stabilization, Cell Cycle, Myelination, Synapse, Autophagy
GO Term: Forebrain Ventricular Zone Progenitor Cell Division -> Biodomain: Cell Cycle, Neurogenesis, CNS Development, Stem Cell Biology, Brain Development
GO Term: Cajal-Retzius Cell Differentiation -> Biodomain: Synapse, Structural Stabilization, Apoptosis, Epigenetic, Cell Cycle
GO Term: Forebrain Regionalization -> Biodomain: Synapse, Myelination, Structural Stabilization, Epigenetic, Cell Cycle
GO Term: Forebrain Generation Of Neurons -> Biodomain: Cell Cycle, Epigenetic, RNA Spliceosome, Structural Stabilization, Autophagy
GO Term: Forebrain Neuroblast Division -> Biodomain: Cell Cycle, Structural Stabilization, Synapse, Myelination, Epigenetic
GO Term: Wnt Signaling Pathway Involved In Forebrain Neuroblast Division -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, Synapse, Lipid Metabolism
GO Term: Forebrain Neuron Fate Commitment -> Biodomain: Cell Cycle, Epigenetic, RNA Spliceosome, Autophagy, Structural Stabilization
GO Term: Forebrain Neuron Differentiation -> Biodomain: Synapse, Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Forebrain Neuron Development -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Autophagy, Proteostasis
GO Term: Forebrain Cell Migration -> Biodomain: Structural Stabilization, Synapse, Vasculature, Cell Cycle, Proteostasis
GO Term: Hypothalamus Gonadotrophin-Releasing Hormone Neuron Development -> Biodomain: Synapse, Proteostasis, Apoptosis, Cell Cycle, Structural Stabilization
GO Term: Olfactory Bulb Interneuron Differentiation -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Cell Cycle
GO Term: Olfactory Bulb Interneuron Development -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Myelination, Autophagy
GO Term: Cerebral Cortex Gabaergic Interneuron Differentiation -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Autophagy, Apoptosis
GO Term: Cerebral Cortex Gabaergic Interneuron Fate Commitment -> Biodomain: Synapse, Cell Cycle, Structural Stabilization, Epigenetic, Autophagy
GO Term: Cerebral Cortex Gabaergic Interneuron Development -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Autophagy, Epigenetic
GO Term: Cerebral Cortex Neuron Differentiation -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Epigenetic, Mitochondrial Metabolism
GO Term: Forebrain Astrocyte Development -> Biodomain: Synapse, Myelination, Structural Stabilization, Vasculature, Immune Response
GO Term: Fibroblast Growth Factor Receptor Signaling Pathway Involved In Forebrain Neuron Fate Commitment -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Proteostasis, Autophagy
GO Term: Commitment Of Neuronal Cell To Specific Neuron Type In Forebrain -> Biodomain: Cell Cycle, Epigenetic, Synapse, Structural Stabilization, Myelination
GO Term: Rostrocaudal Neural Tube Patterning -> Biodomain: Epigenetic, Cell Cycle, Apoptosis, RNA Spliceosome, Lipid Metabolism
GO Term: Dorsal/Ventral Neural Tube Patterning -> Biodomain: Neural Development, Developmental Biology, Stem Cell Biology, Cell Differentiation, Signaling Pathways
GO Term: Forebrain-Midbrain Boundary Formation -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, DNA Repair, Autophagy
GO Term: Neural Tube Development -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Vasculature, Synapse
GO Term: Cell Proliferation In External Granule Layer -> Biodomain: Cell Cycle, Structural Stabilization, Synapse, Epigenetic, DNA Repair
GO Term: Cerebellar Granule Cell Precursor Proliferation -> Biodomain: Cell Cycle, Neurogenesis, Developmental Biology, Signal Transduction, Neuroscience
GO Term: Radial Glia Guided Migration Of Cerebellar Granule Cell -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Proteostasis, Autophagy
GO Term: Hindbrain Tangential Cell Migration -> Biodomain: Structural Stabilization, Synapse, Tau Homeostasis, Autophagy, Endolysosome
GO Term: Cerebellar Granule Cell Precursor Tangential Migration -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Proteostasis, Autophagy
GO Term: Regulation Of Cerebellar Granule Cell Precursor Proliferation -> Biodomain: Cell Cycle, Epigenetic, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Cerebellar Purkinje Cell-Granule Cell Precursor Cell Signaling -> Biodomain: Synapse, Cell Cycle, Structural Stabilization, Autophagy, Epigenetic
GO Term: Positive Regulation Of Cerebellar Granule Cell Precursor Proliferation -> Biodomain: Cell Cycle, Synapse, Structural Stabilization, Proteostasis, Myelination
GO Term: Negative Regulation Of Cerebellar Granule Cell Precursor Proliferation -> Biodomain: Synapse, Cell Cycle, Apoptosis, Structural Stabilization, Proteostasis
GO Term: Radial Glia Guided Migration Of Purkinje Cell -> Biodomain: Structural Stabilization, Synapse, Myelination, Endolysosome, Cell Cycle
GO Term: Formation Of Radial Glial Scaffolds -> Biodomain: Structural Stabilization, Cell Cycle, Synapse, Myelination, Lipid Metabolism
Saved results to: Experiment/DeepSeek/01-Reference_free/01-Name/Temp_0.9/go_biodomain_results_part_6.csv
Logged runtime to: Experiment/DeepSeek/01-Reference_free/01-Name/Temp_0.9/runtime_log.csv
