Running with TEMP=0.1, sub_array_index=11
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 11: rows 10000 to 10999
GO Term: Omega-6 Fatty Acid Desaturase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Immune Response, Structural Stabilization, Metal Binding and Homeostasis
GO Term: Enteric Nervous System Development -> Biodomain: Synapse, Structural Stabilization, Immune Response, Vasculature, Autophagy
GO Term: Sympathetic Nervous System Development -> Biodomain: Synapse, Structural Stabilization, Vasculature, Myelination, Proteostasis
GO Term: Parasympathetic Nervous System Development -> Biodomain: Synapse, Structural Stabilization, Autophagy, Epigenetic, Mitochondrial Metabolism
GO Term: Beta-Tubulin Binding -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Tau Homeostasis, Autophagy
GO Term: Synaptic Vesicle Endocytosis -> Biodomain: Synapse, Endolysosome, Proteostasis, Autophagy, Structural Stabilization
GO Term: Synaptic Vesicle Transport -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Endolysosome, Autophagy
GO Term: Anterograde Synaptic Vesicle Transport -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Roundabout Binding -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Autophagy, Proteostasis
GO Term: Maintenance Of Animal Organ Identity -> Biodomain: Structural Stabilization, Epigenetic, Cell Cycle, DNA Repair, Autophagy
GO Term: Synaptic Vesicle Membrane Organization -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Signal Recognition Particle -> Biodomain: Proteostasis, Structural Stabilization, RNA Spliceosome, Endolysosome, Autophagy
GO Term: Regulation Of Timing Of Cell Differentiation -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Structural Stabilization, Autophagy
GO Term: Rhythmic Process -> Biodomain: Cell Cycle, Autophagy, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Circadian Behavior -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: Animal Organ Development -> Biodomain: Structural Stabilization, Cell Cycle, Vasculature, Apoptosis, Epigenetic
GO Term: Blood Vessel Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Lipid Metabolism, Cell Cycle, Apoptosis
GO Term: Spermatid Differentiation -> Biodomain: Cell Cycle, Proteostasis, Apoptosis, Structural Stabilization, Epigenetic
GO Term: Positive Regulation Of Behavior -> Biodomain: Synapse, Proteostasis, Endolysosome, Oxidative Stress, Mitochondrial Metabolism
GO Term: Positive Regulation Of Viral Process -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Negative Regulation Of Viral Process -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Anatomical Structure Arrangement -> Biodomain: Structural Stabilization, Vasculature, Synapse, Myelination, Cell Cycle
GO Term: Hematopoietic Or Lymphoid Organ Development -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Epigenetic, Autophagy
GO Term: Lymph Node Development -> Biodomain: Immune Response, Vasculature, Endolysosome, Apoptosis, Structural Stabilization
GO Term: Spleen Development -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Endolysosome, Autophagy
GO Term: Mucosa-Associated Lymphoid Tissue Development -> Biodomain: Immune Response, Endolysosome, Vasculature, Structural Stabilization, Proteostasis
GO Term: Thymus Development -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Epigenetic, Apoptosis
GO Term: Bone Marrow Development -> Biodomain: Immune Response, Vasculature, Cell Cycle, Epigenetic, Lipid Metabolism
GO Term: Peyer'S Patch Development -> Biodomain: Immune Response, Structural Stabilization, Vasculature, Apoptosis, Endolysosome
GO Term: Response To Steroid Hormone -> Biodomain: Epigenetic, Lipid Metabolism, Proteostasis, Oxidative Stress, Cell Cycle
GO Term: Digestive Tract Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Mitochondrial Metabolism, Lipid Metabolism, Cell Cycle
GO Term: Positive Regulation Of Pinocytosis -> Biodomain: Endolysosome, Immune Response, Proteostasis, Autophagy, Structural Stabilization
GO Term: Negative Regulation Of Pinocytosis -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Vasculature
GO Term: Embryonic Digestive Tract Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Epigenetic, Autophagy
GO Term: Establishment Of Anatomical Structure Orientation -> Biodomain: Structural Stabilization, Cell Cycle, Autophagy, Apoptosis, Proteostasis
GO Term: Establishment Of Animal Organ Orientation -> Biodomain: Structural Stabilization, Epigenetic, Vasculature, Apoptosis, Cell Cycle
GO Term: Embryonic Organ Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, DNA Repair, Apoptosis
GO Term: Digestive Tract Development -> Biodomain: Structural Stabilization, Vasculature, Lipid Metabolism, Immune Response, Autophagy
GO Term: Embryonic Digestive Tract Development -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Apoptosis, Lipid Metabolism
GO Term: Embryonic Organ Development -> Biodomain: Epigenetic, Vasculature, Cell Cycle, Structural Stabilization, Apoptosis
GO Term: Notochord Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Vasculature, Lipid Metabolism
GO Term: Long-Day Photoperiodism -> Biodomain: Oxidative Stress, Epigenetic, Autophagy, Proteostasis, Mitochondrial Metabolism
GO Term: Short-Day Photoperiodism -> Biodomain: Epigenetic, Cell Cycle, Synapse, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Developmental Cell Growth -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Developmental Growth -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, Lipid Metabolism, Autophagy
GO Term: Eye Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Apoptosis, Cell Cycle
GO Term: Camera-Type Eye Morphogenesis -> Biodomain: Structural Stabilization, Synapse, Vasculature, Epigenetic, Immune Response
GO Term: Embryonic Camera-Type Eye Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Epigenetic, RNA Spliceosome
GO Term: Post-Embryonic Camera-Type Eye Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Proteostasis, Autophagy
GO Term: Embryonic Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Autophagy, Epigenetic
GO Term: Oocyte Development -> Biodomain: Cell Cycle, Proteostasis, Autophagy, Mitochondrial Metabolism, Structural Stabilization
GO Term: Reproductive Structure Development -> Biodomain: Cell Cycle, Structural Stabilization, Apoptosis, DNA Repair, Epigenetic
GO Term: Embryonic Ectodermal Digestive Tract Development -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Autophagy, Lipid Metabolism
GO Term: Embryonic Ectodermal Digestive Tract Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Apoptosis, Vasculature
GO Term: Embryonic Foregut Morphogenesis -> Biodomain: Structural Stabilization, Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Proteostasis
GO Term: Embryonic Hindgut Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Epigenetic, Lipid Metabolism
GO Term: Post-Embryonic Digestive Tract Morphogenesis -> Biodomain: Structural Stabilization, Epigenetic, Immune Response, Lipid Metabolism, Proteostasis
Saved results to: Experiment/DeepSeek/01-Reference_free/01-Name/Temp_0.1/go_biodomain_results_part_11.csv
Logged runtime to: Experiment/DeepSeek/01-Reference_free/01-Name/Temp_0.1/runtime_log.csv
