Running with TEMP=0.5, sub_array_index=18
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 18: rows 17000 to 17999
GO Term: Positive Regulation Of Protein Polyubiquitination -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Positive Regulation Of Activated Cd8-Positive, Alpha-Beta T Cell Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Proteostasis, Autophagy, Cell Cycle
GO Term: Regulation Of Dense Core Granule Exocytosis -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Vasculature
GO Term: Positive Regulation Of Dense Core Granule Exocytosis -> Biodomain: Synapse, Proteostasis, Immune Response, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Response To Glycine -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Synapse, Lipid Metabolism, Proteostasis
GO Term: Cellular Response To Glycine -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Negative Regulation Of Retrograde Trans-Synaptic Signaling By Neuropeptide -> Biodomain: Synapse, Proteostasis, Autophagy, Endolysosome, Structural Stabilization
GO Term: Regulation Of Clathrin Coat Assembly -> Biodomain: Endolysosome, Proteostasis, Autophagy, Structural Stabilization, Lipid Metabolism
GO Term: Positive Regulation Of Clathrin Coat Assembly -> Biodomain: Proteostasis, Endolysosome, Synapse, Autophagy, Structural Stabilization
GO Term: Positive Regulation Of Mitochondrial Atp Synthesis Coupled Electron Transport -> Biodomain: Mitochondrial Metabolism, Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Negative Regulation Of Fc-Gamma Receptor Signaling Pathway Involved In Phagocytosis -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Positive Regulation Of Fc-Gamma Receptor Signaling Pathway Involved In Phagocytosis -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Regulation Of Myeloid Progenitor Cell Differentiation -> Biodomain: Immune Response, Epigenetic, Cell Cycle, Autophagy, Oxidative Stress
GO Term: Negative Regulation Of Myeloid Progenitor Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Autophagy
GO Term: Positive Regulation Of Myeloid Progenitor Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Epigenetic, Autophagy, Apoptosis
GO Term: Regulation Of Lymphoid Progenitor Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Epigenetic, DNA Repair
GO Term: Negative Regulation Of Lymphoid Progenitor Cell Differentiation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Autophagy
GO Term: Positive Regulation Of Lymphoid Progenitor Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Epigenetic, Proteostasis
GO Term: Regulation Of Vascular Associated Smooth Muscle Cell Apoptotic Process -> Biodomain: Apoptosis, Vasculature, Cell Cycle, Structural Stabilization, Oxidative Stress
GO Term: Negative Regulation Of Vascular Associated Smooth Muscle Cell Apoptotic Process -> Biodomain: Apoptosis, Vasculature, Cell Cycle, Oxidative Stress, Immune Response
GO Term: Positive Regulation Of Vascular Associated Smooth Muscle Cell Apoptotic Process -> Biodomain: Apoptosis, Vasculature, Cell Cycle, Structural Stabilization, Oxidative Stress
GO Term: Regulation Of Protein Localization To Membrane -> Biodomain: Proteostasis, Membrane Trafficking, Endolysosome, Autophagy, Vesicle Trafficking
GO Term: Positive Regulation Of Protein Localization To Membrane -> Biodomain: Proteostasis, Structural Stabilization, Endolysosome, Autophagy, Synapse
GO Term: Positive Regulation Of Branching Morphogenesis Of A Nerve -> Biodomain: Synapse, Structural Stabilization, Myelination, Lipid Metabolism, Proteostasis
GO Term: Acetyl-Coa Binding -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis
GO Term: Positive Regulation Of Motile Cilium Assembly -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Mitochondrial Metabolism
GO Term: Negative Regulation Of Short-Term Synaptic Potentiation -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Autophagy, Structural Stabilization
GO Term: Non-Motile Cilium Assembly -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Lipid Metabolism, Autophagy
GO Term: Positive Regulation Of Fertilization -> Biodomain: Reproduction, Cell Cycle, Cell Adhesion, Signaling, Development
GO Term: Macrophage Migration -> Biodomain: Immune Response, Vasculature, Apoptosis, Endolysosome, Proteostasis
GO Term: Positive Regulation Of Presynaptic Active Zone Assembly -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Regulation Of Macrophage Migration -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Apoptosis, Lipid Metabolism
GO Term: Negative Regulation Of Macrophage Migration -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Vasculature, Proteostasis
GO Term: Positive Regulation Of Macrophage Migration -> Biodomain: Immune Response, Vasculature, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Negative Regulation Of Protein Autoubiquitination -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Immune Response
GO Term: Regulation Of Golgi Lumen Acidification -> Biodomain: Endolysosome, Proteostasis, Structural Stabilization, Lipid Metabolism, Autophagy
GO Term: Positive Regulation Of Golgi Lumen Acidification -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Vasculature
GO Term: Negative Regulation Of L-Leucine Import Across Plasma Membrane -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress, Autophagy
GO Term: Positive Regulation Of L-Leucine Import Across Plasma Membrane -> Biodomain: Proteostasis, Mitochondrial Metabolism, Autophagy, Lipid Metabolism, Epigenetic
GO Term: Positive Regulation Of Eukaryotic Translation Initiation Factor 4F Complex Assembly -> Biodomain: Proteostasis, Autophagy, Oxidative Stress, Apoptosis, Mitochondrial Metabolism
GO Term: Regulation Of Postsynapse To Nucleus Signaling Pathway -> Biodomain: Synapse, Proteostasis, Epigenetic, Autophagy, Structural Stabilization
GO Term: Negative Regulation Of Protein Localization To Endoplasmic Reticulum -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, Lipid Metabolism
GO Term: Positive Regulation Of Protein Localization To Endoplasmic Reticulum -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Structural Stabilization
GO Term: Regulation Of Blood Vessel Branching -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Cell Cycle, Endolysosome
GO Term: Negative Regulation Of Blood Vessel Branching -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Apoptosis, Proteostasis
GO Term: Positive Regulation Of Blood Vessel Branching -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Immune Response, Lipid Metabolism
GO Term: Regulation Of Vascular Endothelial Cell Proliferation -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Oxidative Stress, Immune Response
GO Term: Negative Regulation Of Vascular Endothelial Cell Proliferation -> Biodomain: Vasculature, Apoptosis, Cell Cycle, Immune Response, Oxidative Stress
GO Term: Positive Regulation Of Vascular Endothelial Cell Proliferation -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Immune Response, Mitochondrial Metabolism
GO Term: Ganglioside Gm1 Transport To Membrane -> Biodomain: Lipid Metabolism, Endolysosome, Synapse, Structural Stabilization, Proteostasis
GO Term: Ganglioside Gm1 Binding -> Biodomain: Lipid Metabolism, Synapse, Structural Stabilization, APP Metabolism, Metal Binding and Homeostasis
GO Term: Ganglioside Gm2 Binding -> Biodomain: Lipid Metabolism, Synapse, Endolysosome, Proteostasis, Structural Stabilization
GO Term: Ganglioside Gm3 Binding -> Biodomain: Lipid Metabolism, Structural Stabilization, Synapse, Proteostasis, Immune Response
GO Term: Ganglioside Gt1B Binding -> Biodomain: Lipid Metabolism, Synapse, Structural Stabilization, Endolysosome, Proteostasis
GO Term: Ganglioside Gp1C Binding -> Biodomain: Lipid Metabolism, Synapse, Myelination, APP Metabolism, Structural Stabilization
GO Term: Positive Regulation Of Erbb3 Signaling Pathway -> Biodomain: Immune Response, Myelination, Cell Cycle, Endolysosome, Lipid Metabolism
GO Term: Positive Regulation Of Low-Density Lipoprotein Particle Clearance -> Biodomain: Lipid Metabolism, Vasculature, Endolysosome, Immune Response, Autophagy
GO Term: Outer Hair Cell Apoptotic Process -> Biodomain: Apoptosis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse
GO Term: Negative Regulation Of Outer Hair Cell Apoptotic Process -> Biodomain: Apoptosis, Cell Cycle, Structural Stabilization, Proteostasis, Oxidative Stress
GO Term: Fibronectin Fibril Organization -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Proteostasis, Apoptosis
GO Term: Negative Regulation Of Optical Nerve Axon Regeneration -> Biodomain: Synapse, Structural Stabilization, Autophagy, Myelination, Proteostasis
GO Term: Resveratrol Binding -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Negative Regulation Of Receptor-Mediated Endocytosis Involved In Cholesterol Transport -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Vasculature, Oxidative Stress
GO Term: Positive Regulation Of Receptor-Mediated Endocytosis Involved In Cholesterol Transport -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Oxidative Stress, APP Metabolism
Saved results to: Experiment/DeepSeek/01-Reference_free/01-Name/Temp_0.5/go_biodomain_results_part_18.csv
Logged runtime to: Experiment/DeepSeek/01-Reference_free/01-Name/Temp_0.5/runtime_log.csv
