Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 2: rows 1000 to 1999
GO Term: Positive Regulation Of B Cell Tolerance Induction -> Biodomain: Immune Response, Apoptosis, Endolysosome, Proteostasis, Autophagy
GO Term: Succinate-Coa Ligase (Adp-Forming) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis, Autophagy
GO Term: Succinate-Coa Ligase (Gdp-Forming) Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Autophagy
GO Term: Succinate-Semialdehyde Dehydrogenase (Nad+) Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Synapse, Unknown
GO Term: Succinyl-Coa Hydrolase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Epigenetic, Unknown
GO Term: Sulfate Adenylyltransferase (Atp) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Structural Stabilization, Lipid Metabolism
GO Term: Sulfinoalanine Decarboxylase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Superoxide Dismutase Activity -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Mitochondrial Metabolism, Apoptosis, Immune Response
GO Term: Thiamine Diphosphokinase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Unknown
GO Term: Thioether S-Methyltransferase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Epigenetic
GO Term: Thioredoxin-Disulfide Reductase (Nadph) Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Autophagy
GO Term: Thiosulfate-Cyanide Sulfurtransferase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Unknown
GO Term: Threonine Deaminase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Autophagy, Proteostasis
GO Term: Threonine Synthase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy, Unknown
GO Term: Thromboxane-A Synthase Activity -> Biodomain: Vasculature, Lipid Metabolism, Oxidative Stress, Immune Response, Mitochondrial Metabolism
GO Term: Thymidine Kinase Activity -> Biodomain: DNA Repair, Cell Cycle, Mitochondrial Metabolism, Metal Binding and Homeostasis, Apoptosis
GO Term: Dtmp Kinase Activity -> Biodomain: Cell Cycle, DNA Repair, Mitochondrial Metabolism, Epigenetic, Unknown
GO Term: Thymidylate Synthase Activity -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Mitochondrial Metabolism, Proteostasis
GO Term: Thyroxine 5'-Deiodinase Activity -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Unknown
GO Term: Transaldolase Activity -> Biodomain: Metabolic Processes, Glycolysis and Gluconeogenesis, Cell Metabolism, Enzymatic Activity, Redox Homeostasis
GO Term: Transketolase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, DNA Repair, Cell Cycle, Proteostasis
GO Term: Transposase Activity -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Unknown, Proteostasis
GO Term: Triacylglycerol Lipase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Autophagy, Oxidative Stress
GO Term: Triose-Phosphate Isomerase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Unknown, Proteostasis
GO Term: Cca Trna Nucleotidyltransferase Activity -> Biodomain: RNA Spliceosome, Epigenetic, Mitochondrial Metabolism, Proteostasis, Unknown
GO Term: Aminoacyl-Trna Ligase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis, Structural Stabilization, Autophagy
GO Term: Alanine-Trna Ligase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Autophagy, RNA Spliceosome, Cell Cycle
GO Term: Arginine-Trna Ligase Activity -> Biodomain: Proteostasis, Metal Binding and Homeostasis, Mitochondrial Metabolism, Epigenetic, Unknown
GO Term: Aspartate-Trna Ligase Activity -> Biodomain: Proteostasis, RNA Spliceosome, Mitochondrial Metabolism, Unknown, Cell Cycle
GO Term: Asparagine-Trna Ligase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Cell Cycle, Immune Response, Unknown
GO Term: Cysteine-Trna Ligase Activity -> Biodomain: Proteostasis, Structural Stabilization, Unknown, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Glutamate-Trna Ligase Activity -> Biodomain: Proteostasis, Metal Binding and Homeostasis, RNA Spliceosome, Mitochondrial Metabolism, Autophagy
GO Term: Glutamine-Trna Ligase Activity -> Biodomain: Proteostasis, Unknown, Mitochondrial Metabolism, Structural Stabilization, Oxidative Stress
GO Term: Glycine-Trna Ligase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Unknown, Cell Cycle, Autophagy
GO Term: Histidine-Trna Ligase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis, Unknown, RNA Spliceosome
GO Term: Isoleucine-Trna Ligase Activity -> Biodomain: Proteostasis, Unknown, Mitochondrial Metabolism, Metal Binding and Homeostasis, Autophagy
GO Term: Leucine-Trna Ligase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Unknown, Structural Stabilization, RNA Spliceosome
GO Term: Lysine-Trna Ligase Activity -> Biodomain: Proteostasis, Apoptosis, RNA Spliceosome, Metal Binding and Homeostasis, Immune Response
GO Term: Methionine-Trna Ligase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Unknown
GO Term: Phenylalanine-Trna Ligase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, RNA Spliceosome, Unknown, Autophagy
GO Term: Proline-Trna Ligase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Unknown, Epigenetic, DNA Repair
GO Term: Serine-Trna Ligase Activity -> Biodomain: Protein Synthesis, Translation, Amino Acid Metabolism, RNA Metabolism, Enzyme Activity
GO Term: Threonine-Trna Ligase Activity -> Biodomain: Proteostasis, Unknown, Structural Stabilization, Mitochondrial Metabolism, Autophagy
GO Term: Tryptophan-Trna Ligase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis, Unknown, Oxidative Stress
GO Term: Tyrosine-Trna Ligase Activity -> Biodomain: Proteostasis, Metal Binding and Homeostasis, Unknown, Structural Stabilization, RNA Spliceosome
GO Term: Valine-Trna Ligase Activity -> Biodomain: Proteostasis, Unknown, Structural Stabilization, RNA Spliceosome, Metal Binding and Homeostasis
GO Term: Tryptophan 2,3-Dioxygenase Activity -> Biodomain: Mitochondrial Metabolism, Immune Response, Metal Binding and Homeostasis, Oxidative Stress, Apoptosis
GO Term: Tubulin-Tyrosine Ligase Activity -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Tau Homeostasis, Apoptosis
GO Term: L-Tyrosine-2-Oxoglutarate Transaminase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress, Unknown
GO Term: Ubiquitin Activating Enzyme Activity -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Unknown
GO Term: Ubiquitin-Protein Transferase Activity -> Biodomain: Proteostasis, Autophagy, Apoptosis, DNA Repair, Cell Cycle
GO Term: Cysteine-Type Deubiquitinase Activity -> Biodomain: Proteostasis, Autophagy, Apoptosis, DNA Repair, Immune Response
GO Term: Uracil Dna N-Glycosylase Activity -> Biodomain: DNA Repair, Epigenetic, Oxidative Stress, Structural Stabilization, Cell Cycle
GO Term: Uridine Kinase Activity -> Biodomain: RNA Spliceosome, Cell Cycle, Mitochondrial Metabolism, DNA Repair, Autophagy
GO Term: Uridine Phosphorylase Activity -> Biodomain: Mitochondrial Metabolism, Unknown, Lipid Metabolism, Autophagy, Proteostasis
GO Term: Uroporphyrinogen-Iii Synthase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Lipid Metabolism, Proteostasis
GO Term: Uroporphyrinogen Decarboxylase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Unknown
GO Term: Xanthine Dehydrogenase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Metal Binding and Homeostasis, Immune Response, Apoptosis
GO Term: Xanthine Oxidase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Metal Binding and Homeostasis, Apoptosis, DNA Repair
GO Term: D-Xylulokinase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Cell Cycle, Proteostasis, Unknown
GO Term: Enzyme Inhibitor Activity -> Biodomain: Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Apoptosis, Metal Binding and Homeostasis
GO Term: Phospholipase Inhibitor Activity -> Biodomain: Lipid Metabolism, Apoptosis, Mitochondrial Metabolism, Vasculature, Endolysosome
GO Term: Protein Kinase Inhibitor Activity -> Biodomain: Cell Cycle, Immune Response, Apoptosis, Tau Homeostasis, Proteostasis
GO Term: Cyclin-Dependent Protein Serine/Threonine Kinase Inhibitor Activity -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Epigenetic, DNA Repair
GO Term: Camp-Dependent Protein Kinase Inhibitor Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Synapse, Lipid Metabolism, Autophagy
GO Term: Protein Phosphatase Inhibitor Activity -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Synapse, Tau Homeostasis
GO Term: Protein Serine/Threonine Phosphatase Inhibitor Activity -> Biodomain: Proteostasis, Apoptosis, Cell Cycle, Oxidative Stress, Epigenetic
Saved results to: Experiment/DeepSeek/01-Reference_free/01-Name/Unknown_0/go_biodomain_results_part_2.csv
Logged runtime to: Experiment/DeepSeek/01-Reference_free/01-Name/Unknown_0/runtime_log.csv
