Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 14: rows 13000 to 13999
GO Term: Peroxynitrite Isomerase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Mesenchymal Cell Differentiation Involved In Kidney Development -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Immune Response, Epigenetic
GO Term: Metanephric Mesenchymal Cell Differentiation -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Immune Response
GO Term: Mesonephric Epithelium Development -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Proteostasis, Lipid Metabolism
GO Term: Mesonephric Tubule Development -> Biodomain: Structural Stabilization, Vasculature, Apoptosis, Autophagy, Cell Cycle
GO Term: Posterior Mesonephric Tubule Development -> Biodomain: Structural Stabilization, Vasculature, Epigenetic, Cell Cycle, Apoptosis
GO Term: Specification Of Anterior Mesonephric Tubule Identity -> Biodomain: Epigenetic, Cell Cycle, Structural Stabilization, Apoptosis, Autophagy
GO Term: Specification Of Posterior Mesonephric Tubule Identity -> Biodomain: Structural Stabilization, Vasculature, Epigenetic, Cell Cycle, Autophagy
GO Term: Metanephric Tubule Development -> Biodomain: Vasculature, Cell Cycle, Epigenetic, Structural Stabilization, Lipid Metabolism
GO Term: Mesonephric Tubule Formation -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Apoptosis, Immune Response
GO Term: Metanephric Tubule Formation -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Cell Cycle, Autophagy
GO Term: Epithelial Tube Formation -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Immune Response
Saved results to: Experiment/DeepSeek/01-Reference_free/01-Name/Temp_0/go_biodomain_results_part_14.csv
Logged runtime to: Experiment/DeepSeek/01-Reference_free/01-Name/Temp_0/runtime_log.csv
