Running with TEMP=0.9, sub_array_index=5
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 5: rows 4000 to 4999
GO Term: Detection Of Virus -> Biodomain: Immune Response, Autophagy, Apoptosis, Endolysosome, Proteostasis
GO Term: G Protein-Coupled Opsin Signaling Pathway -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Autophagy, Endolysosome
GO Term: Immunoglobulin Mediated Immune Response -> Biodomain: Immune Response, Antibody Production, B Cell Function, Pathogen Defense, Inflammation
GO Term: Type I Hypersensitivity -> Biodomain: Immune Response, Vasculature, Lipid Metabolism, Oxidative Stress, Apoptosis
GO Term: Rna Metabolic Process -> Biodomain: Epigenetic, RNA Spliceosome, DNA Repair, Proteostasis, Cell Cycle
GO Term: Mrna Metabolic Process -> Biodomain: Proteostasis, RNA Spliceosome, Epigenetic, DNA Repair, Autophagy
GO Term: Rrna Metabolic Process -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, DNA Repair, Autophagy
GO Term: Snrna Metabolic Process -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Cell Cycle, Autophagy
GO Term: Sno(S)Rna Metabolic Process -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Structural Stabilization, Autophagy
GO Term: Rrna Catabolic Process -> Biodomain: RNA Spliceosome, Lipid Metabolism, Epigenetic, DNA Repair, Cell Cycle
GO Term: Snrna Catabolic Process -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Endolysosome, Oxidative Stress
GO Term: Sno(S)Rna Catabolic Process -> Biodomain: RNA Spliceosome, Autophagy, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Trna Decay -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Oxidative Stress, Apoptosis
GO Term: Synaptic Vesicle Exocytosis -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Structural Stabilization
GO Term: Synaptic Vesicle Targeting -> Biodomain: Synapse, Proteostasis, Endolysosome, Structural Stabilization, Autophagy
GO Term: Synaptic Vesicle Docking -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Endolysosome
GO Term: Synaptic Vesicle Priming -> Biodomain: Synapse, Proteostasis, Endolysosome, Structural Stabilization, Autophagy
GO Term: Polyprenol Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Polyprenol Catabolic Process -> Biodomain: Lipid Metabolism, Autophagy, Endolysosome, Proteostasis, Mitochondrial Metabolism
GO Term: Monoterpenoid Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Diterpenoid Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Triterpenoid Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Proteostasis, Oxidative Stress
GO Term: Carotenoid Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Carotene Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Carotene Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Endolysosome
GO Term: Xanthophyll Metabolic Process -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Autophagy, Epigenetic
GO Term: Xanthophyll Catabolic Process -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Autophagy, Endolysosome
GO Term: Sterol Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: Sterol Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Cell Cycle, Oxidative Stress
GO Term: Glycoside Catabolic Process -> Biodomain: Autophagy, Endolysosome, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Translation Release Factor Activity, Codon Specific -> Biodomain: Proteostasis, Structural Stabilization, Apoptosis, Autophagy, Cell Cycle
GO Term: Translation Release Factor Activity, Codon Nonspecific -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Apoptosis, Cell Cycle
GO Term: Nickel Cation Binding -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Autophagy, Endolysosome
GO Term: Urocanate Hydratase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome, Lipid Metabolism
GO Term: Pyrimidine-Nucleoside Phosphorylase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Lipid Metabolism
GO Term: Formyltetrahydrofolate Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Epigenetic, DNA Repair, Cell Cycle, Oxidative Stress
GO Term: 3-Phytase Activity -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Mitochondrial Metabolism, Endolysosome, Proteostasis
GO Term: Amylase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Proteostasis, Autophagy
GO Term: Linoleate 13S-Lipoxygenase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Immune Response, Apoptosis, Metal Binding and Homeostasis
Saved results to: Experiment/DeepSeek/01-Reference_free/02-Name_structure/Temp_0.9/go_biodomain_results_part_5.csv
Logged runtime to: Experiment/DeepSeek/01-Reference_free/02-Name_structure/Temp_0.9/runtime_log.csv
