Running with TEMP=0.1, sub_array_index=17
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 17: rows 16000 to 16999
GO Term: Zinc:Proton Antiporter Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Endolysosome, Proteostasis, Oxidative Stress
GO Term: Mitochondrial Outer Membrane Permeabilization Involved In Programmed Cell Death -> Biodomain: Mitochondrial Metabolism, Apoptosis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Regulation Of Nad Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Respiratory Basal Cell Differentiation -> Biodomain: Cell Cycle, Structural Stabilization, Vasculature, Immune Response, Epigenetic
GO Term: Regulation Of Neuroblast Proliferation -> Biodomain: Cell Cycle, Apoptosis, Structural Stabilization, Synapse, Immune Response
GO Term: Gaba Receptor Complex -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Gaba-A Receptor Complex -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: G Protein-Coupled Gaba Receptor Complex -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Endolysosome, Autophagy
GO Term: Positive Regulation Of Prolactin Secretion -> Biodomain: Immune Response, Vasculature, Lipid Metabolism, Epigenetic, Autophagy
GO Term: Negative Regulation Of Skeletal Muscle Satellite Cell Proliferation -> Biodomain: Cell Cycle, Apoptosis, Oxidative Stress, Structural Stabilization, Proteostasis
GO Term: Negative Regulation Of Satellite Cell Differentiation -> Biodomain: Cell Cycle, Epigenetic, Proteostasis, Autophagy, Immune Response
GO Term: Positive Regulation Of Skeletal Muscle Satellite Cell Differentiation -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Apoptosis
GO Term: Positive Regulation Of Growth Factor Dependent Skeletal Muscle Satellite Cell Proliferation -> Biodomain: Cell Cycle, Signal Transduction, Muscle System Process, Epigenetic, Structural Stabilization
GO Term: Negative Regulation Of Proteoglycan Biosynthetic Process -> Biodomain: Proteostasis, Structural Stabilization, Lipid Metabolism, APP Metabolism, Vasculature
GO Term: Positive Regulation Of Proteoglycan Biosynthetic Process -> Biodomain: Structural Stabilization, Vasculature, Lipid Metabolism, Immune Response, Synapse
GO Term: Negative Regulation Of Chondrocyte Proliferation -> Biodomain: Apoptosis, Cell Cycle, Structural Stabilization, Proteostasis, Immune Response
GO Term: Positive Regulation Of Chondrocyte Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Autophagy, Immune Response, Epigenetic
GO Term: Dendritic Filopodium -> Biodomain: Synapse, Structural Stabilization, Myelination, Proteostasis, Endolysosome
GO Term: Apoptotic Process Involved In Development -> Biodomain: Apoptosis, Developmental Process, Cell Death, Cell Cycle, Structural Stabilization
GO Term: Regulation Of Lamellipodium Organization -> Biodomain: Structural Stabilization, Immune Response, Vasculature, Cell Cycle, Mitochondrial Metabolism
GO Term: Positive Regulation Of Lamellipodium Organization -> Biodomain: Structural Stabilization, Immune Response, Vasculature, Lipid Metabolism, Apoptosis
GO Term: Regulation Of Lens Fiber Cell Differentiation -> Biodomain: Structural Stabilization, Apoptosis, Proteostasis, Autophagy, Cell Cycle
GO Term: Negative Regulation Of Lens Fiber Cell Differentiation -> Biodomain: Proteostasis, Structural Stabilization, Epigenetic, Cell Cycle, Apoptosis
GO Term: Positive Regulation Of Lens Fiber Cell Differentiation -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Apoptosis, Cell Cycle
GO Term: Regulation Of Cell Cycle G2/M Phase Transition -> Biodomain: Cell Cycle, DNA Repair, Proteostasis, Apoptosis, Structural Stabilization
GO Term: Negative Regulation Of Cell Cycle G2/M Phase Transition -> Biodomain: Cell Cycle, Apoptosis, DNA Repair, Proteostasis, Structural Stabilization
GO Term: Positive Regulation Of Cell Cycle G2/M Phase Transition -> Biodomain: Cell Cycle, DNA Repair, Apoptosis, Proteostasis, Autophagy
GO Term: Positive Regulation Of Chondrocyte Development -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Skeletal Muscle Satellite Cell Migration -> Biodomain: Tissue Regeneration, Stem Cell, Skeletal Muscle Tissue, Cell Migration, Muscle Repair
GO Term: Gtpase Activator Complex -> Biodomain: Proteostasis, Synapse, Endolysosome, Autophagy, Structural Stabilization
GO Term: Late Endosome To Lysosome Transport -> Biodomain: Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, Synapse
GO Term: Mitochondrial Large Ribosomal Subunit Assembly -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress, Apoptosis
GO Term: Regulation Of Synaptic Vesicle Transport -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Structural Stabilization
GO Term: Regulation Of Cell Cycle G1/S Phase Transition -> Biodomain: Cell Cycle, DNA Repair, Proteostasis, Apoptosis, Epigenetic
GO Term: Negative Regulation Of Cell Cycle G1/S Phase Transition -> Biodomain: Cell Cycle, Proteostasis, DNA Repair, Apoptosis, Epigenetic
GO Term: Positive Regulation Of Cell Cycle G1/S Phase Transition -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Autophagy, Epigenetic
GO Term: Regulation Of Skeletal Muscle Fiber Differentiation -> Biodomain: Structural Stabilization, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Positive Regulation Of Skeletal Muscle Fiber Differentiation -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: Negative Regulation Of Protein Localization To Microtubule -> Biodomain: Tau Homeostasis, Proteostasis, Structural Stabilization, Cell Cycle, Autophagy
GO Term: Negative Regulation Of Late Endosome To Lysosome Transport -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Immune Response
GO Term: Positive Regulation Of Late Endosome To Lysosome Transport -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Immune Response
GO Term: Regulation Of Nuclear Migration Along Microtubule -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Tau Homeostasis, Autophagy
GO Term: Positive Regulation Of Mitotic Spindle Elongation -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Regulation Of Neuronal Signal Transduction -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Structural Stabilization, Autophagy
GO Term: Microtubule Cytoskeleton Organization Involved In Mitosis -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, DNA Repair, Autophagy
GO Term: Regulation Of Non-Motile Cilium Assembly -> Biodomain: Structural Stabilization, Synapse, Endolysosome, Proteostasis, Autophagy
GO Term: Negative Regulation Of Non-Motile Cilium Assembly -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Cell Cycle, Synapse
GO Term: Positive Regulation Of Non-Motile Cilium Assembly -> Biodomain: Structural Stabilization, Cell Cycle, Vasculature, Proteostasis, Lipid Metabolism
GO Term: Propionyl-Coa Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Propionyl-Coa Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Propionyl-Coa Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Regulation Of Retina Development In Camera-Type Eye -> Biodomain: Structural Stabilization, Cell Cycle, Synapse, Proteostasis, Autophagy
GO Term: Negative Regulation Of Amacrine Cell Differentiation -> Biodomain: Synapse, Cell Cycle, Structural Stabilization, Apoptosis, Proteostasis
GO Term: Positive Regulation Of Amacrine Cell Differentiation -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Regulation Of Response To Oxidative Stress -> Biodomain: Oxidative Stress, Apoptosis, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Negative Regulation Of Response To Oxidative Stress -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, Apoptosis, Mitochondrial Metabolism
GO Term: Positive Regulation Of Response To Oxidative Stress -> Biodomain: Oxidative Stress, Autophagy, Proteostasis, Apoptosis, Mitochondrial Metabolism
GO Term: Protein Localization To Astral Microtubule -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Protein Localization To Spindle Microtubule -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, DNA Repair
GO Term: Regulation Of Mirna Transcription -> Biodomain: Epigenetic, DNA Repair, RNA Spliceosome, Cell Cycle, Proteostasis
GO Term: Negative Regulation Of Mirna Transcription -> Biodomain: Epigenetic, Cell Cycle, Immune Response, Oxidative Stress, Autophagy
GO Term: Positive Regulation Of Mirna Transcription -> Biodomain: Epigenetic, RNA Spliceosome, Cell Cycle, DNA Repair, Immune Response
GO Term: Terminal Web Assembly -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Metal Binding and Homeostasis, Autophagy
GO Term: Regulation Of Postsynaptic Density Protein 95 Clustering -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Negative Regulation Of Autophagosome Assembly -> Biodomain: Autophagy, Proteostasis, Apoptosis, Endolysosome, Oxidative Stress
GO Term: Regulation Of Supramolecular Fiber Organization -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Apoptosis, Synapse
GO Term: Negative Regulation Of Supramolecular Fiber Organization -> Biodomain: Proteostasis, Tau Homeostasis, Autophagy, Apoptosis, Synapse
GO Term: Positive Regulation Of Supramolecular Fiber Organization -> Biodomain: Proteostasis, Tau Homeostasis, APP Metabolism, Autophagy, Structural Stabilization
GO Term: Regulation Of Melanosome Transport -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Endolysosome, Lipid Metabolism
GO Term: Positive Regulation Of Melanosome Transport -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Protein Kinase Complex -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Structural Stabilization, Synapse
GO Term: Pyruvate Kinase Complex -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Positive Regulation Of Neuroepithelial Cell Differentiation -> Biodomain: Cell Cycle, Epigenetic, Lipid Metabolism, Autophagy, RNA Spliceosome
GO Term: Regulation Of Protein Polyubiquitination -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Oxidative Stress
GO Term: Negative Regulation Of Protein Polyubiquitination -> Biodomain: Proteostasis, Autophagy, Apoptosis, Cell Cycle, Epigenetic
Saved results to: Experiment/DeepSeek/01-Reference_free/01-Name/Temp_0.1/go_biodomain_results_part_17.csv
Logged runtime to: Experiment/DeepSeek/01-Reference_free/01-Name/Temp_0.1/runtime_log.csv
