Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 6: rows 5000 to 5999
GO Term: Glial Cell-Derived Neurotrophic Factor Receptor Activity -> Biodomain: Synapse, Proteostasis, Apoptosis, Structural Stabilization, Myelination
GO Term: Forebrain Cell Migration -> Biodomain: Structural Stabilization, Epigenetic, Synapse, Cell Cycle, Unknown
GO Term: Hypothalamus Gonadotrophin-Releasing Hormone Neuron Development -> Biodomain: Synapse, Epigenetic, Proteostasis, Cell Cycle, Endolysosome
GO Term: Olfactory Bulb Interneuron Differentiation -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Olfactory Bulb Interneuron Development -> Biodomain: Synapse, Epigenetic, RNA Spliceosome, Autophagy, Proteostasis
GO Term: Cerebral Cortex Gabaergic Interneuron Differentiation -> Biodomain: Synapse, Epigenetic, Structural Stabilization, Proteostasis, Autophagy
GO Term: Cerebral Cortex Gabaergic Interneuron Fate Commitment -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Proteostasis, Cell Cycle
GO Term: Cerebral Cortex Gabaergic Interneuron Development -> Biodomain: Synapse, Cell Cycle, Structural Stabilization, Myelination, Tau Homeostasis
GO Term: Cerebral Cortex Neuron Differentiation -> Biodomain: Cell Cycle, Epigenetic, RNA Spliceosome, Synapse, Autophagy
GO Term: Forebrain Astrocyte Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Immune Response, Proteostasis
GO Term: Fibroblast Growth Factor Receptor Signaling Pathway Involved In Forebrain Neuron Fate Commitment -> Biodomain: Synapse, Epigenetic, Cell Cycle, Structural Stabilization, Proteostasis
GO Term: Commitment Of Neuronal Cell To Specific Neuron Type In Forebrain -> Biodomain: Epigenetic, Synapse, Cell Cycle, Structural Stabilization, Tau Homeostasis
GO Term: Rostrocaudal Neural Tube Patterning -> Biodomain: Epigenetic, Cell Cycle, Apoptosis, Structural Stabilization, Unknown
GO Term: Dorsal/Ventral Neural Tube Patterning -> Biodomain: Structural Stabilization, Epigenetic, Cell Cycle, Autophagy, Apoptosis
GO Term: Forebrain-Midbrain Boundary Formation -> Biodomain: Structural Stabilization, Epigenetic, Vasculature, Synapse, Unknown
GO Term: Neural Tube Development -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Synapse, Myelination
GO Term: Cell Proliferation In External Granule Layer -> Biodomain: Cell Cycle, Structural Stabilization, Myelination, Synapse, Autophagy
GO Term: Cerebellar Granule Cell Precursor Proliferation -> Biodomain: Cell Cycle, DNA Repair, Proteostasis, Endolysosome, RNA Spliceosome
GO Term: Radial Glia Guided Migration Of Cerebellar Granule Cell -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Myelination, Tau Homeostasis
GO Term: Hindbrain Tangential Cell Migration -> Biodomain: Structural Stabilization, Synapse, Vasculature, Immune Response, Unknown
GO Term: Cerebellar Granule Cell Precursor Tangential Migration -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Epigenetic, Unknown
GO Term: Regulation Of Cerebellar Granule Cell Precursor Proliferation -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, Synapse, Myelination
GO Term: Cerebellar Purkinje Cell-Granule Cell Precursor Cell Signaling -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Myelination, Proteostasis
GO Term: Positive Regulation Of Cerebellar Granule Cell Precursor Proliferation -> Biodomain: Cell Cycle, Synapse, Structural Stabilization, Myelination, Epigenetic
GO Term: Negative Regulation Of Cerebellar Granule Cell Precursor Proliferation -> Biodomain: Cell Cycle, Synapse, Apoptosis, Structural Stabilization, Unknown
GO Term: Radial Glia Guided Migration Of Purkinje Cell -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Apoptosis, Unknown
GO Term: Formation Of Radial Glial Scaffolds -> Biodomain: Structural Stabilization, Synapse, Myelination, Cell Cycle, Unknown
Saved results to: Experiment/DeepSeek/01-Reference_free/01-Name/Unknown_0/go_biodomain_results_part_6.csv
Logged runtime to: Experiment/DeepSeek/01-Reference_free/01-Name/Unknown_0/runtime_log.csv
