Running with TEMP=0.5, sub_array_index=2
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 2: rows 1000 to 1999
GO Term: Positive Regulation Of B Cell Tolerance Induction -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Saccharopine Dehydrogenase (Nad+, L-Lysine-Forming) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Selenide, Water Dikinase Activity -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism
GO Term: Sepiapterin Reductase (Nadp+) Activity -> Biodomain: Oxidative Stress, Synapse, Vasculature, Immune Response, Mitochondrial Metabolism
GO Term: Serine C-Palmitoyltransferase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Structural Stabilization, Oxidative Stress, Endolysosome
GO Term: L-Serine-Pyruvate Transaminase Activity -> Biodomain: Mitochondrial Metabolism, Amino Acid Metabolism, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Spermidine Synthase Activity -> Biodomain: Autophagy, Mitochondrial Metabolism, Proteostasis, Cell Cycle, Epigenetic
GO Term: Sphingomyelin Phosphodiesterase Activity -> Biodomain: Lipid Metabolism, Apoptosis, Endolysosome, Oxidative Stress, Proteostasis
GO Term: Stearoyl-Coa 9-Desaturase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Endolysosome, Autophagy
GO Term: Steroid Delta-Isomerase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Sterol Ester Esterase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Autophagy, Oxidative Stress
GO Term: Sterol O-Acyltransferase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Proteostasis, Mitochondrial Metabolism
GO Term: Steryl-Sulfatase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Oxidative Stress, Proteostasis
GO Term: Succinate-Coa Ligase (Adp-Forming) Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Succinate-Coa Ligase (Gdp-Forming) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Succinate-Semialdehyde Dehydrogenase (Nad+) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis, Autophagy
GO Term: Succinyl-Coa Hydrolase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Sulfate Adenylyltransferase (Atp) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Sulfinoalanine Decarboxylase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: Superoxide Dismutase Activity -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Mitochondrial Metabolism, Apoptosis, Proteostasis
GO Term: Thiamine Diphosphokinase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Lipid Metabolism, Oxidative Stress, Proteostasis
GO Term: Thioether S-Methyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Lipid Metabolism, Oxidative Stress, Proteostasis
GO Term: Thioredoxin-Disulfide Reductase (Nadph) Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Apoptosis, Proteostasis, Metal Binding and Homeostasis
GO Term: Thiosulfate-Cyanide Sulfurtransferase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Apoptosis, Metal Binding and Homeostasis, Autophagy
GO Term: Threonine Deaminase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis, Autophagy
GO Term: Threonine Synthase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy, Endolysosome
GO Term: Thromboxane-A Synthase Activity -> Biodomain: Vasculature, Lipid Metabolism, Oxidative Stress, Immune Response, Apoptosis
GO Term: Thymidine Kinase Activity -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, Metal Binding and Homeostasis, Epigenetic
GO Term: Dtmp Kinase Activity -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Mitochondrial Metabolism, Proteostasis
GO Term: Thymidylate Synthase Activity -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Mitochondrial Metabolism, Proteostasis
GO Term: Thyroxine 5'-Deiodinase Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Apoptosis
GO Term: Transaldolase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Transketolase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Cell Cycle, Immune Response
GO Term: Transposase Activity -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Proteostasis, Autophagy
GO Term: Triacylglycerol Lipase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Triose-Phosphate Isomerase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Cca Trna Nucleotidyltransferase Activity -> Biodomain: RNA Spliceosome, Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Autophagy
GO Term: Aminoacyl-Trna Ligase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis, Autophagy, RNA Spliceosome
GO Term: Alanine-Trna Ligase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Autophagy, Structural Stabilization, Cell Cycle
GO Term: Arginine-Trna Ligase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis, Structural Stabilization, Autophagy
GO Term: Aspartate-Trna Ligase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis, Cell Cycle, Autophagy
GO Term: Asparagine-Trna Ligase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, RNA Spliceosome, Cell Cycle, Autophagy
GO Term: Cysteine-Trna Ligase Activity -> Biodomain: Proteostasis, Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy
GO Term: Glutamate-Trna Ligase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Structural Stabilization, RNA Spliceosome, Epigenetic
GO Term: Glutamine-Trna Ligase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis, RNA Spliceosome, Autophagy
GO Term: Glycine-Trna Ligase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis, Lipid Metabolism, Oxidative Stress
GO Term: Histidine-Trna Ligase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, RNA Spliceosome, Metal Binding and Homeostasis, Autophagy
GO Term: Isoleucine-Trna Ligase Activity -> Biodomain: Proteostasis, Epigenetic, RNA Spliceosome, Metal Binding and Homeostasis, DNA Repair
GO Term: Leucine-Trna Ligase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Cell Cycle
GO Term: Lysine-Trna Ligase Activity -> Biodomain: Proteostasis, Metal Binding and Homeostasis, Mitochondrial Metabolism, Lipid Metabolism, Endolysosome
GO Term: Methionine-Trna Ligase Activity -> Biodomain: Translation, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Phenylalanine-Trna Ligase Activity -> Biodomain: Proteostasis, Metal Binding and Homeostasis, Mitochondrial Metabolism, Cell Cycle, Autophagy
GO Term: Proline-Trna Ligase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis, Cell Cycle, Autophagy
GO Term: Serine-Trna Ligase Activity -> Biodomain: Proteostasis, Amino Acid Metabolism, Mitochondrial Metabolism, RNA Spliceosome, Autophagy
GO Term: Threonine-Trna Ligase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Autophagy
GO Term: Tryptophan-Trna Ligase Activity -> Biodomain: Proteostasis, RNA Spliceosome, Metal Binding and Homeostasis, Mitochondrial Metabolism, Autophagy
GO Term: Tyrosine-Trna Ligase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Autophagy, RNA Spliceosome, Apoptosis
GO Term: Valine-Trna Ligase Activity -> Biodomain: Proteostasis, Structural Stabilization, Metal Binding and Homeostasis, RNA Spliceosome, Mitochondrial Metabolism
GO Term: Tryptophan 2,3-Dioxygenase Activity -> Biodomain: Immune Response, Oxidative Stress, Metal Binding and Homeostasis, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Tubulin-Tyrosine Ligase Activity -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Autophagy, Synapse
GO Term: L-Tyrosine-2-Oxoglutarate Transaminase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis, Autophagy
GO Term: Ubiquitin Activating Enzyme Activity -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Cell Cycle
GO Term: Ubiquitin-Protein Transferase Activity -> Biodomain: Proteostasis, Apoptosis, Immune Response, Autophagy, DNA Repair
GO Term: Cysteine-Type Deubiquitinase Activity -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Immune Response
GO Term: Uracil Dna N-Glycosylase Activity -> Biodomain: DNA Repair, Epigenetic, Oxidative Stress, Cell Cycle, Structural Stabilization
GO Term: Uridine Kinase Activity -> Biodomain: Mitochondrial Metabolism, Cell Cycle, RNA Spliceosome, Autophagy, Proteostasis
GO Term: Uridine Phosphorylase Activity -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, Proteostasis, Oxidative Stress
GO Term: Uroporphyrinogen-Iii Synthase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Lipid Metabolism, Autophagy
GO Term: Uroporphyrinogen Decarboxylase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Apoptosis
GO Term: Xanthine Dehydrogenase Activity -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Immune Response
GO Term: Xanthine Oxidase Activity -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Mitochondrial Metabolism, Apoptosis, Immune Response
GO Term: D-Xylulokinase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, DNA Repair, Proteostasis
GO Term: Enzyme Inhibitor Activity -> Biodomain: Proteostasis, Apoptosis, Cell Cycle, Oxidative Stress, Immune Response
GO Term: Phospholipase Inhibitor Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Endolysosome
GO Term: Protein Kinase Inhibitor Activity -> Biodomain: Proteostasis, Apoptosis, Cell Cycle, Immune Response, Oxidative Stress
GO Term: Cyclin-Dependent Protein Serine/Threonine Kinase Inhibitor Activity -> Biodomain: Cell Cycle, DNA Repair, Apoptosis, Proteostasis, Autophagy
GO Term: Camp-Dependent Protein Kinase Inhibitor Activity -> Biodomain: Proteostasis, Apoptosis, Cell Cycle, Epigenetic, Mitochondrial Metabolism
GO Term: Protein Phosphatase Inhibitor Activity -> Biodomain: Proteostasis, Apoptosis, Epigenetic, Autophagy, Cell Cycle
GO Term: Protein Serine/Threonine Phosphatase Inhibitor Activity -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Oxidative Stress, Structural Stabilization
Saved results to: Experiment/DeepSeek/01-Reference_free/01-Name/Temp_0.5/go_biodomain_results_part_2.csv
Logged runtime to: Experiment/DeepSeek/01-Reference_free/01-Name/Temp_0.5/runtime_log.csv
