Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 16: rows 15000 to 15999
GO Term: Hippocampal Mossy Fiber To Ca3 Synapse -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Sirna Transcription -> Biodomain: Epigenetic, Immune Response, Cell Cycle, RNA Spliceosome, Autophagy
GO Term: Phlorizin Hydrolase Activity -> Biodomain: Mitochondrial Metabolism, Endolysosome, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Nucleosome Array Spacer Activity -> Biodomain: Epigenetic, DNA Repair, Structural Stabilization, Cell Cycle, Proteostasis
GO Term: Histone Octamer Slider Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Structural Stabilization
GO Term: Reorganization Of Cellular Membranes To Establish Viral Sites Of Replication -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Histone H3K56 Methyltransferase Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Apoptosis
GO Term: Histone H3K56 Deacetylase Activity, Nad-Dependent -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Autophagy, Unknown
GO Term: Enzyme-Substrate Adaptor Activity -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Endolysosome, APP Metabolism
GO Term: Protein Adp-Ribosyltransferase-Substrate Adaptor Activity -> Biodomain: Proteostasis, DNA Repair, Apoptosis, Epigenetic, Immune Response
GO Term: Nad-Dependent Protein Demyristoylase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Nad-Dependent Protein Depalmitoylase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Unknown
GO Term: Protein-Containing Complex Destabilizing Activity -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Protein-Containing Complex Stabilizing Activity -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Mitochondrial Metabolism, Apoptosis
GO Term: Microtubule Stabilizing Activity -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Synapse, Tau Homeostasis
GO Term: Amino Acid Sensor Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Autophagy, Lipid Metabolism, Oxidative Stress
GO Term: Phosphate Ion Uniporter Activity -> Biodomain: Mitochondrial Metabolism, Endolysosome, Oxidative Stress, Lipid Metabolism, Proteostasis
GO Term: L-Glutamate Uniporter Activity -> Biodomain: Synapse, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Histone H2Axy142 Phosphatase Activity -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Apoptosis
GO Term: Histone Arginine Deiminase Activity -> Biodomain: Epigenetic, Proteostasis, Unknown, Autophagy, Apoptosis
GO Term: Histone H3R2 Arginine Deiminase Activity -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Cell Cycle, Apoptosis
GO Term: Histone H3R8 Arginine Deiminase Activity -> Biodomain: Epigenetic, Proteostasis, Immune Response, Apoptosis, DNA Repair
GO Term: Histone H3R17 Arginine Deiminase Activity -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Cell Cycle, Immune Response
GO Term: Histone H3R26 Arginine Deiminase Activity -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Cell Cycle, Autophagy
GO Term: Glycine:Proton Antiporter Activity -> Biodomain: Synapse, Mitochondrial Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Gamma-Aminobutyric Acid:Proton Antiporter Activity -> Biodomain: Synapse, Endolysosome, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: Histone H2Axy142 Kinase Activity -> Biodomain: Epigenetic, DNA Repair, Apoptosis, Cell Cycle, Proteostasis
GO Term: Nad+-Protein-C-Terminal Glycine Adp-Ribosyltransferase Activity -> Biodomain: DNA Repair, Epigenetic, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Nad+-Protein-Cysteine Adp-Ribosyltransferase Activity -> Biodomain: Proteostasis, Apoptosis, Oxidative Stress, DNA Repair, Mitochondrial Metabolism
GO Term: Nad+-Protein-Lysine Adp-Ribosyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, DNA Repair
GO Term: Nad+-Protein-Serine Adp-Ribosyltransferase Activity -> Biodomain: Proteostasis, Apoptosis, DNA Repair, Autophagy, Oxidative Stress
GO Term: Nad+-Protein-Aspartate Adp-Ribosyltransferase Activity -> Biodomain: DNA Repair, Epigenetic, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Nad+-Protein-Glutamate Adp-Ribosyltransferase Activity -> Biodomain: Proteostasis, Epigenetic, DNA Repair, Apoptosis, Mitochondrial Metabolism
GO Term: Nad+-Protein-Tyrosine Adp-Ribosyltransferase Activity -> Biodomain: Proteostasis, Apoptosis, Oxidative Stress, Epigenetic, DNA Repair
GO Term: Nad+-Protein-Histidine Adp-Ribosyltransferase Activity -> Biodomain: DNA Repair, Proteostasis, Oxidative Stress, Epigenetic, Apoptosis
GO Term: Nad+-Histone H2Bs6 Serine Adp-Ribosyltransferase Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Mitochondrial Metabolism, Structural Stabilization
GO Term: Nad+-Histone H3S10 Serine Adp-Ribosyltransferase Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Autophagy, Apoptosis
GO Term: Mrna 5'-Triphosphate Monophosphatase Activity -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Unknown, Structural Stabilization
GO Term: Nad+-Histone H2Be35 Glutamate Adp-Ribosyltransferase Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Autophagy
GO Term: Histone H2Bs36 Kinase Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Structural Stabilization, Cell Cycle
GO Term: Thioredoxin-Dependent Peroxiredoxin Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Apoptosis
GO Term: Lactoperoxidase Activity -> Biodomain: Oxidative Stress, Immune Response, Metal Binding and Homeostasis, Lipid Metabolism, Proteostasis
Saved results to: Experiment/DeepSeek/01-Reference_free/01-Name/Unknown_0/go_biodomain_results_part_16.csv
Logged runtime to: Experiment/DeepSeek/01-Reference_free/01-Name/Unknown_0/runtime_log.csv
