Running with TEMP=0.5, sub_array_index=17
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 17: rows 16000 to 16999
GO Term: Zinc:Proton Antiporter Activity -> Biodomain: Metal Binding and Homeostasis, Endolysosome, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Protein Localization To Pericentric Heterochromatin -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Structural Stabilization, Proteostasis
GO Term: Regulation Of Receptor Localization To Synapse -> Biodomain: Synapse, Signaling, Protein Trafficking, Regulatory Processes, Protein Localization
GO Term: Positive Regulation Of Receptor Localization To Synapse -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Endolysosome
GO Term: Mitochondrial Outer Membrane Permeabilization Involved In Programmed Cell Death -> Biodomain: Apoptosis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Regulation Of Nad Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, DNA Repair
GO Term: Respiratory Basal Cell Differentiation -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Immune Response, Autophagy
GO Term: Regulation Of Neuroblast Proliferation -> Biodomain: Cell Cycle, Synapse, Myelination, Structural Stabilization, Autophagy
GO Term: Gaba Receptor Complex -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Metal Binding and Homeostasis, Autophagy
GO Term: Gaba-A Receptor Complex -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: G Protein-Coupled Gaba Receptor Complex -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Apoptosis, Metal Binding and Homeostasis
GO Term: Positive Regulation Of Prolactin Secretion -> Biodomain: Synapse, Immune Response, Vasculature, Proteostasis, Epigenetic
GO Term: Negative Regulation Of Skeletal Muscle Satellite Cell Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Apoptosis, Autophagy, Proteostasis
GO Term: Negative Regulation Of Satellite Cell Differentiation -> Biodomain: Cell Cycle, Epigenetic, Autophagy, Immune Response, Lipid Metabolism
GO Term: Positive Regulation Of Skeletal Muscle Satellite Cell Differentiation -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Positive Regulation Of Growth Factor Dependent Skeletal Muscle Satellite Cell Proliferation -> Biodomain: Cell Cycle, Epigenetic, Proteostasis, Lipid Metabolism, Vasculature
GO Term: Negative Regulation Of Proteoglycan Biosynthetic Process -> Biodomain: Structural Stabilization, Vasculature, Lipid Metabolism, Immune Response, Proteostasis
GO Term: Positive Regulation Of Proteoglycan Biosynthetic Process -> Biodomain: Structural Stabilization, Proteostasis, Vasculature, Synapse, Immune Response
GO Term: Negative Regulation Of Chondrocyte Proliferation -> Biodomain: Cell Cycle, Apoptosis, Structural Stabilization, Oxidative Stress, Immune Response
GO Term: Positive Regulation Of Chondrocyte Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Apoptosis, Proteostasis, Autophagy
GO Term: Dendritic Filopodium -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Lipid Metabolism, Myelination
GO Term: Apoptotic Process Involved In Development -> Biodomain: Apoptosis, Cell Cycle, Proteostasis, Oxidative Stress, Structural Stabilization
GO Term: Regulation Of Lamellipodium Organization -> Biodomain: Structural Stabilization, Proteostasis, Immune Response, Apoptosis, Cell Cycle
GO Term: Positive Regulation Of Lamellipodium Organization -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Apoptosis
GO Term: Regulation Of Lens Fiber Cell Differentiation -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Epigenetic, Apoptosis
GO Term: Negative Regulation Of Lens Fiber Cell Differentiation -> Biodomain: Structural Stabilization, Apoptosis, Cell Cycle, Proteostasis, Epigenetic
GO Term: Positive Regulation Of Lens Fiber Cell Differentiation -> Biodomain: Structural Stabilization, Cell Cycle, Autophagy, Apoptosis, Proteostasis
GO Term: Regulation Of Cell Cycle G2/M Phase Transition -> Biodomain: Cell Cycle, DNA Repair, Apoptosis, Proteostasis, Autophagy
GO Term: Negative Regulation Of Cell Cycle G2/M Phase Transition -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, DNA Repair, Autophagy
GO Term: Positive Regulation Of Cell Cycle G2/M Phase Transition -> Biodomain: Cell Cycle, DNA Repair, Apoptosis, Proteostasis, Autophagy
GO Term: Positive Regulation Of Chondrocyte Development -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Autophagy, Apoptosis
GO Term: Skeletal Muscle Satellite Cell Migration -> Biodomain: Structural Stabilization, Cell Cycle, Immune Response, Mitochondrial Metabolism, Autophagy
GO Term: Gtpase Activator Complex -> Biodomain: Cell Cycle, Immune Response, Endolysosome, Autophagy, Structural Stabilization
GO Term: Late Endosome To Lysosome Transport -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Immune Response
GO Term: Mitochondrial Large Ribosomal Subunit Assembly -> Biodomain: Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Autophagy, Apoptosis
GO Term: Regulation Of Synaptic Vesicle Transport -> Biodomain: Synapse, Proteostasis, Autophagy, Endolysosome, Structural Stabilization
GO Term: Regulation Of Cell Cycle G1/S Phase Transition -> Biodomain: Cell Cycle, Proteostasis, DNA Repair, Apoptosis, Epigenetic
GO Term: Negative Regulation Of Cell Cycle G1/S Phase Transition -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, DNA Repair, Epigenetic
GO Term: Positive Regulation Of Cell Cycle G1/S Phase Transition -> Biodomain: Cell Cycle, Proteostasis, DNA Repair, Autophagy, Epigenetic
GO Term: Regulation Of Skeletal Muscle Fiber Differentiation -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Proteostasis, Autophagy
GO Term: Positive Regulation Of Skeletal Muscle Fiber Differentiation -> Biodomain: Mitochondrial Metabolism, Structural Stabilization, Proteostasis, Autophagy, Cell Cycle
GO Term: Negative Regulation Of Protein Localization To Microtubule -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Tau Homeostasis, Autophagy
GO Term: Negative Regulation Of Late Endosome To Lysosome Transport -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Apoptosis
GO Term: Positive Regulation Of Late Endosome To Lysosome Transport -> Biodomain: Endolysosome, Autophagy, Proteostasis, Structural Stabilization, Lipid Metabolism
GO Term: Regulation Of Nuclear Migration Along Microtubule -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Positive Regulation Of Mitotic Spindle Elongation -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Regulation Of Neuronal Signal Transduction -> Biodomain: Synapse, Proteostasis, Myelination, Lipid Metabolism, Structural Stabilization
GO Term: Microtubule Cytoskeleton Organization Involved In Mitosis -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Regulation Of Non-Motile Cilium Assembly -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Endolysosome, Autophagy
GO Term: Negative Regulation Of Non-Motile Cilium Assembly -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Endolysosome, Autophagy
GO Term: Positive Regulation Of Non-Motile Cilium Assembly -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Synapse, Autophagy
GO Term: Propionyl-Coa Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Propionyl-Coa Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Propionyl-Coa Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Regulation Of Retina Development In Camera-Type Eye -> Biodomain: Structural Stabilization, Synapse, Neuronal System, Cell Differentiation, Neurogenesis
GO Term: Negative Regulation Of Amacrine Cell Differentiation -> Biodomain: Cell Cycle, Epigenetic, Synapse, Apoptosis, Proteostasis
GO Term: Positive Regulation Of Amacrine Cell Differentiation -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Proteostasis, Autophagy
GO Term: Regulation Of Response To Oxidative Stress -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, Mitochondrial Metabolism, Apoptosis
GO Term: Negative Regulation Of Response To Oxidative Stress -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Autophagy, Apoptosis
GO Term: Positive Regulation Of Response To Oxidative Stress -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, Apoptosis, Mitochondrial Metabolism
GO Term: Protein Localization To Astral Microtubule -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Protein Localization To Spindle Microtubule -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Apoptosis
GO Term: Regulation Of Mirna Transcription -> Biodomain: Epigenetic, Cell Cycle, Apoptosis, Immune Response, Oxidative Stress
GO Term: Negative Regulation Of Mirna Transcription -> Biodomain: Epigenetic, Cell Cycle, Immune Response, Apoptosis, Autophagy
GO Term: Positive Regulation Of Mirna Transcription -> Biodomain: Epigenetic, Cell Cycle, Immune Response, Oxidative Stress, Lipid Metabolism
GO Term: Terminal Web Assembly -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Endolysosome, Cell Cycle
GO Term: Regulation Of Postsynaptic Density Protein 95 Clustering -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Negative Regulation Of Autophagosome Assembly -> Biodomain: Autophagy, Proteostasis, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Regulation Of Supramolecular Fiber Organization -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Endolysosome, Mitochondrial Metabolism
GO Term: Negative Regulation Of Supramolecular Fiber Organization -> Biodomain: Proteostasis, Autophagy, Apoptosis, Structural Stabilization, Oxidative Stress
GO Term: Positive Regulation Of Supramolecular Fiber Organization -> Biodomain: Proteostasis, Tau Homeostasis, Structural Stabilization, Autophagy, Apoptosis
GO Term: Regulation Of Melanosome Transport -> Biodomain: Structural Stabilization, Endolysosome, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Positive Regulation Of Melanosome Transport -> Biodomain: Structural Stabilization, Endolysosome, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Protein Kinase Complex -> Biodomain: Signal Transduction, Cell Cycle, Apoptosis, Immune Response, Proteostasis
GO Term: Pyruvate Kinase Complex -> Biodomain: Mitochondrial Metabolism, Cell Cycle, Epigenetic, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Positive Regulation Of Neuroepithelial Cell Differentiation -> Biodomain: Cell Cycle, Structural Stabilization, Synapse, Autophagy, Endolysosome
GO Term: Regulation Of Protein Polyubiquitination -> Biodomain: Proteostasis, Autophagy, Apoptosis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Negative Regulation Of Protein Polyubiquitination -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, DNA Repair
Saved results to: Experiment/DeepSeek/01-Reference_free/01-Name/Temp_0.5/go_biodomain_results_part_17.csv
Logged runtime to: Experiment/DeepSeek/01-Reference_free/01-Name/Temp_0.5/runtime_log.csv
