Running with TEMP=0.5, sub_array_index=5
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 5: rows 4000 to 4999
GO Term: Detection Of Virus -> Biodomain: Immune Response, Oxidative Stress, Autophagy, Apoptosis, Endolysosome
GO Term: Rrna Metabolic Process -> Biodomain: Mitochondrial Metabolism, RNA Spliceosome, Epigenetic, Proteostasis, DNA Repair
GO Term: Snrna Metabolic Process -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, DNA Repair, Cell Cycle
GO Term: Sno(S)Rna Metabolic Process -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Cell Cycle, DNA Repair
GO Term: Rrna Catabolic Process -> Biodomain: RNA Spliceosome, Autophagy, Endolysosome, Mitochondrial Metabolism, Oxidative Stress
GO Term: Snrna Catabolic Process -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Epigenetic, DNA Repair
GO Term: Sno(S)Rna Catabolic Process -> Biodomain: RNA Spliceosome, Proteostasis, Endolysosome, Autophagy, Epigenetic
GO Term: Trna Decay -> Biodomain: RNA Spliceosome, Autophagy, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Synaptic Vesicle Exocytosis -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Structural Stabilization
GO Term: Synaptic Vesicle Targeting -> Biodomain: Synapse, Vesicle Trafficking, Structural Stabilization, Proteostasis, Endolysosome
GO Term: Synaptic Vesicle Docking -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Endolysosome
GO Term: Synaptic Vesicle Priming -> Biodomain: Synapse, Neurotransmission, Structural Stabilization, Cellular Structures, Exocytosis
GO Term: Polyprenol Biosynthetic Process -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy
GO Term: Polyprenol Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Proteostasis, Endolysosome
GO Term: Monoterpenoid Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Diterpenoid Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Triterpenoid Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Autophagy
GO Term: Carotenoid Metabolic Process -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Autophagy, Epigenetic
GO Term: Carotene Metabolic Process -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Autophagy, Apoptosis
GO Term: Carotene Catabolic Process -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Endolysosome, Immune Response
GO Term: Xanthophyll Metabolic Process -> Biodomain: Lipid Metabolism, Oxidative Stress, Autophagy, Endolysosome, Mitochondrial Metabolism
GO Term: Xanthophyll Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Sterol Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Sterol Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Myelination, Cell Cycle, Structural Stabilization
GO Term: Glycoside Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Endolysosome, Proteostasis, Autophagy
GO Term: Translation Release Factor Activity, Codon Specific -> Biodomain: Proteostasis, RNA Spliceosome, Mitochondrial Metabolism, Autophagy, Cell Cycle
GO Term: Translation Release Factor Activity, Codon Nonspecific -> Biodomain: Proteostasis, Metal Binding and Homeostasis, Autophagy, Apoptosis, Cell Cycle
GO Term: Nickel Cation Binding -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism
GO Term: Urocanate Hydratase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Immune Response, Oxidative Stress
GO Term: Pyrimidine-Nucleoside Phosphorylase Activity -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, Autophagy, Apoptosis
GO Term: Formyltetrahydrofolate Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: 3-Phytase Activity -> Biodomain: Phosphorylation, Lipid Metabolism, Metal Binding and Homeostasis, Autophagy, Endolysosome
GO Term: Amylase Activity -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Linoleate 13S-Lipoxygenase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Immune Response, Apoptosis
Saved results to: Experiment/DeepSeek/01-Reference_free/01-Name/Temp_0.5/go_biodomain_results_part_5.csv
Logged runtime to: Experiment/DeepSeek/01-Reference_free/01-Name/Temp_0.5/runtime_log.csv
