Running with TEMP=0.5, sub_array_index=11
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 11: rows 10000 to 10999
GO Term: Omega-6 Fatty Acid Desaturase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Autophagy
GO Term: Autonomic Nervous System Development -> Biodomain: Synapse, Structural Stabilization, Vasculature, Immune Response, Proteostasis
GO Term: Enteric Nervous System Development -> Biodomain: Synapse, Vasculature, Structural Stabilization, Cell Cycle, Epigenetic
GO Term: Sympathetic Nervous System Development -> Biodomain: Synapse, Structural Stabilization, Vasculature, Autophagy, Cell Cycle
GO Term: Parasympathetic Nervous System Development -> Biodomain: Synapse, Myelination, Epigenetic, Apoptosis, Cell Cycle
GO Term: Beta-Tubulin Binding -> Biodomain: Structural Stabilization, Tau Homeostasis, Cell Cycle, Synapse, Proteostasis
GO Term: Synaptic Vesicle Endocytosis -> Biodomain: Synapse, Endolysosome, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Synaptic Vesicle Transport -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Structural Stabilization
GO Term: Anterograde Synaptic Vesicle Transport -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Endolysosome
GO Term: Roundabout Binding -> Biodomain: Synapse, Structural Stabilization, Vasculature, Immune Response, Apoptosis
GO Term: Maintenance Of Animal Organ Identity -> Biodomain: Structural Stabilization, Epigenetic, DNA Repair, Cell Cycle, Proteostasis
GO Term: Synaptic Vesicle Membrane Organization -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Signal Recognition Particle -> Biodomain: Proteostasis, RNA Spliceosome, Endolysosome, Mitochondrial Metabolism, Structural Stabilization
GO Term: Regulation Of Timing Of Cell Differentiation -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Autophagy, Proteostasis
GO Term: Rhythmic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Circadian Behavior -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Autophagy
GO Term: Animal Organ Development -> Biodomain: Vasculature, Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Synapse
GO Term: Blood Vessel Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Epigenetic, Apoptosis
GO Term: Spermatid Differentiation -> Biodomain: Cell Cycle, Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Positive Regulation Of Behavior -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Immune Response, Endolysosome
GO Term: Positive Regulation Of Viral Process -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Negative Regulation Of Viral Process -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Oxidative Stress
GO Term: Anatomical Structure Arrangement -> Biodomain: Structural Stabilization, Vasculature, Myelination, Synapse, Endolysosome
GO Term: Hematopoietic Or Lymphoid Organ Development -> Biodomain: Immune Response, Vasculature, Cell Cycle, Apoptosis, Structural Stabilization
GO Term: Lymph Node Development -> Biodomain: Immune Response, Vasculature, Endolysosome, Structural Stabilization, Proteostasis
GO Term: Spleen Development -> Biodomain: Immune Response, Vasculature, Cell Cycle, Proteostasis, Autophagy
GO Term: Mucosa-Associated Lymphoid Tissue Development -> Biodomain: Immune Response, Vasculature, Endolysosome, Autophagy, Proteostasis
GO Term: Thymus Development -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Cell Cycle, Autophagy
GO Term: Bone Marrow Development -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Vasculature, Structural Stabilization
GO Term: Peyer'S Patch Development -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Endolysosome, Autophagy
GO Term: Response To Steroid Hormone -> Biodomain: Mitochondrial Metabolism, Epigenetic, Autophagy, Lipid Metabolism, Proteostasis
GO Term: Digestive Tract Morphogenesis -> Biodomain: Structural Stabilization, Apoptosis, Cell Cycle, Epigenetic, Vasculature
GO Term: Positive Regulation Of Pinocytosis -> Biodomain: Endolysosome, Immune Response, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Negative Regulation Of Pinocytosis -> Biodomain: Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, Immune Response
GO Term: Embryonic Digestive Tract Morphogenesis -> Biodomain: Structural Stabilization, Epigenetic, Cell Cycle, Autophagy, Vasculature
GO Term: Establishment Of Anatomical Structure Orientation -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Synapse, Vasculature
GO Term: Establishment Of Animal Organ Orientation -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Autophagy
GO Term: Embryonic Organ Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Autophagy, Apoptosis, Epigenetic
GO Term: Digestive Tract Development -> Biodomain: Cell Cycle, Immune Response, Vasculature, Structural Stabilization, Apoptosis
GO Term: Embryonic Digestive Tract Development -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Epigenetic, Vasculature
GO Term: Embryonic Organ Development -> Biodomain: Structural Stabilization, Cell Cycle, Vasculature, Apoptosis, Epigenetic
GO Term: Notochord Morphogenesis -> Biodomain: Structural Stabilization, Apoptosis, Cell Cycle, Vasculature, Synapse
GO Term: Long-Day Photoperiodism -> Biodomain: Epigenetic, Immune Response, Cell Cycle, Lipid Metabolism, Synapse
GO Term: Short-Day Photoperiodism -> Biodomain: Epigenetic, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy
GO Term: Developmental Cell Growth -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Developmental Growth -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Autophagy, Proteostasis
GO Term: Eye Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Apoptosis, Cell Cycle, Epigenetic
GO Term: Camera-Type Eye Morphogenesis -> Biodomain: Structural Stabilization, Synapse, Vasculature, Cell Cycle, Proteostasis
GO Term: Embryonic Camera-Type Eye Morphogenesis -> Biodomain: Structural Stabilization, Mitochondrial Metabolism, Synapse, Epigenetic, Lipid Metabolism
GO Term: Post-Embryonic Camera-Type Eye Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Synapse, Proteostasis, Immune Response
GO Term: Embryonic Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Vasculature, Mitochondrial Metabolism
GO Term: Oocyte Development -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Cell Cycle, Epigenetic
GO Term: Reproductive Structure Development -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Immune Response
GO Term: Embryonic Ectodermal Digestive Tract Development -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Lipid Metabolism, Proteostasis
GO Term: Embryonic Ectodermal Digestive Tract Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Epigenetic, Cell Cycle, Autophagy
GO Term: Embryonic Foregut Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Autophagy, Vasculature
GO Term: Embryonic Hindgut Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Apoptosis, Epigenetic
GO Term: Post-Embryonic Digestive Tract Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Autophagy, Lipid Metabolism
Saved results to: Experiment/DeepSeek/01-Reference_free/01-Name/Temp_0.5/go_biodomain_results_part_11.csv
Logged runtime to: Experiment/DeepSeek/01-Reference_free/01-Name/Temp_0.5/runtime_log.csv
