Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 4: rows 3000 to 3999
GO Term: Steroid Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Autophagy
GO Term: Nad+ Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Proteostasis
GO Term: Glyoxylate Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis
GO Term: Carnitine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Methylglyoxal Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Cyanate Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Endolysosome
GO Term: Glycolate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Pyridoxal 5'-Phosphate Salvage -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress, Lipid Metabolism
GO Term: Putrescine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Autophagy, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Putrescine Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Putrescine Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Apoptosis, Proteostasis, Autophagy
GO Term: Gamma-Aminobutyric Acid Metabolic Process -> Biodomain: Synapse, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Lipid Metabolism
GO Term: Gamma-Aminobutyric Acid Biosynthetic Process -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Autophagy, Endolysosome
GO Term: Gamma-Aminobutyric Acid Catabolic Process -> Biodomain: Mitochondrial Metabolism, Synapse, Oxidative Stress, Proteostasis, Autophagy
GO Term: Rna Modification -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, DNA Repair, Metal Binding and Homeostasis
GO Term: Fertilization -> Biodomain: Apoptosis, Cell Cycle, DNA Repair, Proteostasis, Epigenetic
GO Term: Detection Of Abiotic Stimulus -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Detection Of Light Stimulus -> Biodomain: Synapse, Structural Stabilization, Oxidative Stress, Mitochondrial Metabolism, Autophagy
GO Term: Detection Of Visible Light -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Epigenetic, Mitochondrial Metabolism
GO Term: Detection Of Uv -> Biodomain: DNA Repair, Oxidative Stress, Proteostasis, Apoptosis, Cell Cycle
GO Term: Detection Of Gravity -> Biodomain: Synapse, Structural Stabilization, Endolysosome, Autophagy, Proteostasis
GO Term: Detection Of Chemical Stimulus -> Biodomain: Synapse, Immune Response, Oxidative Stress, Endolysosome, Proteostasis
GO Term: Detection Of Biotic Stimulus -> Biodomain: Immune Response, Endolysosome, Autophagy, Apoptosis, Proteostasis
Saved results to: Experiment/DeepSeek/01-Reference_free/01-Name/Temp_0/go_biodomain_results_part_4.csv
Logged runtime to: Experiment/DeepSeek/01-Reference_free/01-Name/Temp_0/runtime_log.csv
