Running with TEMP=0.1, sub_array_index=2
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 2: rows 1000 to 1999
GO Term: Positive Regulation Of B Cell Tolerance Induction -> Biodomain: Immune Response, Apoptosis, Proteostasis, Epigenetic, Autophagy
GO Term: Saccharopine Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Amino Acid Metabolism, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Saccharopine Dehydrogenase (Nad+, L-Lysine-Forming) Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Selenide, Water Dikinase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism
GO Term: Sepiapterin Reductase (Nadp+) Activity -> Biodomain: Oxidative Stress, Vasculature, Synapse, Immune Response, Epigenetic
GO Term: Serine C-Palmitoyltransferase Activity -> Biodomain: Lipid Metabolism, Apoptosis, Myelination, Cell Cycle, Structural Stabilization
GO Term: L-Serine-Pyruvate Transaminase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Spermidine Synthase Activity -> Biodomain: Autophagy, Amino Acid Metabolism, Metabolism, Oxidative Stress, Structural Stabilization
GO Term: Sphingomyelin Phosphodiesterase Activity -> Biodomain: Lipid Metabolism, Apoptosis, Endolysosome, Oxidative Stress, Proteostasis
GO Term: Stearoyl-Coa 9-Desaturase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Autophagy, Mitochondrial Metabolism
GO Term: Steroid Delta-Isomerase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Sterol Ester Esterase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Proteostasis, Mitochondrial Metabolism
GO Term: Sterol O-Acyltransferase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Proteostasis, Mitochondrial Metabolism
GO Term: Steryl-Sulfatase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Succinate-Coa Ligase (Adp-Forming) Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Succinate-Coa Ligase (Gdp-Forming) Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Apoptosis, Autophagy
GO Term: Succinate-Semialdehyde Dehydrogenase (Nad+) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis, Autophagy
GO Term: Succinyl-Coa Hydrolase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Sulfate Adenylyltransferase (Atp) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Sulfinoalanine Decarboxylase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: Superoxide Dismutase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Metal Binding and Homeostasis, Apoptosis, Proteostasis
GO Term: Thiamine Diphosphokinase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress, Autophagy
GO Term: Thioether S-Methyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Thioredoxin-Disulfide Reductase (Nadph) Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Apoptosis
GO Term: Thiosulfate-Cyanide Sulfurtransferase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Immune Response
GO Term: Threonine Deaminase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress, Autophagy
GO Term: Threonine Synthase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy, Endolysosome
GO Term: Thromboxane-A Synthase Activity -> Biodomain: Vasculature, Lipid Metabolism, Immune Response, Oxidative Stress, Mitochondrial Metabolism
GO Term: Thymidine Kinase Activity -> Biodomain: DNA Repair, Cell Cycle, Mitochondrial Metabolism, Metal Binding and Homeostasis, Epigenetic
GO Term: Dtmp Kinase Activity -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Mitochondrial Metabolism, Proteostasis
GO Term: Thymidylate Synthase Activity -> Biodomain: DNA Repair, Cell Cycle, Mitochondrial Metabolism, Epigenetic, Metal Binding and Homeostasis
GO Term: Thyroxine 5'-Deiodinase Activity -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Transaldolase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Cell Cycle, Autophagy
GO Term: Transketolase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Transposase Activity -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Structural Stabilization, Proteostasis
GO Term: Triacylglycerol Lipase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Endolysosome, Proteostasis
GO Term: Triose-Phosphate Isomerase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Cell Cycle
GO Term: Cca Trna Nucleotidyltransferase Activity -> Biodomain: Proteostasis, RNA Spliceosome, Epigenetic, Autophagy, Cell Cycle
GO Term: Aminoacyl-Trna Ligase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Epigenetic, Metal Binding and Homeostasis, Autophagy
GO Term: Alanine-Trna Ligase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Autophagy, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Arginine-Trna Ligase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis, Lipid Metabolism, Structural Stabilization
GO Term: Aspartate-Trna Ligase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis, Cell Cycle, Autophagy
GO Term: Asparagine-Trna Ligase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Epigenetic, Autophagy, RNA Spliceosome
GO Term: Cysteine-Trna Ligase Activity -> Biodomain: Proteostasis, Oxidative Stress, Lipid Metabolism, Epigenetic, Metal Binding and Homeostasis
GO Term: Glutamate-Trna Ligase Activity -> Biodomain: Proteostasis, Metal Binding and Homeostasis, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress
GO Term: Glutamine-Trna Ligase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis, Autophagy, Cell Cycle
GO Term: Glycine-Trna Ligase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Cell Cycle, Structural Stabilization, Autophagy
GO Term: Histidine-Trna Ligase Activity -> Biodomain: Proteostasis, RNA Spliceosome, Autophagy, Mitochondrial Metabolism, Metal Binding and Homeostasis
GO Term: Isoleucine-Trna Ligase Activity -> Biodomain: Proteostasis, RNA Spliceosome, Mitochondrial Metabolism, Cell Cycle, Autophagy
GO Term: Leucine-Trna Ligase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis, Autophagy, Lipid Metabolism
GO Term: Lysine-Trna Ligase Activity -> Biodomain: Proteostasis, Structural Stabilization, Mitochondrial Metabolism, Autophagy, Endolysosome
GO Term: Methionine-Trna Ligase Activity -> Biodomain: Proteostasis, Metal Binding and Homeostasis, Autophagy, Apoptosis, Mitochondrial Metabolism
GO Term: Phenylalanine-Trna Ligase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Cell Cycle
GO Term: Proline-Trna Ligase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Autophagy, RNA Spliceosome, Apoptosis
GO Term: Serine-Trna Ligase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis, RNA Spliceosome, Autophagy
GO Term: Threonine-Trna Ligase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Autophagy, Apoptosis, Cell Cycle
GO Term: Tryptophan-Trna Ligase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, RNA Spliceosome, Autophagy, Cell Cycle
GO Term: Tyrosine-Trna Ligase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, RNA Spliceosome, Autophagy, Cell Cycle
GO Term: Valine-Trna Ligase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis, RNA Spliceosome, Autophagy
GO Term: Tryptophan 2,3-Dioxygenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Immune Response, Proteostasis, Autophagy
GO Term: Tubulin-Tyrosine Ligase Activity -> Biodomain: Proteostasis, Structural Stabilization, Synapse, Autophagy, Apoptosis
GO Term: L-Tyrosine-2-Oxoglutarate Transaminase Activity -> Biodomain: Amino Acid Metabolism, Mitochondrial Metabolism, Neurotransmitter Metabolism, Metabolism, Lipid Metabolism
GO Term: Ubiquitin Activating Enzyme Activity -> Biodomain: Proteostasis, Autophagy, Apoptosis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Ubiquitin-Protein Transferase Activity -> Biodomain: Proteostasis, Apoptosis, Autophagy, DNA Repair, Immune Response
GO Term: Cysteine-Type Deubiquitinase Activity -> Biodomain: Proteostasis, Autophagy, Apoptosis, Immune Response, DNA Repair
GO Term: Uracil Dna N-Glycosylase Activity -> Biodomain: DNA Repair, Epigenetic, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis
GO Term: Uridine Kinase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, DNA Repair, Cell Cycle, RNA Spliceosome
GO Term: Uridine Phosphorylase Activity -> Biodomain: Mitochondrial Metabolism, RNA Spliceosome, DNA Repair, Cell Cycle, Oxidative Stress
GO Term: Uroporphyrinogen-Iii Synthase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Lipid Metabolism, Oxidative Stress, Proteostasis
GO Term: Uroporphyrinogen Decarboxylase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Lipid Metabolism, Proteostasis
GO Term: Xanthine Dehydrogenase Activity -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Mitochondrial Metabolism, Apoptosis, Immune Response
GO Term: Xanthine Oxidase Activity -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Apoptosis, Vasculature, Mitochondrial Metabolism
GO Term: D-Xylulokinase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Immune Response, Cell Cycle, DNA Repair
GO Term: Enzyme Inhibitor Activity -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Apoptosis, Immune Response, Epigenetic
GO Term: Phospholipase Inhibitor Activity -> Biodomain: Lipid Metabolism, Structural Stabilization, Immune Response, Autophagy, Oxidative Stress
GO Term: Protein Kinase Inhibitor Activity -> Biodomain: Proteostasis, Apoptosis, Autophagy, Cell Cycle, Epigenetic
GO Term: Cyclin-Dependent Protein Serine/Threonine Kinase Inhibitor Activity -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Epigenetic, DNA Repair
GO Term: Camp-Dependent Protein Kinase Inhibitor Activity -> Biodomain: Proteostasis, Cell Cycle, Epigenetic, Autophagy, Apoptosis
GO Term: Protein Phosphatase Inhibitor Activity -> Biodomain: Proteostasis, Apoptosis, Cell Cycle, Structural Stabilization, Oxidative Stress
GO Term: Protein Serine/Threonine Phosphatase Inhibitor Activity -> Biodomain: Proteostasis, Apoptosis, Cell Cycle, Oxidative Stress, Structural Stabilization
Saved results to: Experiment/DeepSeek/01-Reference_free/01-Name/Temp_0.1/go_biodomain_results_part_2.csv
Logged runtime to: Experiment/DeepSeek/01-Reference_free/01-Name/Temp_0.1/runtime_log.csv
