Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 18: rows 17000 to 17999
GO Term: Positive Regulation Of Protein Polyubiquitination -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Oxidative Stress
GO Term: Positive Regulation Of Clathrin Coat Assembly -> Biodomain: Endolysosome, Synapse, Proteostasis, Autophagy, Immune Response
GO Term: Positive Regulation Of Mitochondrial Atp Synthesis Coupled Electron Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Energy Metabolism
GO Term: Negative Regulation Of Fc-Gamma Receptor Signaling Pathway Involved In Phagocytosis -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Positive Regulation Of Fc-Gamma Receptor Signaling Pathway Involved In Phagocytosis -> Biodomain: Immune Response, Endolysosome, Oxidative Stress, Proteostasis, Autophagy
GO Term: Regulation Of Myeloid Progenitor Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Autophagy, Proteostasis
GO Term: Negative Regulation Of Myeloid Progenitor Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Epigenetic, Proteostasis
GO Term: Positive Regulation Of Myeloid Progenitor Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Endolysosome
GO Term: Regulation Of Lymphoid Progenitor Cell Differentiation -> Biodomain: Immune Response, Epigenetic, Apoptosis, Cell Cycle, Proteostasis
GO Term: Negative Regulation Of Lymphoid Progenitor Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Epigenetic
GO Term: Positive Regulation Of Lymphoid Progenitor Cell Differentiation -> Biodomain: Immune Response, Vasculature, Cell Cycle, Apoptosis, Epigenetic
GO Term: Regulation Of Vascular Associated Smooth Muscle Cell Apoptotic Process -> Biodomain: Apoptosis, Vasculature, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Negative Regulation Of Vascular Associated Smooth Muscle Cell Apoptotic Process -> Biodomain: Apoptosis, Vasculature, Structural Stabilization, Cell Cycle, Immune Response
GO Term: Positive Regulation Of Vascular Associated Smooth Muscle Cell Apoptotic Process -> Biodomain: Apoptosis, Vasculature, Structural Stabilization, Cell Cycle, Oxidative Stress
GO Term: Regulation Of Protein Localization To Membrane -> Biodomain: Proteostasis, Lipid Metabolism, Autophagy, Endolysosome, Mitochondrial Metabolism
GO Term: Positive Regulation Of Protein Localization To Membrane -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Autophagy, Synapse
GO Term: Positive Regulation Of Branching Morphogenesis Of A Nerve -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Unknown
GO Term: Acetyl-Coa Binding -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Positive Regulation Of Motile Cilium Assembly -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Cell Cycle, Autophagy
GO Term: Negative Regulation Of Short-Term Synaptic Potentiation -> Biodomain: Synapse, Proteostasis, Autophagy, Endolysosome, APP Metabolism
GO Term: Non-Motile Cilium Assembly -> Biodomain: Structural Stabilization, Cell Cycle, Lipid Metabolism, Synapse, Proteostasis
GO Term: Positive Regulation Of Fertilization -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Autophagy, Epigenetic
GO Term: Macrophage Migration -> Biodomain: Immune Response, Vasculature, Endolysosome, Oxidative Stress, Apoptosis
GO Term: Positive Regulation Of Presynaptic Active Zone Assembly -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Regulation Of Macrophage Migration -> Biodomain: Immune Response, Vasculature, Endolysosome, Oxidative Stress, Proteostasis
GO Term: Negative Regulation Of Macrophage Migration -> Biodomain: Immune Response, Vasculature, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Positive Regulation Of Macrophage Migration -> Biodomain: Immune Response, Vasculature, Apoptosis, Proteostasis, Oxidative Stress
GO Term: Negative Regulation Of Protein Autoubiquitination -> Biodomain: Proteostasis, Autophagy, Apoptosis, Cell Cycle, Endolysosome
GO Term: Regulation Of Golgi Lumen Acidification -> Biodomain: Endolysosome, Proteostasis, Lipid Metabolism, Autophagy, Apoptosis
GO Term: Positive Regulation Of Golgi Lumen Acidification -> Biodomain: Endolysosome, Proteostasis, Autophagy, Oxidative Stress, Lipid Metabolism
GO Term: Negative Regulation Of L-Leucine Import Across Plasma Membrane -> Biodomain: Proteostasis, Lipid Metabolism, Autophagy, Mitochondrial Metabolism, Epigenetic
GO Term: Positive Regulation Of L-Leucine Import Across Plasma Membrane -> Biodomain: Proteostasis, Mitochondrial Metabolism, Autophagy, Endolysosome, Apoptosis
GO Term: Positive Regulation Of Eukaryotic Translation Initiation Factor 4F Complex Assembly -> Biodomain: Proteostasis, Cell Cycle, Autophagy, Apoptosis, Epigenetic
GO Term: Regulation Of Postsynapse To Nucleus Signaling Pathway -> Biodomain: Synapse, Epigenetic, Proteostasis, Structural Stabilization, Autophagy
GO Term: Negative Regulation Of Protein Localization To Endoplasmic Reticulum -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, Unknown
GO Term: Positive Regulation Of Protein Localization To Endoplasmic Reticulum -> Biodomain: Proteostasis, Lipid Metabolism, Autophagy, Endolysosome, APP Metabolism
GO Term: Regulation Of Blood Vessel Branching -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Immune Response, Epigenetic
GO Term: Negative Regulation Of Blood Vessel Branching -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Apoptosis, Immune Response
GO Term: Positive Regulation Of Blood Vessel Branching -> Biodomain: Vasculature, Structural Stabilization, Oxidative Stress, Immune Response, Autophagy
GO Term: Regulation Of Vascular Endothelial Cell Proliferation -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Apoptosis, Immune Response
GO Term: Negative Regulation Of Vascular Endothelial Cell Proliferation -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Apoptosis, Immune Response
GO Term: Positive Regulation Of Vascular Endothelial Cell Proliferation -> Biodomain: Vasculature, Immune Response, Lipid Metabolism, Structural Stabilization, Cell Cycle
GO Term: Ganglioside Gm1 Transport To Membrane -> Biodomain: Lipid Metabolism, Endolysosome, Synapse, Structural Stabilization, Proteostasis
GO Term: Ganglioside Gm1 Binding -> Biodomain: Lipid Metabolism, Synapse, Immune Response, Endolysosome, Apoptosis
GO Term: Ganglioside Gm2 Binding -> Biodomain: Lipid Metabolism, Synapse, Endolysosome, Apoptosis, Proteostasis
GO Term: Ganglioside Gm3 Binding -> Biodomain: Lipid Metabolism, Endolysosome, Synapse, Proteostasis, Apoptosis
GO Term: Ganglioside Gt1B Binding -> Biodomain: Lipid Metabolism, Synapse, Endolysosome, Autophagy, Proteostasis
GO Term: Ganglioside Gp1C Binding -> Biodomain: Lipid Metabolism, Structural Stabilization, Synapse, Apoptosis, Proteostasis
GO Term: Positive Regulation Of Erbb3 Signaling Pathway -> Biodomain: Receptor Tyrosine Kinase Signaling, Cell Growth And Proliferation, Cell Communication And Signaling, Cancer Pathways, Developmental Biology
GO Term: Positive Regulation Of Low-Density Lipoprotein Particle Clearance -> Biodomain: Lipid Metabolism, Vasculature, Oxidative Stress, Endolysosome, Proteostasis
GO Term: Outer Hair Cell Apoptotic Process -> Biodomain: Apoptosis, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Cell Cycle
GO Term: Negative Regulation Of Outer Hair Cell Apoptotic Process -> Biodomain: Apoptosis, Proteostasis, Oxidative Stress, Cell Cycle, Autophagy
GO Term: Fibronectin Fibril Organization -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Immune Response, Endolysosome
GO Term: Negative Regulation Of Optical Nerve Axon Regeneration -> Biodomain: Synapse, Myelination, Immune Response, Structural Stabilization, Oxidative Stress
GO Term: Resveratrol Binding -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Autophagy, Lipid Metabolism, Epigenetic
GO Term: Negative Regulation Of Receptor-Mediated Endocytosis Involved In Cholesterol Transport -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Positive Regulation Of Receptor-Mediated Endocytosis Involved In Cholesterol Transport -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Autophagy, Vasculature
Saved results to: Experiment/DeepSeek/01-Reference_free/01-Name/Unknown_0/go_biodomain_results_part_18.csv
Logged runtime to: Experiment/DeepSeek/01-Reference_free/01-Name/Unknown_0/runtime_log.csv
