Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 6: rows 5000 to 5999
GO Term: Glial Cell-Derived Neurotrophic Factor Receptor Activity -> Biodomain: Synapse, Apoptosis, Structural Stabilization, Proteostasis, Oxidative Stress
GO Term: Forebrain Radial Glial Cell Differentiation -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Myelination, Autophagy
GO Term: Forebrain Ventricular Zone Progenitor Cell Division -> Biodomain: Cell Cycle, Structural Stabilization, DNA Repair, Epigenetic, Autophagy
GO Term: Cajal-Retzius Cell Differentiation -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Autophagy, Epigenetic
GO Term: Forebrain Regionalization -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Autophagy, Apoptosis
GO Term: Forebrain Generation Of Neurons -> Biodomain: Neurogenesis, Brain Development, Nervous System Development, Developmental Process, Neural System Formation
GO Term: Forebrain Neuroblast Division -> Biodomain: Cell Cycle, Structural Stabilization, Synapse, Myelination, Proteostasis
GO Term: Wnt Signaling Pathway Involved In Forebrain Neuroblast Division -> Biodomain: Synapse, Cell Cycle, Structural Stabilization, Epigenetic, Autophagy
GO Term: Forebrain Neuron Fate Commitment -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Epigenetic, DNA Repair
GO Term: Forebrain Neuron Differentiation -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Cell Cycle
GO Term: Forebrain Neuron Development -> Biodomain: Synapse, Structural Stabilization, Autophagy, Apoptosis, Proteostasis
GO Term: Forebrain Cell Migration -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Myelination, Vasculature
GO Term: Hypothalamus Gonadotrophin-Releasing Hormone Neuron Development -> Biodomain: Cell Cycle, Epigenetic, Synapse, Structural Stabilization, Proteostasis
GO Term: Olfactory Bulb Interneuron Differentiation -> Biodomain: Synapse, Structural Stabilization, Autophagy, Proteostasis, Apoptosis
GO Term: Olfactory Bulb Interneuron Development -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Epigenetic, Immune Response
GO Term: Cerebral Cortex Gabaergic Interneuron Differentiation -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Apoptosis, Myelination
GO Term: Cerebral Cortex Gabaergic Interneuron Fate Commitment -> Biodomain: Epigenetic, Cell Cycle, Structural Stabilization, Synapse, RNA Spliceosome
GO Term: Cerebral Cortex Gabaergic Interneuron Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Epigenetic
GO Term: Cerebral Cortex Neuron Differentiation -> Biodomain: Synapse, Structural Stabilization, Myelination, Tau Homeostasis, Proteostasis
GO Term: Forebrain Astrocyte Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Endolysosome, Proteostasis
GO Term: Fibroblast Growth Factor Receptor Signaling Pathway Involved In Forebrain Neuron Fate Commitment -> Biodomain: Synapse, Cell Cycle, Structural Stabilization, Epigenetic, Proteostasis
GO Term: Commitment Of Neuronal Cell To Specific Neuron Type In Forebrain -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, Synapse, Proteostasis
GO Term: Rostrocaudal Neural Tube Patterning -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, DNA Repair, Autophagy
GO Term: Dorsal/Ventral Neural Tube Patterning -> Biodomain: Epigenetic, Cell Cycle, Structural Stabilization, Apoptosis, Proteostasis
GO Term: Forebrain-Midbrain Boundary Formation -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Autophagy, Synapse
GO Term: Neural Tube Development -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Apoptosis, Lipid Metabolism
GO Term: Cell Proliferation In External Granule Layer -> Biodomain: Cell Cycle, Structural Stabilization, Myelination, Synapse, Apoptosis
GO Term: Cerebellar Granule Cell Precursor Proliferation -> Biodomain: Cell Cycle, Stem Cell Biology, Neurogenesis, Neural Development, Structural Stabilization
GO Term: Radial Glia Guided Migration Of Cerebellar Granule Cell -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Proteostasis, Autophagy
GO Term: Hindbrain Tangential Cell Migration -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Epigenetic
GO Term: Cerebellar Granule Cell Precursor Tangential Migration -> Biodomain: Structural Stabilization, Synapse, Vasculature, Cell Cycle, Endolysosome
GO Term: Regulation Of Cerebellar Granule Cell Precursor Proliferation -> Biodomain: Cell Cycle, Apoptosis, Epigenetic, Autophagy, Endolysosome
GO Term: Cerebellar Purkinje Cell-Granule Cell Precursor Cell Signaling -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Myelination, Proteostasis
GO Term: Positive Regulation Of Cerebellar Granule Cell Precursor Proliferation -> Biodomain: Synapse, Cell Cycle, Structural Stabilization, Apoptosis, Vasculature
GO Term: Negative Regulation Of Cerebellar Granule Cell Precursor Proliferation -> Biodomain: Cell Cycle, Apoptosis, Synapse, Structural Stabilization, Tau Homeostasis
GO Term: Radial Glia Guided Migration Of Purkinje Cell -> Biodomain: Synapse, Structural Stabilization, Myelination, Autophagy, Endolysosome
GO Term: Formation Of Radial Glial Scaffolds -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Autophagy, Epigenetic
Saved results to: Experiment/DeepSeek/01-Reference_free/01-Name/Temp_0/go_biodomain_results_part_6.csv
Logged runtime to: Experiment/DeepSeek/01-Reference_free/01-Name/Temp_0/runtime_log.csv
