Running with TEMP=0.5, sub_array_index=14
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 14: rows 13000 to 13999
GO Term: Peroxynitrite Isomerase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Apoptosis, Metal Binding and Homeostasis
GO Term: Mesenchymal Cell Differentiation Involved In Kidney Development -> Biodomain: Structural Stabilization, Vasculature, Epigenetic, Cell Cycle, Immune Response
GO Term: Metanephric Mesenchymal Cell Differentiation -> Biodomain: Vasculature, Structural Stabilization, Epigenetic, Cell Cycle, Immune Response
GO Term: Mesonephric Epithelium Development -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Epigenetic, Apoptosis
GO Term: Mesonephric Tubule Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Apoptosis
GO Term: Posterior Mesonephric Tubule Development -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, RNA Spliceosome
GO Term: Specification Of Anterior Mesonephric Tubule Identity -> Biodomain: Epigenetic, Cell Cycle, RNA Spliceosome, Structural Stabilization, Proteostasis
GO Term: Specification Of Posterior Mesonephric Tubule Identity -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, RNA Spliceosome, Epigenetic
GO Term: Metanephric Tubule Development -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Autophagy, Epigenetic
GO Term: Mesonephric Tubule Formation -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Autophagy, Proteostasis
GO Term: Metanephric Tubule Formation -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Autophagy
GO Term: Epithelial Tube Formation -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Proteostasis, Autophagy
Saved results to: Experiment/DeepSeek/01-Reference_free/01-Name/Temp_0.5/go_biodomain_results_part_14.csv
Logged runtime to: Experiment/DeepSeek/01-Reference_free/01-Name/Temp_0.5/runtime_log.csv
